term,coef,ci_lo,ci_hi,p
Intercept,5.923,5.345,6.502,0.0
C(algorithm)[T.astar+astar],-0.159,-0.288,-0.03,0.016
C(algorithm)[T.astar+cadrl],0.259,0.13,0.388,0.0001
C(algorithm)[T.astar+cadrl_upstream],1.13,1.001,1.259,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.926,1.797,2.055,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.044,-0.085,0.174,0.4997
C(algorithm)[T.astar+dijkstra],-0.111,-0.24,0.018,0.0911
C(algorithm)[T.astar+lstm_rl],0.711,0.582,0.84,0.0
C(algorithm)[T.astar+lstm_rl_upstream],0.016,-0.113,0.145,0.8054
C(algorithm)[T.astar+mpc],-0.068,-0.197,0.061,0.2998
C(algorithm)[T.astar+mpc_dompc],-0.109,-0.238,0.02,0.0971
C(algorithm)[T.astar+orca],-0.238,-0.367,-0.109,0.0003
C(algorithm)[T.astar+orca_heuristic],0.277,0.148,0.406,0.0
C(algorithm)[T.astar+rrt],-0.527,-0.656,-0.398,0.0
C(algorithm)[T.astar+sarl],1.36,1.231,1.489,0.0
C(algorithm)[T.astar+sarl_upstream],0.809,0.68,0.938,0.0
C(algorithm)[T.astar+teb],-0.358,-0.487,-0.229,0.0
C(algorithm)[T.astar+teb_upstream],-0.326,-0.455,-0.197,0.0
C(algorithm)[T.dijkstra+astar],-0.173,-0.302,-0.044,0.0085
C(algorithm)[T.dijkstra+cadrl],0.258,0.129,0.387,0.0001
C(algorithm)[T.dijkstra+cadrl_upstream],1.129,1.0,1.258,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.937,1.808,2.066,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.032,-0.097,0.161,0.6225
C(algorithm)[T.dijkstra+dijkstra],-0.123,-0.252,0.006,0.0617
C(algorithm)[T.dijkstra+dwa],-0.008,-0.137,0.122,0.909
C(algorithm)[T.dijkstra+lstm_rl],0.702,0.573,0.831,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],0.007,-0.122,0.136,0.9113
C(algorithm)[T.dijkstra+mpc],-0.069,-0.198,0.06,0.2956
C(algorithm)[T.dijkstra+mpc_dompc],-0.108,-0.237,0.021,0.1003
C(algorithm)[T.dijkstra+orca],-0.248,-0.377,-0.119,0.0002
C(algorithm)[T.dijkstra+orca_heuristic],0.264,0.135,0.393,0.0001
C(algorithm)[T.dijkstra+rrt],-0.533,-0.662,-0.404,0.0
C(algorithm)[T.dijkstra+sarl],1.355,1.226,1.484,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.805,0.676,0.934,0.0
C(algorithm)[T.dijkstra+teb],-0.351,-0.481,-0.222,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.327,-0.456,-0.198,0.0
C(algorithm)[T.rrt+astar],-0.081,-0.212,0.05,0.2268
C(algorithm)[T.rrt+cadrl],0.273,0.142,0.404,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.946,0.816,1.077,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.492,1.362,1.622,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.049,-0.081,0.18,0.459
C(algorithm)[T.rrt+dijkstra],-0.066,-0.197,0.066,0.3256
C(algorithm)[T.rrt+dwa],0.111,-0.019,0.241,0.0953
C(algorithm)[T.rrt+lstm_rl],0.647,0.517,0.778,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],-0.194,-0.325,-0.063,0.0037
C(algorithm)[T.rrt+mpc],-0.016,-0.146,0.115,0.8136
C(algorithm)[T.rrt+mpc_dompc],0.006,-0.125,0.136,0.9303
C(algorithm)[T.rrt+orca],-0.127,-0.258,0.004,0.0574
C(algorithm)[T.rrt+orca_heuristic],0.245,0.114,0.376,0.0002
C(algorithm)[T.rrt+rrt],-0.752,-0.884,-0.62,0.0
C(algorithm)[T.rrt+sarl],1.089,0.958,1.219,0.0
C(algorithm)[T.rrt+sarl_upstream],0.629,0.498,0.759,0.0
C(algorithm)[T.rrt+teb],-1.167,-1.298,-1.036,0.0
C(algorithm)[T.rrt+teb_upstream],-0.47,-0.601,-0.34,0.0
standardize(task_path_length_m),0.305,0.255,0.356,0.0
standardize(task_n_turns),-0.167,-0.192,-0.141,0.0
standardize(task_min_sidewalk_width_m),0.023,0.007,0.039,0.004
standardize(task_n_signalised_junctions),-0.194,-0.227,-0.161,0.0
standardize(demand_total_ph),-0.16,-0.264,-0.056,0.0025
map Var,0.362,-0.158,0.883,0.1723
seed Var,0.013,0.0,0.026,0.0458
task Var,0.045,0.003,0.088,0.037
