algorithm,algorithm_name,n,mean,ci_lo,ci_hi
rrt+rrt,RRT + RRT (ours),459,0.396,0.375,0.416
rrt+teb,RRT + TEB (ours),475,0.441,0.421,0.462
dijkstra+rrt,Dijkstra + RRT (ours),500,0.448,0.431,0.465
astar+rrt,A* + RRT (ours),500,0.453,0.437,0.47
dijkstra+orca,Dijkstra + ORCA (RVO2),500,0.457,0.442,0.471
astar+orca,A* + ORCA (RVO2),500,0.46,0.446,0.475
astar+teb,A* + TEB (ours),500,0.464,0.437,0.491
dijkstra+teb,Dijkstra + TEB (ours),500,0.465,0.438,0.491
rrt+teb_upstream,RRT + TEB (upstream),478,0.467,0.449,0.486
rrt+mpc_dompc,RRT + MPC (do-mpc),480,0.468,0.448,0.487
dijkstra+mpc_dompc,Dijkstra + MPC (do-mpc),500,0.472,0.458,0.485
astar+mpc_dompc,A* + MPC (do-mpc),500,0.473,0.459,0.487
rrt+orca,RRT + ORCA (RVO2),474,0.479,0.459,0.5
rrt+astar,RRT + A* (ours),466,0.481,0.46,0.503
astar+cadrl_upstream,A* + CADRL (upstream),500,0.482,0.423,0.542
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),500,0.483,0.423,0.542
rrt+dijkstra,RRT + Dijkstra (ours),466,0.484,0.463,0.506
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),471,0.488,0.468,0.509
dijkstra+astar,Dijkstra + A* (ours),500,0.49,0.472,0.509
dijkstra+dijkstra,Dijkstra + Dijkstra (ours),500,0.496,0.478,0.514
dijkstra+lstm_rl_upstream,Dijkstra + LSTM-RL (upstream),500,0.496,0.478,0.514
astar+astar,A* + A* (ours),500,0.498,0.479,0.517
astar+lstm_rl_upstream,A* + LSTM-RL (upstream),500,0.5,0.483,0.518
astar+dijkstra,A* + Dijkstra (ours),500,0.503,0.486,0.521
dijkstra+lstm_rl,Dijkstra + LSTM-RL (ours),500,0.516,0.495,0.537
astar+lstm_rl,A* + LSTM-RL (ours),500,0.52,0.498,0.541
rrt+cadrl_upstream,RRT + CADRL (upstream),478,0.523,0.445,0.602
rrt+cadrl,RRT + CADRL (ours),476,0.54,0.519,0.562
dijkstra+mpc,Dijkstra + MPC (ours),500,0.544,0.527,0.561
astar+mpc,A* + MPC (ours),500,0.545,0.528,0.562
rrt+mpc,RRT + MPC (ours),479,0.549,0.528,0.569
rrt+lstm_rl,RRT + LSTM-RL (ours),478,0.551,0.526,0.576
dijkstra+crowdnav_dsrnn,Dijkstra + CrowdNav DS-RNN,500,0.566,0.542,0.591
dijkstra+teb_upstream,Dijkstra + TEB (upstream),500,0.569,0.553,0.584
astar+sarl,A* + SARL (ours),500,0.569,0.513,0.624
dijkstra+sarl,Dijkstra + SARL (ours),500,0.57,0.514,0.625
astar+teb_upstream,A* + TEB (upstream),500,0.571,0.556,0.586
astar+crowdnav_dsrnn,A* + CrowdNav DS-RNN,500,0.571,0.547,0.596
rrt+dwa,RRT + DWA (ours),480,0.576,0.551,0.601
dijkstra+sarl_upstream,Dijkstra + SARL (upstream),500,0.578,0.552,0.603
astar+crowdnav_attngraph,A* + CrowdNav AttnGraph,500,0.582,0.553,0.611
dijkstra+crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,500,0.583,0.554,0.612
astar+sarl_upstream,A* + SARL (upstream),500,0.584,0.559,0.609
dijkstra+dwa,Dijkstra + DWA (ours),500,0.596,0.576,0.617
astar+dwa,A* + DWA (ours),500,0.601,0.581,0.622
dijkstra+cadrl,Dijkstra + CADRL (ours),500,0.606,0.518,0.694
astar+cadrl,A* + CADRL (ours),500,0.609,0.521,0.696
rrt+crowdnav_dsrnn,RRT + CrowdNav DS-RNN,478,0.615,0.588,0.641
rrt+sarl_upstream,RRT + SARL (upstream),478,0.632,0.602,0.662
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,482,0.662,0.634,0.691
rrt+sarl,RRT + SARL (ours),479,0.674,0.611,0.738
dijkstra+orca_heuristic,"Dijkstra + ORCA (heuristic, ours)",500,0.716,0.694,0.739
astar+orca_heuristic,"A* + ORCA (heuristic, ours)",500,0.72,0.698,0.742
rrt+orca_heuristic,"RRT + ORCA (heuristic, ours)",473,0.729,0.707,0.752
