algorithm,mean_success,rank_median,rank_ci_lo,rank_ci_hi,P_top1
astar+teb_upstream,0.812,1.0,1.0,5.0,0.591
astar+mpc,0.806,2.0,1.0,5.0,0.312
dijkstra+mpc,0.798,4.0,1.0,7.0,0.037
astar+mpc_dompc,0.798,4.0,2.0,6.0,0.006
dijkstra+teb_upstream,0.798,4.0,1.5,8.0,0.025
dijkstra+mpc_dompc,0.796,5.0,1.0,6.0,0.03
astar+sarl_upstream,0.756,8.5,6.0,14.0,0.001
astar+cadrl,0.756,9.0,6.0,13.0,0.0
rrt+mpc,0.752,9.5,7.0,14.0,0.0
rrt+mpc_dompc,0.748,11.0,7.0,16.0,0.0
astar+dwa,0.746,11.0,6.5,15.0,0.0
dijkstra+cadrl,0.74,12.0,9.0,17.0,0.0
dijkstra+sarl_upstream,0.738,12.5,8.0,17.0,0.0
rrt+orca_heuristic,0.733,13.0,8.0,17.0,0.0
dijkstra+dwa,0.73,14.0,9.0,17.0,0.0
rrt+cadrl,0.713,16.0,11.0,23.0,0.0
astar+lstm_rl,0.692,18.0,13.0,28.0,0.0
dijkstra+lstm_rl,0.684,20.0,16.0,29.0,0.0
astar+lstm_rl_upstream,0.682,20.0,16.0,28.0,0.0
rrt+sarl_upstream,0.68,21.0,16.0,29.0,0.0
astar+orca_heuristic,0.676,22.0,16.0,30.5,0.0
dijkstra+lstm_rl_upstream,0.676,22.0,17.5,27.51,0.0
astar+orca,0.676,22.0,16.0,29.0,0.0
astar+crowdnav_dsrnn,0.666,25.0,17.0,31.0,0.0
rrt+dwa,0.663,25.0,16.0,31.02,0.0
dijkstra+orca_heuristic,0.666,25.0,19.5,31.0,0.0
rrt+lstm_rl,0.657,26.0,17.0,39.0,0.0
dijkstra+orca,0.65,28.0,19.0,34.0,0.0
astar+dijkstra,0.65,28.0,19.0,32.0,0.0
dijkstra+crowdnav_dsrnn,0.652,28.0,20.0,34.0,0.0
rrt+crowdnav_dsrnn,0.64,30.0,23.99,34.0,0.0
dijkstra+dijkstra,0.624,32.5,25.0,37.0,0.0
rrt+orca,0.617,33.0,27.0,40.0,0.0
astar+astar,0.618,33.0,28.0,38.0,0.0
astar+sarl,0.6,36.0,33.0,41.0,0.0
dijkstra+sarl,0.602,36.0,31.5,42.0,0.0
rrt+sarl,0.598,37.0,29.0,42.0,0.0
dijkstra+astar,0.598,37.0,33.0,40.0,0.0
dijkstra+teb,0.582,39.0,34.0,43.0,0.0
rrt+dijkstra,0.576,40.0,35.0,42.0,0.0
astar+teb,0.572,40.5,36.0,44.0,0.0
rrt+astar,0.564,42.0,37.0,44.0,0.0
rrt+lstm_rl_upstream,0.546,43.0,41.0,45.0,0.0
rrt+crowdnav_attngraph,0.545,43.5,40.0,45.0,0.0
astar+rrt,0.516,45.0,43.0,46.0,0.0
dijkstra+rrt,0.502,46.0,45.0,48.0,0.0
rrt+teb_upstream,0.472,47.0,46.0,48.0,0.0
dijkstra+cadrl_upstream,0.436,48.0,48.0,49.0,0.0
astar+cadrl_upstream,0.432,49.0,47.0,50.0,0.0
dijkstra+crowdnav_attngraph,0.346,50.0,49.0,52.51,0.0
astar+crowdnav_attngraph,0.342,51.0,50.0,52.5,0.0
rrt+teb,0.32,52.0,50.0,54.0,0.0
rrt+cadrl_upstream,0.298,53.0,50.0,54.0,0.0
rrt+rrt,0.298,53.0,52.0,54.0,0.0
