term,log_odds,ci_lo,ci_hi,odds_ratio,or_ci_lo,or_ci_hi
Intercept,1.148,1.121,1.176,3.152,3.066,3.24
C(algorithm)[T.astar+astar],-0.604,-0.798,-0.409,0.547,0.45,0.664
C(algorithm)[T.astar+cadrl],0.152,-0.065,0.37,1.165,0.937,1.448
C(algorithm)[T.astar+cadrl_upstream],-1.487,-1.677,-1.298,0.226,0.187,0.273
C(algorithm)[T.astar+crowdnav_attngraph],-1.927,-2.123,-1.73,0.146,0.12,0.177
C(algorithm)[T.astar+crowdnav_dsrnn],-0.359,-0.559,-0.159,0.698,0.572,0.853
C(algorithm)[T.astar+dijkstra],-0.442,-0.64,-0.244,0.643,0.527,0.783
C(algorithm)[T.astar+lstm_rl],-0.22,-0.423,-0.016,0.803,0.655,0.984
C(algorithm)[T.astar+lstm_rl_upstream],-0.274,-0.476,-0.072,0.76,0.621,0.931
C(algorithm)[T.astar+mpc],0.487,0.253,0.722,1.628,1.288,2.059
C(algorithm)[T.astar+mpc_dompc],0.43,0.199,0.662,1.538,1.22,1.938
C(algorithm)[T.astar+orca],-0.306,-0.507,-0.105,0.736,0.602,0.9
C(algorithm)[T.astar+orca_heuristic],-0.306,-0.507,-0.105,0.736,0.602,0.9
C(algorithm)[T.astar+rrt],-1.093,-1.282,-0.904,0.335,0.278,0.405
C(algorithm)[T.astar+sarl],-0.692,-0.885,-0.5,0.5,0.413,0.607
C(algorithm)[T.astar+sarl_upstream],0.152,-0.065,0.37,1.165,0.937,1.448
C(algorithm)[T.astar+teb],-0.828,-1.019,-0.637,0.437,0.361,0.529
C(algorithm)[T.astar+teb_upstream],0.531,0.294,0.769,1.701,1.342,2.157
C(algorithm)[T.dijkstra+astar],-0.702,-0.895,-0.509,0.496,0.409,0.601
C(algorithm)[T.dijkstra+cadrl],0.054,-0.159,0.268,1.056,0.853,1.307
C(algorithm)[T.dijkstra+cadrl_upstream],-1.468,-1.658,-1.279,0.23,0.19,0.278
C(algorithm)[T.dijkstra+crowdnav_attngraph],-1.907,-2.103,-1.71,0.149,0.122,0.181
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.432,-0.63,-0.234,0.649,0.533,0.792
C(algorithm)[T.dijkstra+dijkstra],-0.574,-0.769,-0.379,0.563,0.464,0.685
C(algorithm)[T.dijkstra+dwa],-0.005,-0.216,0.206,0.995,0.806,1.229
C(algorithm)[T.dijkstra+lstm_rl],-0.263,-0.466,-0.061,0.769,0.628,0.941
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.306,-0.507,-0.105,0.736,0.602,0.9
C(algorithm)[T.dijkstra+mpc],0.43,0.199,0.662,1.538,1.22,1.938
C(algorithm)[T.dijkstra+mpc_dompc],0.416,0.186,0.647,1.516,1.204,1.909
C(algorithm)[T.dijkstra+orca],-0.442,-0.64,-0.244,0.643,0.527,0.783
C(algorithm)[T.dijkstra+orca_heuristic],-0.359,-0.559,-0.159,0.698,0.572,0.853
C(algorithm)[T.dijkstra+rrt],-1.159,-1.347,-0.97,0.314,0.26,0.379
C(algorithm)[T.dijkstra+sarl],-0.683,-0.875,-0.49,0.505,0.417,0.613
C(algorithm)[T.dijkstra+sarl_upstream],0.043,-0.17,0.256,1.043,0.843,1.291
C(algorithm)[T.dijkstra+teb],-0.78,-0.971,-0.588,0.459,0.379,0.555
C(algorithm)[T.dijkstra+teb_upstream],0.43,0.199,0.662,1.538,1.22,1.938
C(algorithm)[T.rrt+astar],-0.866,-1.057,-0.676,0.421,0.348,0.509
C(algorithm)[T.rrt+cadrl],-0.104,-0.312,0.104,0.901,0.732,1.109
C(algorithm)[T.rrt+cadrl_upstream],-2.157,-2.36,-1.955,0.116,0.094,0.142
C(algorithm)[T.rrt+crowdnav_attngraph],-0.956,-1.146,-0.766,0.384,0.318,0.465
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.493,-0.69,-0.297,0.611,0.502,0.743
C(algorithm)[T.rrt+dijkstra],-0.809,-1.0,-0.617,0.445,0.368,0.539
C(algorithm)[T.rrt+dwa],-0.377,-0.577,-0.178,0.686,0.562,0.837
C(algorithm)[T.rrt+lstm_rl],-0.411,-0.61,-0.212,0.663,0.544,0.809
C(algorithm)[T.rrt+lstm_rl_upstream],-0.952,-1.141,-0.762,0.386,0.319,0.467
C(algorithm)[T.rrt+mpc],0.128,-0.089,0.344,1.136,0.915,1.411
C(algorithm)[T.rrt+mpc_dompc],0.101,-0.114,0.317,1.107,0.892,1.373
C(algorithm)[T.rrt+orca],-0.61,-0.805,-0.416,0.543,0.447,0.66
C(algorithm)[T.rrt+orca_heuristic],0.013,-0.199,0.225,1.013,0.819,1.252
C(algorithm)[T.rrt+rrt],-2.157,-2.36,-1.955,0.116,0.094,0.142
C(algorithm)[T.rrt+sarl],-0.702,-0.895,-0.509,0.496,0.409,0.601
C(algorithm)[T.rrt+sarl_upstream],-0.29,-0.492,-0.088,0.748,0.612,0.916
C(algorithm)[T.rrt+teb],-2.04,-2.24,-1.841,0.13,0.106,0.159
C(algorithm)[T.rrt+teb_upstream],-1.299,-1.488,-1.11,0.273,0.226,0.329
standardize(task_path_length_m),-0.067,-0.094,-0.04,0.935,0.911,0.96
standardize(task_n_turns),-0.06,-0.086,-0.034,0.942,0.917,0.967
standardize(task_min_sidewalk_width_m),0.084,0.057,0.111,1.087,1.058,1.117
standardize(task_n_signalised_junctions),-0.473,-0.501,-0.445,0.623,0.606,0.641
standardize(demand_total_ph),-0.004,-0.031,0.022,0.996,0.969,1.023
