map,route,global_planner,task,global_plan_time_s,global_rrt_params,reactive_peds,robot_radius_m,robot_height_m,collision_radius_m,params_file,sfm_controlled_steps,sfm_capture_events,ped_affected_n,ped_delay_s_mean,ped_deflection_m_mean,ped_deflection_m_max,ped_personal_space_s_total,social_force_on_agents,social_force_on_robot,obstacle_force_on_robot,social_work,mode,algorithm,seed,success,termination_reason,sim_time_s,path_length_m,avg_speed_mps,min_pedestrian_distance_m,close_encounter_steps,planner_status_counts,planner_active_frac,collision,time_waiting_at_light_s,strict_sidewalk,walkable_clamped_steps,robot_as_person,num_legs,waypoints,goal_tol,global_plan_error
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,354,10,2,0.49,0.483,0.55,1.0,3.22,3.96,802.63,809.81,all,astar,1,True,goal,99.0,98.99,1.0,0.452,6,{'path_found': 198},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,7,1,1,0.71,1.394,1.394,0.0,0.91,1.12,7.62,9.65,all,astar,10,False,collision,8.5,8.0,0.941,0.388,1,{'path_found': 16},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,693,21,3,0.89,0.464,0.55,1.5,4.51,5.44,358.79,368.74,all,astar,2,True,goal,100.5,98.75,0.983,0.649,3,"{'no_path': 5, 'path_found': 196}",0.9751,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,447,9,3,1.36,1.097,1.124,0.0,11.85,7.71,338.73,358.29,all,astar,3,True,goal,99.0,98.65,0.996,1.039,0,"{'no_path': 1, 'path_found': 197}",0.9949,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,750,15,8,0.21,0.358,0.55,1.0,5.02,5.53,364.38,374.93,all,astar,4,True,goal,99.0,99.0,1.0,0.954,0,{'path_found': 198},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,386,15,3,8.63,1.032,1.339,42.5,56.29,21.92,305.05,383.25,all,astar,5,True,goal,99.5,99.15,0.996,0.767,3,"{'no_path': 1, 'path_found': 198}",0.995,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,352,12,2,0.0,0.007,0.014,0.0,0.06,0.08,359.67,359.81,all,astar,6,True,goal,99.0,99.0,1.0,0.735,2,{'path_found': 198},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,95,3,2,0.15,0.208,0.389,0.0,0.17,0.06,134.55,134.78,all,astar,7,False,collision,42.0,41.5,0.988,0.389,2,{'path_found': 83},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,1072,16,6,1.52,1.195,1.237,8.5,16.47,12.62,326.83,355.92,all,astar,8,True,goal,99.5,98.8,0.993,0.614,7,"{'no_path': 2, 'path_found': 197}",0.9899,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/astar__g-astar.json,789,17,6,0.0,1.258,1.46,0.0,0.32,0.47,242.93,243.71,all,astar,9,False,collision,71.5,71.0,0.993,0.417,6,{'path_found': 142},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,360,10,2,0.37,0.565,0.714,1.0,3.44,4.16,323.31,330.91,all,cadrl,1,True,goal,100.5,100.49,1.0,0.581,4,{'cadrl': 201},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,879,20,4,0.43,1.258,1.55,1.0,4.22,5.72,762.74,772.68,all,cadrl,10,True,goal,100.5,100.5,1.0,0.469,6,{'cadrl': 201},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,688,21,3,0.63,0.464,0.55,1.0,3.13,4.35,579.67,587.15,all,cadrl,2,True,goal,101.0,100.74,0.997,0.534,7,{'cadrl': 202},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,481,9,4,8.42,1.048,1.098,60.0,58.6,20.27,271.91,350.78,all,cadrl,3,True,goal,103.5,99.88,0.965,0.648,4,{'cadrl': 207},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,779,15,8,0.07,0.352,0.52,0.0,3.84,4.05,669.51,677.4,all,cadrl,4,True,goal,100.0,100.0,1.0,0.506,1,{'cadrl': 200},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,387,18,3,6.88,1.175,1.339,23.5,48.23,29.97,450.63,528.83,all,cadrl,5,True,goal,105.5,101.25,0.96,0.596,23,{'cadrl': 211},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,355,12,2,0.0,0.006,0.011,0.0,0.05,0.06,391.41,391.52,all,cadrl,6,True,goal,99.5,99.5,1.0,0.547,1,{'cadrl': 199},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,399,8,2,0.29,0.363,0.389,0.0,7.4,23.69,437.4,468.49,all,cadrl,7,True,goal,99.5,99.36,0.999,0.832,1,{'cadrl': 199},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,1334,21,9,2.69,1.169,1.55,31.0,57.19,43.11,475.75,576.05,all,cadrl,8,True,goal,111.5,103.75,0.931,0.435,16,{'cadrl': 223},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
map1_straight,default,astar,t01,0.0,,sfm,0.25,1.0,0.42,configs/cadrl__g-astar.json,1318,28,7,0.0,1.339,1.55,0.0,0.68,0.79,631.31,632.78,all,cadrl,9,True,goal,102.0,100.56,0.986,0.424,8,{'cadrl': 204},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,
