map,task,global_planner,algorithm,mode,seed,termination_reason
map5_ucl,t04,rrt,cadrl,all,10,sumo_crash
map5_ucl,t04,rrt,dwa,all,8,sumo_crash
map5_ucl,t04,rrt,mpc_dompc,all,7,sumo_crash
map5_ucl,t04,rrt,orca_heuristic,all,2,sumo_crash
map5_ucl,t04,rrt,orca_heuristic,all,5,sumo_crash
map5_ucl,t07,rrt,crowdnav_attngraph,all,5,sumo_crash
map5_ucl,t07,rrt,lstm_rl,all,1,sumo_crash
map5_ucl,t09,rrt,dwa,all,1,sumo_crash
map5_ucl,t09,rrt,orca,all,2,sumo_crash
map5_ucl,t10,rrt,cadrl,all,4,sumo_crash
map5_ucl,t10,rrt,lstm_rl,all,2,sumo_crash
map5_ucl,t10,rrt,sarl_upstream,all,8,sumo_crash
map5_ucl,t10,rrt,crowdnav_attngraph,all,1,sumo_crash
map3_grid,t06,rrt,crowdnav_attngraph,all,5,sumo_crash
map3_grid,t06,rrt,mpc,all,5,sumo_crash
map3_grid,t08,rrt,sarl,all,1,sumo_crash
map3_grid,t09,rrt,lstm_rl,all,7,sumo_crash
map3_grid,t09,rrt,mpc,all,1,sumo_crash
map3_grid,t10,rrt,crowdnav_attngraph,all,1,sumo_crash
map5_ucl,t09,astar,sarl,all,8,sumo_crash
map5_ucl,t09,dijkstra,sarl,all,8,sumo_crash
