unit,unit_name,n,goal_n,goal_rate,goal_lo,goal_hi,collision_n,collision_rate,collision_lo,collision_hi,timeout_n,timeout_rate,timeout_lo,timeout_hi,stuck_n,stuck_rate,stuck_lo,stuck_hi,no_n,no_rate,no_lo,no_hi,other_n,other_rate,other_lo,other_hi
rrt+rrt,RRT + RRT,1500,287,0.1913,0.1722,0.212,1103,0.7353,0.7124,0.757,12,0.008,0.0046,0.0139,0,0.0,0.0,0.0026,98,0.0653,0.0539,0.079,0,0.0,0.0,0.0026
rrt+teb,RRT + TEB,1500,373,0.2487,0.2275,0.2712,1013,0.6753,0.6512,0.6986,11,0.0073,0.0041,0.0131,0,0.0,0.0,0.0026,103,0.0687,0.0569,0.0826,0,0.0,0.0,0.0026
rrt+cadrl_upstream,RRT + CADRL (upstream),1500,377,0.2513,0.23,0.2739,951,0.634,0.6093,0.658,86,0.0573,0.0467,0.0703,25,0.0167,0.0113,0.0245,61,0.0407,0.0318,0.0519,0,0.0,0.0,0.0026
dijkstra+rrt,Dijkstra + RRT,1500,482,0.3213,0.2982,0.3454,1002,0.668,0.6438,0.6914,16,0.0107,0.0066,0.0173,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+rrt,A* + RRT,1500,499,0.3327,0.3093,0.3569,985,0.6567,0.6323,0.6803,16,0.0107,0.0066,0.0173,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+teb,A* + TEB,1500,519,0.346,0.3223,0.3704,951,0.634,0.6093,0.658,30,0.02,0.014,0.0284,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
dijkstra+teb,Dijkstra + TEB,1500,520,0.3467,0.323,0.3711,950,0.6333,0.6086,0.6574,30,0.02,0.014,0.0284,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
rrt+teb_upstream,RRT + TEB (upstream),1500,525,0.35,0.3263,0.3745,901,0.6007,0.5757,0.6252,1,0.0007,0.0001,0.0038,2,0.0013,0.0004,0.0048,71,0.0473,0.0377,0.0593,0,0.0,0.0,0.0026
rrt+astar,RRT + A*,1500,558,0.372,0.3479,0.3968,840,0.56,0.5348,0.5849,1,0.0007,0.0001,0.0038,0,0.0,0.0,0.0026,101,0.0673,0.0557,0.0812,0,0.0,0.0,0.0026
rrt+dijkstra,RRT + Dijkstra,1500,588,0.392,0.3676,0.417,835,0.5567,0.5314,0.5816,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,77,0.0513,0.0413,0.0637,0,0.0,0.0,0.0026
dijkstra+cadrl_upstream,Dijkstra + CADRL (upstream),1500,593,0.3953,0.3709,0.4203,834,0.556,0.5307,0.581,21,0.014,0.0092,0.0213,52,0.0347,0.0265,0.0452,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+cadrl_upstream,A* + CADRL (upstream),1500,595,0.3967,0.3722,0.4217,832,0.5547,0.5294,0.5796,20,0.0133,0.0086,0.0205,53,0.0353,0.0271,0.0459,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+crowdnav_attngraph,A* + CrowdNav AttnGraph,1500,599,0.3993,0.3748,0.4243,514,0.3427,0.3191,0.3671,383,0.2553,0.2339,0.278,4,0.0027,0.001,0.0068,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
dijkstra+crowdnav_attngraph,Dijkstra + CrowdNav AttnGraph,1500,604,0.4027,0.3781,0.4277,503,0.3353,0.3119,0.3596,389,0.2593,0.2378,0.2821,4,0.0027,0.001,0.0068,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
dijkstra+dijkstra,Dijkstra + Dijkstra,1500,658,0.4387,0.4137,0.4639,842,0.5613,0.5361,0.5863,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+dijkstra,A* + Dijkstra,1500,660,0.44,0.4151,0.4652,840,0.56,0.5348,0.5849,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
dijkstra+astar,Dijkstra + A*,1500,692,0.4613,0.4362,0.4866,808,0.5387,0.5134,0.5638,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
rrt+lstm_rl_upstream,RRT + LSTM-RL (upstream),1500,705,0.47,0.4449,0.4953,715,0.4767,0.4515,0.502,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,80,0.0533,0.0431,0.0659,0,0.0,0.0,0.0026
astar+astar,A* + A*,1500,711,0.474,0.4488,0.4993,789,0.526,0.5007,0.5512,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
dijkstra+orca,Dijkstra + ORCA (RVO2),1500,714,0.476,0.4508,0.5013,750,0.5,0.4747,0.5253,0,0.0,0.0,0.0026,36,0.024,0.0174,0.033,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+orca,A* + ORCA (RVO2),1500,738,0.492,0.4668,0.5173,726,0.484,0.4588,0.5093,0,0.0,0.0,0.0026,36,0.024,0.0174,0.033,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
rrt+orca,RRT + ORCA (RVO2),1499,758,0.5057,0.4804,0.5309,621,0.4143,0.3896,0.4394,0,0.0,0.0,0.0026,36,0.024,0.0174,0.0331,84,0.056,0.0455,0.0689,0,0.0,0.0,0.0026
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,1496,759,0.5074,0.482,0.5326,445,0.2975,0.2748,0.3211,221,0.1477,0.1306,0.1666,4,0.0027,0.001,0.0069,67,0.0448,0.0354,0.0565,0,0.0,0.0,0.0026
dijkstra+teb_upstream,Dijkstra + TEB (upstream),1500,775,0.5167,0.4914,0.5419,725,0.4833,0.4581,0.5086,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
astar+teb_upstream,A* + TEB (upstream),1500,794,0.5293,0.504,0.5545,706,0.4707,0.4455,0.496,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026,0,0.0,0.0,0.0026
rrt+crowdnav_dsrnn,RRT + CrowdNav DS-RNN,1500,832,0.5547,0.5294,0.5796,574,0.3827,0.3584,0.4075,7,0.0047,0.0023,0.0096,0,0.0,0.0,0.0026,87,0.058,0.0473,0.071,0,0.0,0.0,0.0026
rrt+lstm_rl,RRT + LSTM-RL,1497,853,0.5698,0.5446,0.5947,545,0.3641,0.3401,0.3888,6,0.004,0.0018,0.0087,4,0.0027,0.001,0.0069,89,0.0595,0.0486,0.0726,0,0.0,0.0,0.0026
