algorithm,goal,collision,max_time,stalled,global_plan_failed,planner_error,n,goal_pct,collision_pct,max_time_pct,stalled_pct,global_plan_failed_pct,planner_error_pct
astar+dwa,967,431,11,91,0,0,1500,64.5,28.7,0.7,6.1,0.0,0.0
astar+astar,711,789,0,0,0,0,1500,47.4,52.6,0.0,0.0,0.0,0.0
astar+cadrl,991,456,26,27,0,0,1500,66.1,30.4,1.7,1.8,0.0,0.0
astar+cadrl_upstream,595,832,20,53,0,0,1500,39.7,55.5,1.3,3.5,0.0,0.0
astar+crowdnav_attngraph,599,514,383,4,0,0,1500,39.9,34.3,25.5,0.3,0.0,0.0
astar+crowdnav_dsrnn,879,613,8,0,0,0,1500,58.6,40.9,0.5,0.0,0.0,0.0
astar+dijkstra,660,840,0,0,0,0,1500,44.0,56.0,0.0,0.0,0.0,0.0
astar+lstm_rl,977,522,1,0,0,0,1500,65.1,34.8,0.1,0.0,0.0,0.0
astar+lstm_rl_upstream,895,604,0,1,0,0,1500,59.7,40.3,0.0,0.1,0.0,0.0
astar+mpc,937,532,31,0,0,0,1500,62.5,35.5,2.1,0.0,0.0,0.0
astar+mpc_dompc,875,615,10,0,0,0,1500,58.3,41.0,0.7,0.0,0.0,0.0
astar+orca,738,726,0,36,0,0,1500,49.2,48.4,0.0,2.4,0.0,0.0
astar+orca_heuristic,1102,201,17,180,0,0,1500,73.5,13.4,1.1,12.0,0.0,0.0
astar+rrt,499,985,16,0,0,0,1500,33.3,65.7,1.1,0.0,0.0,0.0
astar+sarl,976,395,63,65,0,0,1499,65.1,26.4,4.2,4.3,0.0,0.0
astar+sarl_upstream,1139,354,7,0,0,0,1500,75.9,23.6,0.5,0.0,0.0,0.0
astar+teb,519,951,30,0,0,0,1500,34.6,63.4,2.0,0.0,0.0,0.0
astar+teb_upstream,794,706,0,0,0,0,1500,52.9,47.1,0.0,0.0,0.0,0.0
dijkstra+astar,692,808,0,0,0,0,1500,46.1,53.9,0.0,0.0,0.0,0.0
dijkstra+cadrl,977,470,26,27,0,0,1500,65.1,31.3,1.7,1.8,0.0,0.0
dijkstra+cadrl_upstream,593,834,21,52,0,0,1500,39.5,55.6,1.4,3.5,0.0,0.0
dijkstra+crowdnav_attngraph,604,503,389,4,0,0,1500,40.3,33.5,25.9,0.3,0.0,0.0
dijkstra+crowdnav_dsrnn,862,630,8,0,0,0,1500,57.5,42.0,0.5,0.0,0.0,0.0
dijkstra+dijkstra,658,842,0,0,0,0,1500,43.9,56.1,0.0,0.0,0.0,0.0
dijkstra+dwa,948,452,11,89,0,0,1500,63.2,30.1,0.7,5.9,0.0,0.0
dijkstra+lstm_rl,955,544,1,0,0,0,1500,63.7,36.3,0.1,0.0,0.0,0.0
dijkstra+lstm_rl_upstream,883,616,0,1,0,0,1500,58.9,41.1,0.0,0.1,0.0,0.0
dijkstra+mpc,920,549,31,0,0,0,1500,61.3,36.6,2.1,0.0,0.0,0.0
dijkstra+mpc_dompc,872,618,10,0,0,0,1500,58.1,41.2,0.7,0.0,0.0,0.0
dijkstra+orca,714,750,0,36,0,0,1500,47.6,50.0,0.0,2.4,0.0,0.0
dijkstra+orca_heuristic,1076,224,18,182,0,0,1500,71.7,14.9,1.2,12.1,0.0,0.0
dijkstra+rrt,482,1002,16,0,0,0,1500,32.1,66.8,1.1,0.0,0.0,0.0
dijkstra+sarl,972,397,67,63,0,0,1499,64.8,26.5,4.5,4.2,0.0,0.0
dijkstra+sarl_upstream,1115,379,6,0,0,0,1500,74.3,25.3,0.4,0.0,0.0,0.0
dijkstra+teb,520,950,30,0,0,0,1500,34.7,63.3,2.0,0.0,0.0,0.0
dijkstra+teb_upstream,775,725,0,0,0,0,1500,51.7,48.3,0.0,0.0,0.0,0.0
rrt+astar,558,840,1,0,101,0,1500,37.2,56.0,0.1,0.0,6.7,0.0
rrt+cadrl,892,498,17,12,79,0,1498,59.5,33.2,1.1,0.8,5.3,0.0
rrt+cadrl_upstream,377,951,86,25,61,0,1500,25.1,63.4,5.7,1.7,4.1,0.0
rrt+crowdnav_attngraph,759,445,221,4,67,0,1496,50.7,29.7,14.8,0.3,4.5,0.0
rrt+crowdnav_dsrnn,832,574,7,0,87,0,1500,55.5,38.3,0.5,0.0,5.8,0.0
rrt+dijkstra,588,835,0,0,77,0,1500,39.2,55.7,0.0,0.0,5.1,0.0
rrt+dwa,878,501,6,54,59,0,1498,58.6,33.4,0.4,3.6,3.9,0.0
rrt+lstm_rl,853,545,6,4,89,0,1497,57.0,36.4,0.4,0.3,5.9,0.0
rrt+lstm_rl_upstream,705,715,0,0,80,0,1500,47.0,47.7,0.0,0.0,5.3,0.0
rrt+mpc,907,515,7,0,69,0,1498,60.5,34.4,0.5,0.0,4.6,0.0
rrt+mpc_dompc,906,531,3,0,59,0,1499,60.4,35.4,0.2,0.0,3.9,0.0
rrt+orca,758,621,0,36,84,0,1499,50.6,41.4,0.0,2.4,5.6,0.0
rrt+orca_heuristic,1057,177,5,200,59,0,1498,70.6,11.8,0.3,13.4,3.9,0.0
rrt+rrt,287,1103,12,0,98,0,1500,19.1,73.5,0.8,0.0,6.5,0.0
rrt+sarl,866,413,119,29,72,0,1499,57.8,27.6,7.9,1.9,4.8,0.0
rrt+sarl_upstream,967,432,12,0,88,0,1499,64.5,28.8,0.8,0.0,5.9,0.0
rrt+teb,373,1013,11,0,103,0,1500,24.9,67.5,0.7,0.0,6.9,0.0
rrt+teb_upstream,525,901,1,2,71,0,1500,35.0,60.1,0.1,0.1,4.7,0.0
