"term","estimate","se","ci_lo","ci_hi"
"(Intercept)",1.04098432594983,0.145091207143045,0.756605559949463,1.3253630919502
"algorithmastar+astar",-0.869273259138507,0.0831994957749087,-1.03234427085733,-0.706202247419686
"algorithmastar+cadrl",0.0865931345358792,0.0849611070026165,-0.079930635189249,0.253116904261007
"algorithmastar+cadrl_upstream",-1.26222286887664,0.0839851908989615,-1.4268338430386,-1.09761189471467
"algorithmastar+crowdnav_attngraph",-1.24839024324947,0.0839424229591926,-1.41291739224949,-1.08386309424946
"algorithmastar+crowdnav_dsrnn",-0.30658704396648,0.0835842906254147,-0.470412253592293,-0.142761834340667
"algorithmastar+dijkstra",-1.04032852252009,0.0834335565848705,-1.20385829342644,-0.876798751613743
"algorithmastar+lstm_rl",0.0358856308635585,0.0847278883664076,-0.1301810303346,0.201952292061717
"algorithmastar+lstm_rl_upstream",-0.251862981605715,0.0837185401892607,-0.415951320376666,-0.0877746428347644
"algorithmastar+mpc",-0.106225808231629,0.0841642460353872,-0.271187730460988,0.0587361139977298
"algorithmastar+mpc_dompc",-0.320211797498756,0.083553630033018,-0.483976912363471,-0.15644668263404
"algorithmastar+orca",-0.77926320652312,0.0831418805793365,-0.942221292458619,-0.61630512058762
"algorithmastar+orca_heuristic",0.513785585718361,0.0876612982258193,0.341969441195756,0.685601730240967
"algorithmastar+rrt",-1.60458622733035,0.0854179839170233,-1.77200547580771,-1.43716697885298
"algorithmastar+sarl",0.0343340647343612,0.0847398057095612,-0.131755954456379,0.200424083925101
"algorithmastar+sarl_upstream",0.669912356687182,0.0890128160875508,0.495447237155583,0.844377476218782
"algorithmastar+teb",-1.53131292651119,0.0850488785915343,-1.6980087285506,-1.36461712447178
"algorithmastar+teb_upstream",-0.592731616448716,0.0831658407996375,-0.755736664416005,-0.429726568481426
"algorithmdijkstra+astar",-0.932795855316356,0.0832672892949349,-1.09599974233443,-0.769591968298283
"algorithmdijkstra+cadrl",0.0358856849929734,0.0847278886061749,-0.130180976675129,0.201952346661076
"algorithmdijkstra+cadrl_upstream",-1.26914924960446,0.0840070322812708,-1.43380303287575,-1.10449546633317
"algorithmdijkstra+crowdnav_attngraph",-1.23113743141526,0.0838906651830108,-1.39556313517396,-1.06671172765656
"algorithmdijkstra+crowdnav_dsrnn",-0.364359938831399,0.083461777149438,-0.527945022044297,-0.2007748556185
"algorithmdijkstra+dijkstra",-1.04707945203774,0.083446169637116,-1.21063394452648,-0.88352495954899
"algorithmdijkstra+dwa",-0.0675172528712328,0.0843048934119612,-0.232754843958677,0.0977203382162112
"algorithmdijkstra+lstm_rl",-0.0427448339346514,0.0843999132871563,-0.208168663977478,0.122678996108175
"algorithmdijkstra+lstm_rl_upstream",-0.292940183399838,0.0836161014551936,-0.456827742252017,-0.129052624547658
"algorithmdijkstra+mpc",-0.165558308115495,0.0839669210649287,-0.330133473402755,-0.00098314282823439
"algorithmdijkstra+mpc_dompc",-0.330418883474862,0.0835313773829841,-0.49414038314551,-0.166697383804213
"algorithmdijkstra+orca",-0.859260653278623,0.0831908609729212,-1.02231474078555,-0.696206565771698
"algorithmdijkstra+orca_heuristic",0.408869604466513,0.0868688710835796,0.238606617142697,0.579132591790329
"algorithmdijkstra+rrt",-1.66787503592265,0.0857656042077309,-1.8359756201698,-1.49977445167549
"algorithmdijkstra+sarl",0.0199373956488711,0.0846768090349936,-0.146029150059716,0.185903941357459
"algorithmdijkstra+sarl_upstream",0.567651388490392,0.0881036291370386,0.394968275381796,0.740334501598987
"algorithmdijkstra+teb",-1.52768040134906,0.0850314938992898,-1.69434212939167,-1.36101867330645
"algorithmdijkstra+teb_upstream",-0.656070259045266,0.0831359716699039,-0.819016763518277,-0.493123754572254
"algorithmrrt+astar",-1.39159864191503,0.0844407641769963,-1.55710253970194,-1.22609474412812
"algorithmrrt+cadrl",-0.257353791200481,0.0837328457967083,-0.421470168962029,-0.0932374134389327
"algorithmrrt+cadrl_upstream",-2.08604715553355,0.0887931110181558,-2.26008165312914,-1.91201265793797
"algorithmrrt+crowdnav_attngraph",-0.704704291463944,0.0831831004615018,-0.867743168368488,-0.5416654145594
"algorithmrrt+crowdnav_dsrnn",-0.465550519016567,0.0832939403411872,-0.628806642085294,-0.30229439594784
"algorithmrrt+dijkstra",-1.286496913513,0.0840629884544529,-1.45126037088373,-1.12173345614228
"algorithmrrt+dwa",-0.305128362518393,0.0836149026924267,-0.46901357179555,-0.141243153241237
"algorithmrrt+lstm_rl",-0.389637143283225,0.0834606326668229,-0.553219983310198,-0.226054303256252
"algorithmrrt+lstm_rl_upstream",-0.889313212493716,0.0832184541852588,-1.05242138269682,-0.726205042290609
"algorithmrrt+mpc",-0.208119106794171,0.0838714146736242,-0.372507079554475,-0.043731134033868
"algorithmrrt+mpc_dompc",-0.21106359665561,0.0838390213391707,-0.375388078480384,-0.046739114830835
"algorithmrrt+orca",-0.711291803301518,0.083144424259055,-0.874254874849266,-0.54832873175377
"algorithmrrt+orca_heuristic",0.340754441246145,0.0864264351398976,0.171358628371946,0.510150254120344
"algorithmrrt+rrt",-2.50228802727887,0.0932822171798436,-2.68512117295136,-2.31945488160637
"algorithmrrt+sarl",-0.348738683858767,0.0835094037556029,-0.512417115219749,-0.185060252497785
"algorithmrrt+sarl_upstream",0.00225172497716202,0.0846002682397506,-0.163564800772749,0.168068250727073
"algorithmrrt+teb",-2.10315934101886,0.0889463466037722,-2.27749418036226,-1.92882450167547
"algorithmrrt+teb_upstream",-1.50956008582168,0.084946046243842,-1.67605433645961,-1.34306583518375
"scale_task_path_length_m",-0.302899242021954,0.107390990222938,-0.513385582858912,-0.0924129011849962
"scale_task_n_turns",-0.0588737364604108,0.0962756683948996,-0.247574046514414,0.129826573593592
"scale_task_min_sidewalk_width_m",0.0637800479941442,0.0611770276483946,-0.0561269261967092,0.183687022184998
"scale_task_n_signalised_junctions",-0.539531648912103,0.0858903825236005,-0.70787679865836,-0.371186499165846
"scale_demand_total_ph",-0.0163685326157001,0.0608578565187343,-0.135649931392419,0.102912866161019
"reactive_pedspysf",-1.10984486320035,0.120050628788366,-1.34514409562555,-0.874545630775157
"reactive_pedssfm",0.215068835556668,0.120067453167528,-0.0202633726516869,0.450401043765023
