k,log_odds,vb_sd,estimate,se
intercept,1.01,0.008163265306122457,1.04098432594983,0.145091207143045
algo:astar+astar,-0.841,0.057397959183673464,-0.869273259138507,0.0831994957749087
algo:astar+cadrl,0.116,0.06020408163265307,0.0865931345358792,0.0849611070026165
algo:astar+cadrl_upstream,-1.234,0.0584183673469388,-1.26222286887664,0.0839851908989615
algo:astar+crowdnav_attngraph,-1.22,0.0584183673469388,-1.24839024324947,0.0839424229591926
algo:astar+crowdnav_dsrnn,-0.278,0.05790816326530612,-0.30658704396648,0.0835842906254147
algo:astar+dijkstra,-1.012,0.057908163265306116,-1.04032852252009,0.0834335565848705
algo:astar+lstm_rl,0.065,0.0596938775510204,0.0358856308635585,0.0847278883664076
algo:astar+lstm_rl_upstream,-0.223,0.05816326530612246,-0.251862981605715,0.0837185401892607
algo:astar+mpc,-0.077,0.05918367346938776,-0.106225808231629,0.0841642460353872
algo:astar+mpc_dompc,-0.291,0.05816326530612246,-0.320211797498756,0.083553630033018
algo:astar+orca,-0.75,0.057397959183673464,-0.77926320652312,0.0831418805793365
algo:astar+orca_heuristic,0.544,0.06377551020408165,0.513785585718361,0.0876612982258193
algo:astar+rrt,-1.576,0.060459183673469356,-1.60458622733035,0.0854179839170233
algo:astar+sarl,0.064,0.0596938775510204,0.0343340647343612,0.0847398057095612
algo:astar+sarl_upstream,0.7,0.06556122448979593,0.669912356687182,0.0890128160875508
algo:astar+teb,-1.503,0.05994897959183676,-1.53131292651119,0.0850488785915343
algo:astar+teb_upstream,-0.564,0.05765306122448981,-0.592731616448716,0.0831658407996375
algo:dijkstra+astar,-0.904,0.057653061224489766,-0.932795855316356,0.0832672892949349
algo:dijkstra+cadrl,0.065,0.0596938775510204,0.0358856849929734,0.0847278886061749
algo:dijkstra+cadrl_upstream,-1.24,0.0584183673469388,-1.26914924960446,0.0840070322812708
algo:dijkstra+crowdnav_attngraph,-1.202,0.05841836734693874,-1.23113743141526,0.0838906651830108
algo:dijkstra+crowdnav_dsrnn,-0.335,0.05790816326530612,-0.364359938831399,0.083461777149438
algo:dijkstra+dijkstra,-1.018,0.05790816326530609,-1.04707945203774,0.083446169637116
algo:dijkstra+dwa,-0.038,0.05918367346938775,-0.0675172528712328,0.0843048934119612
algo:dijkstra+lstm_rl,-0.013,0.05943877551020408,-0.0427448339346514,0.0843999132871563
algo:dijkstra+lstm_rl_upstream,-0.264,0.05816326530612245,-0.292940183399838,0.0836161014551936
algo:dijkstra+mpc,-0.136,0.058673469387755105,-0.165558308115495,0.0839669210649287
algo:dijkstra+mpc_dompc,-0.301,0.057908163265306116,-0.330418883474862,0.0835313773829841
algo:dijkstra+orca,-0.831,0.057397959183673464,-0.859260653278623,0.0831908609729212
algo:dijkstra+orca_heuristic,0.439,0.06275510204081634,0.408869604466513,0.0868688710835796
algo:dijkstra+rrt,-1.639,0.06096938775510201,-1.66787503592265,0.0857656042077309
algo:dijkstra+sarl,0.049,0.059693877551020416,0.0199373956488711,0.0846768090349936
algo:dijkstra+sarl_upstream,0.598,0.0642857142857143,0.567651388490392,0.0881036291370386
algo:dijkstra+teb,-1.499,0.059693877551020465,-1.52768040134906,0.0850314938992898
algo:dijkstra+teb_upstream,-0.627,0.057397959183673464,-0.656070259045266,0.0831359716699039
algo:rrt+astar,-1.363,0.05918367346938775,-1.39159864191503,0.0844407641769963
algo:rrt+cadrl,-0.228,0.05841836734693879,-0.257353791200481,0.0837328457967083
algo:rrt+cadrl_upstream,-2.057,0.064795918367347,-2.08604715553355,0.0887931110181558
algo:rrt+crowdnav_attngraph,-0.676,0.05765306122448982,-0.704704291463944,0.0831831004615018
algo:rrt+crowdnav_dsrnn,-0.437,0.05765306122448981,-0.465550519016567,0.0832939403411872
algo:rrt+dijkstra,-1.258,0.0586734693877551,-1.286496913513,0.0840629884544529
algo:rrt+dwa,-0.276,0.05816326530612245,-0.305128362518393,0.0836149026924267
algo:rrt+lstm_rl,-0.361,0.057908163265306116,-0.389637143283225,0.0834606326668229
algo:rrt+lstm_rl_upstream,-0.861,0.057397959183673464,-0.889313212493716,0.0832184541852588
algo:rrt+mpc,-0.179,0.0586734693877551,-0.208119106794171,0.0838714146736242
algo:rrt+mpc_dompc,-0.182,0.0586734693877551,-0.21106359665561,0.0838390213391707
algo:rrt+orca,-0.682,0.05739795918367349,-0.711291803301518,0.083144424259055
algo:rrt+orca_heuristic,0.371,0.06198979591836735,0.340754441246145,0.0864264351398976
algo:rrt+rrt,-2.473,0.07091836734693878,-2.50228802727887,0.0932822171798436
algo:rrt+sarl,-0.32,0.05790816326530612,-0.348738683858767,0.0835094037556029
algo:rrt+sarl_upstream,0.032,0.05943877551020408,0.002251724977162,0.0846002682397506
algo:rrt+teb,-2.074,0.06505102040816324,-2.10315934101886,0.0889463466037722
algo:rrt+teb_upstream,-1.481,0.0596938775510204,-1.50956008582168,0.084946046243842
layer:pysf,-1.108,0.013775510204081645,-1.10984486320035,0.120050628788366
layer:sfm,0.218,0.014030612244897957,0.215068835556668,0.120067453167528
cov:task_path_length_m,-0.304,0.007908163265306129,-0.302899242021954,0.107390990222938
cov:task_n_turns,-0.059,0.007908163265306122,-0.0588737364604108,0.0962756683948996
cov:task_min_sidewalk_width_m,0.064,0.007653061224489796,0.0637800479941442,0.0611770276483946
cov:task_n_signalised_junctions,-0.539,0.008418367346938783,-0.539531648912103,0.0858903825236005
cov:demand_total_ph,-0.02,0.00816326530612245,-0.0163685326157001,0.0608578565187343
