term,coef,ci_lo,ci_hi,p
Intercept,0.565,0.47,0.659,0.0
C(algorithm)[T.astar+astar],-0.124,-0.151,-0.096,0.0
C(algorithm)[T.astar+cadrl],0.004,-0.023,0.031,0.7579
C(algorithm)[T.astar+cadrl_upstream],-0.071,-0.098,-0.043,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.006,-0.021,0.033,0.6558
C(algorithm)[T.astar+crowdnav_dsrnn],-0.049,-0.076,-0.022,0.0004
C(algorithm)[T.astar+dijkstra],-0.133,-0.16,-0.105,0.0
C(algorithm)[T.astar+lstm_rl],-0.075,-0.102,-0.048,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.094,-0.121,-0.066,0.0
C(algorithm)[T.astar+mpc],-0.063,-0.09,-0.035,0.0
C(algorithm)[T.astar+mpc_dompc],-0.14,-0.167,-0.112,0.0
C(algorithm)[T.astar+orca],-0.14,-0.167,-0.113,0.0
C(algorithm)[T.astar+orca_heuristic],0.089,0.061,0.116,0.0
C(algorithm)[T.astar+rrt],-0.169,-0.197,-0.142,0.0
C(algorithm)[T.astar+sarl],0.002,-0.026,0.029,0.9096
C(algorithm)[T.astar+sarl_upstream],-0.009,-0.036,0.019,0.5352
C(algorithm)[T.astar+teb],-0.15,-0.177,-0.123,0.0
C(algorithm)[T.astar+teb_upstream],-0.09,-0.117,-0.062,0.0
C(algorithm)[T.dijkstra+astar],-0.128,-0.155,-0.101,0.0
C(algorithm)[T.dijkstra+cadrl],0.002,-0.025,0.029,0.8785
C(algorithm)[T.dijkstra+cadrl_upstream],-0.071,-0.099,-0.044,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.008,-0.02,0.035,0.582
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.053,-0.08,-0.025,0.0002
C(algorithm)[T.dijkstra+dijkstra],-0.135,-0.162,-0.107,0.0
C(algorithm)[T.dijkstra+dwa],-0.005,-0.032,0.022,0.7334
C(algorithm)[T.dijkstra+lstm_rl],-0.079,-0.106,-0.051,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.097,-0.125,-0.07,0.0
C(algorithm)[T.dijkstra+mpc],-0.065,-0.092,-0.038,0.0
C(algorithm)[T.dijkstra+mpc_dompc],-0.141,-0.168,-0.113,0.0
C(algorithm)[T.dijkstra+orca],-0.143,-0.17,-0.116,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.084,0.057,0.111,0.0
C(algorithm)[T.dijkstra+rrt],-0.173,-0.2,-0.146,0.0
C(algorithm)[T.dijkstra+sarl],0.0,-0.027,0.028,0.9721
C(algorithm)[T.dijkstra+sarl_upstream],-0.014,-0.041,0.013,0.3226
C(algorithm)[T.dijkstra+teb],-0.151,-0.179,-0.124,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.093,-0.12,-0.066,0.0
C(algorithm)[T.rrt+astar],-0.131,-0.158,-0.103,0.0
C(algorithm)[T.rrt+cadrl],0.004,-0.024,0.031,0.8001
C(algorithm)[T.rrt+cadrl_upstream],0.005,-0.022,0.033,0.7186
C(algorithm)[T.rrt+crowdnav_attngraph],0.057,0.03,0.085,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.002,-0.03,0.026,0.8882
C(algorithm)[T.rrt+dijkstra],-0.127,-0.155,-0.1,0.0
C(algorithm)[T.rrt+dwa],-0.023,-0.05,0.005,0.1071
C(algorithm)[T.rrt+lstm_rl],-0.042,-0.069,-0.014,0.0032
C(algorithm)[T.rrt+lstm_rl_upstream],-0.093,-0.12,-0.065,0.0
C(algorithm)[T.rrt+mpc],-0.045,-0.072,-0.017,0.0015
C(algorithm)[T.rrt+mpc_dompc],-0.122,-0.15,-0.095,0.0
C(algorithm)[T.rrt+orca],-0.113,-0.14,-0.085,0.0
C(algorithm)[T.rrt+orca_heuristic],0.138,0.111,0.166,0.0
C(algorithm)[T.rrt+rrt],-0.189,-0.217,-0.161,0.0
C(algorithm)[T.rrt+sarl],0.053,0.025,0.081,0.0002
C(algorithm)[T.rrt+sarl_upstream],0.032,0.005,0.06,0.0225
C(algorithm)[T.rrt+teb],-0.149,-0.177,-0.121,0.0
C(algorithm)[T.rrt+teb_upstream],-0.131,-0.159,-0.104,0.0
C(reactive_peds)[T.pysf],-0.05,-0.057,-0.044,0.0
C(reactive_peds)[T.sfm],0.039,0.033,0.045,0.0
standardize(task_path_length_m),-0.028,-0.039,-0.018,0.0
standardize(task_n_turns),-0.007,-0.012,-0.001,0.0135
standardize(task_min_sidewalk_width_m),0.006,0.003,0.01,0.0002
standardize(task_n_signalised_junctions),-0.011,-0.018,-0.004,0.0019
standardize(demand_total_ph),0.012,-0.01,0.034,0.2889
map Var,0.068,-0.032,0.168,0.1851
seed Var,0.011,0.001,0.021,0.0377
task Var,0.008,0.0,0.015,0.0397
