term,coef,ci_lo,ci_hi,p
Intercept,5.535,5.279,5.79,0.0
C(algorithm)[T.astar+astar],-0.002,-0.018,0.013,0.7797
C(algorithm)[T.astar+cadrl],0.007,-0.008,0.021,0.3682
C(algorithm)[T.astar+cadrl_upstream],0.14,0.123,0.156,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.155,0.138,0.171,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],0.014,-0.001,0.029,0.0633
C(algorithm)[T.astar+dijkstra],-0.0,-0.016,0.016,0.9863
C(algorithm)[T.astar+lstm_rl],0.116,0.102,0.131,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.0,-0.015,0.014,0.9724
C(algorithm)[T.astar+mpc],-0.012,-0.027,0.003,0.1074
C(algorithm)[T.astar+mpc_dompc],-0.001,-0.015,0.014,0.9468
C(algorithm)[T.astar+orca],-0.007,-0.023,0.008,0.3449
C(algorithm)[T.astar+orca_heuristic],0.005,-0.009,0.019,0.4925
C(algorithm)[T.astar+rrt],-0.008,-0.026,0.009,0.3421
C(algorithm)[T.astar+sarl],0.142,0.128,0.157,0.0
C(algorithm)[T.astar+sarl_upstream],0.035,0.022,0.049,0.0
C(algorithm)[T.astar+teb],-0.013,-0.03,0.005,0.1472
C(algorithm)[T.astar+teb_upstream],-0.004,-0.02,0.011,0.5728
C(algorithm)[T.dijkstra+astar],-0.005,-0.02,0.011,0.5723
C(algorithm)[T.dijkstra+cadrl],0.006,-0.008,0.021,0.3948
C(algorithm)[T.dijkstra+cadrl_upstream],0.14,0.123,0.156,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.158,0.141,0.174,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],0.014,-0.001,0.028,0.0751
C(algorithm)[T.dijkstra+dijkstra],0.0,-0.016,0.016,0.9859
C(algorithm)[T.dijkstra+dwa],-0.001,-0.015,0.014,0.9068
C(algorithm)[T.dijkstra+lstm_rl],0.115,0.101,0.129,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.0,-0.015,0.015,0.9804
C(algorithm)[T.dijkstra+mpc],-0.012,-0.027,0.003,0.1101
C(algorithm)[T.dijkstra+mpc_dompc],0.0,-0.014,0.015,0.9611
C(algorithm)[T.dijkstra+orca],-0.01,-0.025,0.006,0.2236
C(algorithm)[T.dijkstra+orca_heuristic],0.004,-0.011,0.018,0.6198
C(algorithm)[T.dijkstra+rrt],-0.011,-0.029,0.006,0.214
C(algorithm)[T.dijkstra+sarl],0.142,0.127,0.156,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.035,0.021,0.049,0.0
C(algorithm)[T.dijkstra+teb],-0.014,-0.031,0.004,0.1235
C(algorithm)[T.dijkstra+teb_upstream],-0.005,-0.02,0.011,0.5506
C(algorithm)[T.rrt+astar],0.069,0.052,0.085,0.0
C(algorithm)[T.rrt+cadrl],0.089,0.074,0.104,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.177,0.158,0.197,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.197,0.182,0.212,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.082,0.067,0.097,0.0
C(algorithm)[T.rrt+dijkstra],0.087,0.07,0.103,0.0
C(algorithm)[T.rrt+dwa],0.084,0.069,0.098,0.0
C(algorithm)[T.rrt+lstm_rl],0.216,0.201,0.231,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.068,0.052,0.084,0.0
C(algorithm)[T.rrt+mpc],0.085,0.07,0.099,0.0
C(algorithm)[T.rrt+mpc_dompc],0.096,0.081,0.11,0.0
C(algorithm)[T.rrt+orca],0.072,0.057,0.087,0.0
C(algorithm)[T.rrt+orca_heuristic],0.096,0.082,0.11,0.0
C(algorithm)[T.rrt+rrt],0.064,0.042,0.085,0.0
C(algorithm)[T.rrt+sarl],0.212,0.198,0.227,0.0
C(algorithm)[T.rrt+sarl_upstream],0.117,0.102,0.131,0.0
C(algorithm)[T.rrt+teb],0.032,0.013,0.052,0.001
C(algorithm)[T.rrt+teb_upstream],0.069,0.052,0.087,0.0
C(reactive_peds)[T.pysf],-0.005,-0.009,-0.001,0.0276
C(reactive_peds)[T.sfm],0.002,-0.002,0.005,0.3938
standardize(task_path_length_m),0.268,0.262,0.274,0.0
standardize(task_n_turns),-0.023,-0.026,-0.02,0.0
standardize(task_min_sidewalk_width_m),-0.007,-0.009,-0.004,0.0
standardize(task_n_signalised_junctions),-0.011,-0.015,-0.007,0.0
standardize(demand_total_ph),0.0,-0.012,0.012,0.9942
map Var,2.569,-0.998,6.137,0.158
seed Var,0.001,-0.0,0.002,0.1545
task Var,1.322,0.1,2.544,0.034
