term,coef,ci_lo,ci_hi,p
Intercept,0.245,0.221,0.269,0.0
C(algorithm)[T.astar+astar],-0.029,-0.046,-0.011,0.0011
C(algorithm)[T.astar+cadrl],-0.022,-0.039,-0.005,0.0112
C(algorithm)[T.astar+cadrl_upstream],0.089,0.072,0.106,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.225,0.208,0.242,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.009,-0.026,0.008,0.3088
C(algorithm)[T.astar+dijkstra],-0.03,-0.047,-0.013,0.0006
C(algorithm)[T.astar+lstm_rl],0.014,-0.003,0.031,0.1133
C(algorithm)[T.astar+lstm_rl_upstream],-0.022,-0.039,-0.004,0.0134
C(algorithm)[T.astar+mpc],-0.012,-0.029,0.006,0.1843
C(algorithm)[T.astar+mpc_dompc],0.009,-0.009,0.026,0.3275
C(algorithm)[T.astar+orca],-0.011,-0.029,0.006,0.1908
C(algorithm)[T.astar+orca_heuristic],0.002,-0.015,0.019,0.8123
C(algorithm)[T.astar+rrt],-0.046,-0.063,-0.029,0.0
C(algorithm)[T.astar+sarl],0.116,0.099,0.134,0.0
C(algorithm)[T.astar+sarl_upstream],0.029,0.011,0.046,0.0011
C(algorithm)[T.astar+teb],-0.033,-0.05,-0.016,0.0002
C(algorithm)[T.astar+teb_upstream],-0.004,-0.021,0.013,0.6398
C(algorithm)[T.dijkstra+astar],-0.028,-0.045,-0.011,0.0012
C(algorithm)[T.dijkstra+cadrl],-0.022,-0.039,-0.005,0.0132
C(algorithm)[T.dijkstra+cadrl_upstream],0.09,0.072,0.107,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.224,0.207,0.241,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.009,-0.026,0.008,0.308
C(algorithm)[T.dijkstra+dijkstra],-0.029,-0.046,-0.012,0.0009
C(algorithm)[T.dijkstra+dwa],-0.002,-0.019,0.016,0.8525
C(algorithm)[T.dijkstra+lstm_rl],0.014,-0.004,0.031,0.1195
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.021,-0.038,-0.004,0.015
C(algorithm)[T.dijkstra+mpc],-0.011,-0.029,0.006,0.191
C(algorithm)[T.dijkstra+mpc_dompc],0.008,-0.009,0.025,0.3534
C(algorithm)[T.dijkstra+orca],-0.012,-0.03,0.005,0.1534
C(algorithm)[T.dijkstra+orca_heuristic],0.001,-0.016,0.018,0.8987
C(algorithm)[T.dijkstra+rrt],-0.045,-0.062,-0.028,0.0
C(algorithm)[T.dijkstra+sarl],0.119,0.102,0.136,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.028,0.011,0.045,0.0013
C(algorithm)[T.dijkstra+teb],-0.033,-0.051,-0.016,0.0001
C(algorithm)[T.dijkstra+teb_upstream],-0.005,-0.022,0.012,0.5937
C(algorithm)[T.rrt+astar],-0.063,-0.08,-0.045,0.0
C(algorithm)[T.rrt+cadrl],-0.007,-0.024,0.011,0.4611
C(algorithm)[T.rrt+cadrl_upstream],0.063,0.046,0.08,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.156,0.139,0.174,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.026,-0.044,-0.009,0.0029
C(algorithm)[T.rrt+dijkstra],-0.041,-0.058,-0.023,0.0
C(algorithm)[T.rrt+dwa],0.004,-0.013,0.021,0.6375
C(algorithm)[T.rrt+lstm_rl],0.006,-0.011,0.024,0.487
C(algorithm)[T.rrt+lstm_rl_upstream],-0.027,-0.045,-0.01,0.0021
C(algorithm)[T.rrt+mpc],-0.002,-0.019,0.016,0.8488
C(algorithm)[T.rrt+mpc_dompc],0.02,0.003,0.037,0.0243
C(algorithm)[T.rrt+orca],-0.005,-0.023,0.012,0.5397
C(algorithm)[T.rrt+orca_heuristic],0.002,-0.015,0.019,0.8342
C(algorithm)[T.rrt+rrt],-0.092,-0.11,-0.075,0.0
C(algorithm)[T.rrt+sarl],0.085,0.068,0.103,0.0
C(algorithm)[T.rrt+sarl_upstream],0.011,-0.007,0.028,0.2298
C(algorithm)[T.rrt+teb],-0.106,-0.123,-0.089,0.0
C(algorithm)[T.rrt+teb_upstream],-0.038,-0.056,-0.021,0.0
C(reactive_peds)[T.pysf],0.325,0.321,0.329,0.0
C(reactive_peds)[T.sfm],0.217,0.213,0.221,0.0
standardize(task_path_length_m),0.022,0.0,0.044,0.0488
standardize(task_n_turns),0.016,-0.003,0.035,0.1064
standardize(task_min_sidewalk_width_m),-0.008,-0.019,0.003,0.1675
standardize(task_n_signalised_junctions),-0.008,-0.026,0.01,0.3809
standardize(demand_total_ph),0.014,0.002,0.026,0.0278
map Var,0.004,-0.008,0.016,0.5051
seed Var,0.005,0.0,0.009,0.042
task Var,0.032,0.018,0.046,0.0
