term,coef,ci_lo,ci_hi,p
Intercept,1.597,1.075,2.118,0.0
C(algorithm)[T.astar+astar],-0.189,-0.26,-0.118,0.0
C(algorithm)[T.astar+cadrl],-0.016,-0.087,0.055,0.6564
C(algorithm)[T.astar+cadrl_upstream],0.336,0.265,0.407,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.134,1.063,1.205,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.042,-0.113,0.029,0.2459
C(algorithm)[T.astar+dijkstra],-0.209,-0.28,-0.138,0.0
C(algorithm)[T.astar+lstm_rl],0.048,-0.023,0.119,0.1889
C(algorithm)[T.astar+lstm_rl_upstream],-0.104,-0.175,-0.033,0.004
C(algorithm)[T.astar+mpc],-0.077,-0.148,-0.006,0.0339
C(algorithm)[T.astar+mpc_dompc],-0.043,-0.114,0.028,0.2366
C(algorithm)[T.astar+orca],-0.083,-0.154,-0.012,0.022
C(algorithm)[T.astar+orca_heuristic],0.096,0.025,0.167,0.0083
C(algorithm)[T.astar+rrt],-0.249,-0.32,-0.178,0.0
C(algorithm)[T.astar+sarl],0.731,0.66,0.802,0.0
C(algorithm)[T.astar+sarl_upstream],0.152,0.081,0.223,0.0
C(algorithm)[T.astar+teb],-0.172,-0.243,-0.101,0.0
C(algorithm)[T.astar+teb_upstream],-0.066,-0.137,0.005,0.0702
C(algorithm)[T.dijkstra+astar],-0.183,-0.254,-0.112,0.0
C(algorithm)[T.dijkstra+cadrl],-0.002,-0.073,0.069,0.9501
C(algorithm)[T.dijkstra+cadrl_upstream],0.33,0.259,0.401,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.132,1.062,1.203,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.023,-0.094,0.048,0.5221
C(algorithm)[T.dijkstra+dijkstra],-0.196,-0.267,-0.125,0.0
C(algorithm)[T.dijkstra+dwa],0.0,-0.071,0.071,0.9939
C(algorithm)[T.dijkstra+lstm_rl],0.056,-0.015,0.127,0.1245
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.097,-0.168,-0.026,0.0075
C(algorithm)[T.dijkstra+mpc],-0.067,-0.138,0.004,0.0633
C(algorithm)[T.dijkstra+mpc_dompc],-0.032,-0.103,0.039,0.3766
C(algorithm)[T.dijkstra+orca],-0.085,-0.156,-0.014,0.0188
C(algorithm)[T.dijkstra+orca_heuristic],0.094,0.023,0.165,0.0098
C(algorithm)[T.dijkstra+rrt],-0.253,-0.324,-0.182,0.0
C(algorithm)[T.dijkstra+sarl],0.725,0.654,0.796,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.175,0.104,0.246,0.0
C(algorithm)[T.dijkstra+teb],-0.158,-0.229,-0.087,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.052,-0.123,0.019,0.1491
C(algorithm)[T.rrt+astar],-0.295,-0.368,-0.223,0.0
C(algorithm)[T.rrt+cadrl],-0.154,-0.226,-0.082,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.177,0.106,0.249,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.687,0.616,0.759,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.169,-0.241,-0.097,0.0
C(algorithm)[T.rrt+dijkstra],-0.24,-0.312,-0.168,0.0
C(algorithm)[T.rrt+dwa],-0.1,-0.172,-0.028,0.0063
C(algorithm)[T.rrt+lstm_rl],0.077,0.005,0.15,0.0353
C(algorithm)[T.rrt+lstm_rl_upstream],-0.24,-0.312,-0.168,0.0
C(algorithm)[T.rrt+mpc],-0.087,-0.159,-0.015,0.0178
C(algorithm)[T.rrt+mpc_dompc],-0.044,-0.116,0.028,0.2304
C(algorithm)[T.rrt+orca],-0.146,-0.218,-0.074,0.0001
C(algorithm)[T.rrt+orca_heuristic],-0.025,-0.097,0.046,0.4892
C(algorithm)[T.rrt+rrt],-0.414,-0.486,-0.342,0.0
C(algorithm)[T.rrt+sarl],0.47,0.398,0.542,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.016,-0.089,0.056,0.6547
C(algorithm)[T.rrt+teb],-0.363,-0.436,-0.291,0.0
C(algorithm)[T.rrt+teb_upstream],-0.227,-0.299,-0.155,0.0
C(reactive_peds)[T.pysf],-0.745,-0.762,-0.728,0.0
C(reactive_peds)[T.sfm],-0.683,-0.7,-0.666,0.0
standardize(task_path_length_m),0.092,0.064,0.12,0.0
standardize(task_n_turns),-0.033,-0.047,-0.019,0.0
standardize(task_min_sidewalk_width_m),-0.035,-0.043,-0.026,0.0
standardize(task_n_signalised_junctions),-0.037,-0.055,-0.019,0.0001
standardize(demand_total_ph),0.005,-0.05,0.061,0.8557
map Var,0.277,-0.392,0.946,0.4173
seed Var,0.087,,,
task Var,0.072,,,
