term,coef,ci_lo,ci_hi,p
Intercept,2.193,2.002,2.385,0.0
C(algorithm)[T.astar+astar],-0.272,-0.362,-0.181,0.0
C(algorithm)[T.astar+cadrl],-0.099,-0.19,-0.009,0.0314
C(algorithm)[T.astar+cadrl_upstream],0.918,0.828,1.009,0.0
C(algorithm)[T.astar+crowdnav_attngraph],2.003,1.912,2.094,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.237,-0.327,-0.146,0.0
C(algorithm)[T.astar+dijkstra],-0.359,-0.449,-0.268,0.0
C(algorithm)[T.astar+lstm_rl],0.033,-0.058,0.124,0.4747
C(algorithm)[T.astar+lstm_rl_upstream],-0.282,-0.372,-0.191,0.0
C(algorithm)[T.astar+mpc],-0.082,-0.173,0.008,0.0757
C(algorithm)[T.astar+mpc_dompc],-0.006,-0.097,0.084,0.892
C(algorithm)[T.astar+orca],-0.046,-0.136,0.045,0.3245
C(algorithm)[T.astar+orca_heuristic],0.243,0.153,0.334,0.0
C(algorithm)[T.astar+rrt],-0.531,-0.622,-0.441,0.0
C(algorithm)[T.astar+sarl],0.962,0.872,1.053,0.0
C(algorithm)[T.astar+sarl_upstream],0.05,-0.041,0.14,0.28
C(algorithm)[T.astar+teb],-0.451,-0.542,-0.361,0.0
C(algorithm)[T.astar+teb_upstream],-0.127,-0.217,-0.036,0.0062
C(algorithm)[T.dijkstra+astar],-0.269,-0.36,-0.179,0.0
C(algorithm)[T.dijkstra+cadrl],-0.11,-0.201,-0.02,0.0168
C(algorithm)[T.dijkstra+cadrl_upstream],0.912,0.822,1.003,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.984,1.894,2.075,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.236,-0.327,-0.146,0.0
C(algorithm)[T.dijkstra+dijkstra],-0.338,-0.428,-0.247,0.0
C(algorithm)[T.dijkstra+dwa],-0.022,-0.113,0.069,0.6344
C(algorithm)[T.dijkstra+lstm_rl],0.024,-0.066,0.115,0.5961
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.282,-0.372,-0.191,0.0
C(algorithm)[T.dijkstra+mpc],-0.082,-0.172,0.009,0.0766
C(algorithm)[T.dijkstra+mpc_dompc],-0.007,-0.098,0.083,0.8748
C(algorithm)[T.dijkstra+orca],-0.055,-0.145,0.036,0.2373
C(algorithm)[T.dijkstra+orca_heuristic],0.23,0.139,0.32,0.0
C(algorithm)[T.dijkstra+rrt],-0.544,-0.634,-0.453,0.0
C(algorithm)[T.dijkstra+sarl],0.94,0.849,1.03,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.046,-0.044,0.137,0.3187
C(algorithm)[T.dijkstra+teb],-0.445,-0.536,-0.355,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.13,-0.221,-0.04,0.0048
C(algorithm)[T.rrt+astar],-0.547,-0.64,-0.455,0.0
C(algorithm)[T.rrt+cadrl],-0.217,-0.309,-0.125,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.546,0.455,0.638,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.198,1.106,1.29,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.429,-0.521,-0.338,0.0
C(algorithm)[T.rrt+dijkstra],-0.46,-0.552,-0.368,0.0
C(algorithm)[T.rrt+dwa],-0.148,-0.239,-0.056,0.0015
C(algorithm)[T.rrt+lstm_rl],-0.06,-0.152,0.032,0.2042
C(algorithm)[T.rrt+lstm_rl_upstream],-0.524,-0.616,-0.432,0.0
C(algorithm)[T.rrt+mpc],-0.042,-0.134,0.049,0.3668
C(algorithm)[T.rrt+mpc_dompc],0.045,-0.046,0.137,0.3337
C(algorithm)[T.rrt+orca],-0.058,-0.15,0.034,0.2153
C(algorithm)[T.rrt+orca_heuristic],0.055,-0.036,0.147,0.2365
C(algorithm)[T.rrt+rrt],-0.832,-0.924,-0.739,0.0
C(algorithm)[T.rrt+sarl],0.66,0.568,0.752,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.199,-0.291,-0.107,0.0
C(algorithm)[T.rrt+teb],-0.845,-0.937,-0.753,0.0
C(algorithm)[T.rrt+teb_upstream],-0.364,-0.456,-0.272,0.0
C(reactive_peds)[T.pysf],-0.169,-0.336,-0.002,0.0467
C(reactive_peds)[T.sfm],-0.549,-0.715,-0.382,0.0
standardize(task_path_length_m),0.303,0.155,0.451,0.0001
standardize(task_n_turns),-0.097,-0.257,0.063,0.2345
standardize(task_min_sidewalk_width_m),0.006,-0.084,0.096,0.8915
standardize(task_n_signalised_junctions),0.0,-0.117,0.117,0.9997
standardize(demand_total_ph),0.076,0.009,0.144,0.0254
layer_map Var,0.008,-0.0,0.017,0.0642
layer_seed Var,0.004,0.001,0.006,0.0067
layer_task Var,0.01,0.007,0.014,0.0
map Var,0.0,,,
seed Var,0.015,-0.0,0.029,0.0504
task Var,0.079,0.044,0.114,0.0
