term,coef,ci_lo,ci_hi,p
Intercept,5.644,5.478,5.809,0.0
C(algorithm)[T.astar+astar],-0.048,-0.069,-0.028,0.0
C(algorithm)[T.astar+cadrl],-0.031,-0.05,-0.012,0.0014
C(algorithm)[T.astar+cadrl_upstream],0.493,0.471,0.515,0.0
C(algorithm)[T.astar+crowdnav_attngraph],0.497,0.475,0.519,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.027,-0.047,-0.008,0.0061
C(algorithm)[T.astar+dijkstra],-0.043,-0.065,-0.022,0.0001
C(algorithm)[T.astar+lstm_rl],0.112,0.093,0.131,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.041,-0.06,-0.021,0.0
C(algorithm)[T.astar+mpc],-0.033,-0.053,-0.014,0.0007
C(algorithm)[T.astar+mpc_dompc],-0.02,-0.04,-0.0,0.046
C(algorithm)[T.astar+orca],-0.041,-0.062,-0.021,0.0001
C(algorithm)[T.astar+orca_heuristic],-0.017,-0.036,0.001,0.0701
C(algorithm)[T.astar+rrt],-0.049,-0.072,-0.026,0.0
C(algorithm)[T.astar+sarl],0.379,0.36,0.399,0.0
C(algorithm)[T.astar+sarl_upstream],0.052,0.033,0.07,0.0
C(algorithm)[T.astar+teb],-0.001,-0.024,0.022,0.9366
C(algorithm)[T.astar+teb_upstream],-0.041,-0.061,-0.021,0.0001
C(algorithm)[T.dijkstra+astar],-0.044,-0.065,-0.023,0.0
C(algorithm)[T.dijkstra+cadrl],-0.026,-0.045,-0.007,0.0086
C(algorithm)[T.dijkstra+cadrl_upstream],0.484,0.462,0.506,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],0.498,0.476,0.52,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.024,-0.043,-0.004,0.0191
C(algorithm)[T.dijkstra+dijkstra],-0.039,-0.06,-0.018,0.0003
C(algorithm)[T.dijkstra+dwa],0.002,-0.017,0.022,0.8001
C(algorithm)[T.dijkstra+lstm_rl],0.117,0.098,0.136,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.035,-0.055,-0.016,0.0004
C(algorithm)[T.dijkstra+mpc],-0.029,-0.048,-0.01,0.0035
C(algorithm)[T.dijkstra+mpc_dompc],-0.016,-0.035,0.004,0.1195
C(algorithm)[T.dijkstra+orca],-0.035,-0.056,-0.015,0.0009
C(algorithm)[T.dijkstra+orca_heuristic],-0.013,-0.031,0.006,0.1883
C(algorithm)[T.dijkstra+rrt],-0.044,-0.068,-0.021,0.0002
C(algorithm)[T.dijkstra+sarl],0.383,0.364,0.402,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.057,0.038,0.075,0.0
C(algorithm)[T.dijkstra+teb],0.004,-0.019,0.027,0.7528
C(algorithm)[T.dijkstra+teb_upstream],-0.037,-0.057,-0.016,0.0004
C(algorithm)[T.rrt+astar],0.015,-0.007,0.038,0.1778
C(algorithm)[T.rrt+cadrl],0.035,0.015,0.054,0.0005
C(algorithm)[T.rrt+cadrl_upstream],0.495,0.47,0.521,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.423,0.403,0.444,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],0.029,0.009,0.049,0.0038
C(algorithm)[T.rrt+dijkstra],0.032,0.01,0.054,0.0041
C(algorithm)[T.rrt+dwa],0.082,0.063,0.102,0.0
C(algorithm)[T.rrt+lstm_rl],0.213,0.194,0.233,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],0.02,-0.001,0.041,0.0581
C(algorithm)[T.rrt+mpc],0.044,0.025,0.063,0.0
C(algorithm)[T.rrt+mpc_dompc],0.067,0.048,0.087,0.0
C(algorithm)[T.rrt+orca],0.029,0.008,0.049,0.0058
C(algorithm)[T.rrt+orca_heuristic],0.066,0.048,0.085,0.0
C(algorithm)[T.rrt+rrt],0.031,0.002,0.059,0.0333
C(algorithm)[T.rrt+sarl],0.433,0.413,0.452,0.0
C(algorithm)[T.rrt+sarl_upstream],0.112,0.093,0.131,0.0
C(algorithm)[T.rrt+teb],0.053,0.027,0.078,0.0001
C(algorithm)[T.rrt+teb_upstream],0.035,0.012,0.058,0.0028
C(reactive_peds)[T.pysf],0.009,0.003,0.014,0.0025
C(reactive_peds)[T.sfm],0.003,-0.001,0.008,0.1674
standardize(task_path_length_m),0.404,0.301,0.507,0.0
standardize(task_n_turns),-0.008,-0.08,0.063,0.8158
standardize(task_min_sidewalk_width_m),-0.003,-0.058,0.053,0.9252
standardize(task_n_signalised_junctions),0.036,-0.068,0.14,0.4975
standardize(demand_total_ph),-0.035,-0.051,-0.018,0.0
map Var,0.684,-1.499,2.867,0.5391
seed Var,0.005,0.001,0.009,0.0158
task Var,0.644,0.408,0.881,0.0
