term,coef,ci_lo,ci_hi,p
Intercept,3.979,2.907,5.051,0.0
C(algorithm)[T.astar+astar],-0.684,-0.847,-0.521,0.0
C(algorithm)[T.astar+cadrl],-0.072,-0.235,0.091,0.3871
C(algorithm)[T.astar+cadrl_upstream],1.217,1.053,1.38,0.0
C(algorithm)[T.astar+crowdnav_attngraph],3.055,2.892,3.218,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.035,-0.198,0.129,0.6762
C(algorithm)[T.astar+dijkstra],-0.774,-0.937,-0.61,0.0
C(algorithm)[T.astar+lstm_rl],0.212,0.049,0.375,0.011
C(algorithm)[T.astar+lstm_rl_upstream],-0.33,-0.493,-0.167,0.0001
C(algorithm)[T.astar+mpc],-0.251,-0.414,-0.088,0.0026
C(algorithm)[T.astar+mpc_dompc],-0.382,-0.545,-0.218,0.0
C(algorithm)[T.astar+orca],-0.559,-0.722,-0.396,0.0
C(algorithm)[T.astar+orca_heuristic],0.343,0.18,0.507,0.0
C(algorithm)[T.astar+rrt],-1.225,-1.388,-1.061,0.0
C(algorithm)[T.astar+sarl],1.661,1.497,1.824,0.0
C(algorithm)[T.astar+sarl_upstream],0.329,0.165,0.492,0.0001
C(algorithm)[T.astar+teb],-1.016,-1.18,-0.853,0.0
C(algorithm)[T.astar+teb_upstream],-0.758,-0.921,-0.594,0.0
C(algorithm)[T.dijkstra+astar],-0.677,-0.84,-0.514,0.0
C(algorithm)[T.dijkstra+cadrl],-0.077,-0.24,0.087,0.3571
C(algorithm)[T.dijkstra+cadrl_upstream],1.23,1.067,1.393,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],3.042,2.879,3.205,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.033,-0.196,0.13,0.6923
C(algorithm)[T.dijkstra+dijkstra],-0.739,-0.902,-0.576,0.0
C(algorithm)[T.dijkstra+dwa],-0.025,-0.188,0.139,0.7671
C(algorithm)[T.dijkstra+lstm_rl],0.211,0.047,0.374,0.0114
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.328,-0.491,-0.165,0.0001
C(algorithm)[T.dijkstra+mpc],-0.243,-0.406,-0.079,0.0036
C(algorithm)[T.dijkstra+mpc_dompc],-0.376,-0.539,-0.213,0.0
C(algorithm)[T.dijkstra+orca],-0.563,-0.726,-0.4,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.361,0.197,0.524,0.0
C(algorithm)[T.dijkstra+rrt],-1.232,-1.395,-1.068,0.0
C(algorithm)[T.dijkstra+sarl],1.671,1.508,1.834,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.318,0.155,0.482,0.0001
C(algorithm)[T.dijkstra+teb],-0.983,-1.146,-0.819,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.752,-0.915,-0.589,0.0
C(algorithm)[T.rrt+astar],-1.104,-1.27,-0.939,0.0
C(algorithm)[T.rrt+cadrl],-0.232,-0.398,-0.066,0.0062
C(algorithm)[T.rrt+cadrl_upstream],0.773,0.608,0.938,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.923,1.759,2.088,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.259,-0.426,-0.093,0.0022
C(algorithm)[T.rrt+dijkstra],-0.819,-0.984,-0.653,0.0
C(algorithm)[T.rrt+dwa],-0.141,-0.305,0.024,0.0948
C(algorithm)[T.rrt+lstm_rl],0.094,-0.072,0.26,0.2683
C(algorithm)[T.rrt+lstm_rl_upstream],-0.7,-0.866,-0.535,0.0
C(algorithm)[T.rrt+mpc],-0.231,-0.396,-0.065,0.0063
C(algorithm)[T.rrt+mpc_dompc],-0.099,-0.264,0.066,0.2409
C(algorithm)[T.rrt+orca],-0.379,-0.545,-0.213,0.0
C(algorithm)[T.rrt+orca_heuristic],0.149,-0.016,0.315,0.0766
C(algorithm)[T.rrt+rrt],-1.363,-1.53,-1.197,0.0
C(algorithm)[T.rrt+sarl],1.293,1.127,1.458,0.0
C(algorithm)[T.rrt+sarl_upstream],0.094,-0.072,0.26,0.2657
C(algorithm)[T.rrt+teb],-1.682,-1.848,-1.515,0.0
C(algorithm)[T.rrt+teb_upstream],-0.786,-0.952,-0.621,0.0
C(reactive_peds)[T.sfm],-1.064,-1.096,-1.032,0.0
standardize(task_path_length_m),0.548,0.204,0.891,0.0018
standardize(task_n_turns),-0.106,-0.35,0.138,0.3938
standardize(task_min_sidewalk_width_m),-0.008,-0.156,0.139,0.9134
standardize(task_n_signalised_junctions),-0.097,-0.396,0.201,0.5227
standardize(demand_total_ph),-0.132,-0.26,-0.004,0.0433
map Var,0.411,,,
seed Var,0.013,-0.0,0.026,0.0514
task Var,0.079,0.043,0.116,0.0
