term,coef,ci_lo,ci_hi,p
Intercept,2.416,1.557,3.276,0.0
C(algorithm)[T.astar+astar],-0.522,-0.632,-0.412,0.0
C(algorithm)[T.astar+cadrl],-0.203,-0.313,-0.094,0.0003
C(algorithm)[T.astar+cadrl_upstream],0.793,0.683,0.902,0.0
C(algorithm)[T.astar+crowdnav_attngraph],1.946,1.836,2.056,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.044,-0.154,0.066,0.4341
C(algorithm)[T.astar+dijkstra],-0.512,-0.622,-0.402,0.0
C(algorithm)[T.astar+lstm_rl],0.074,-0.035,0.184,0.1836
C(algorithm)[T.astar+lstm_rl_upstream],-0.269,-0.378,-0.159,0.0
C(algorithm)[T.astar+mpc],-0.186,-0.296,-0.077,0.0009
C(algorithm)[T.astar+mpc_dompc],-0.169,-0.279,-0.059,0.0025
C(algorithm)[T.astar+orca],-0.274,-0.383,-0.164,0.0
C(algorithm)[T.astar+orca_heuristic],0.213,0.103,0.323,0.0001
C(algorithm)[T.astar+rrt],-0.801,-0.91,-0.691,0.0
C(algorithm)[T.astar+sarl],1.057,0.948,1.167,0.0
C(algorithm)[T.astar+sarl_upstream],0.145,0.036,0.255,0.0094
C(algorithm)[T.astar+teb],-0.642,-0.752,-0.532,0.0
C(algorithm)[T.astar+teb_upstream],-0.404,-0.514,-0.294,0.0
C(algorithm)[T.dijkstra+astar],-0.518,-0.628,-0.409,0.0
C(algorithm)[T.dijkstra+cadrl],-0.207,-0.316,-0.097,0.0002
C(algorithm)[T.dijkstra+cadrl_upstream],0.791,0.682,0.901,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],1.932,1.822,2.042,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.044,-0.153,0.066,0.4351
C(algorithm)[T.dijkstra+dijkstra],-0.491,-0.601,-0.381,0.0
C(algorithm)[T.dijkstra+dwa],-0.017,-0.127,0.093,0.7601
C(algorithm)[T.dijkstra+lstm_rl],0.062,-0.048,0.172,0.2686
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.259,-0.369,-0.15,0.0
C(algorithm)[T.dijkstra+mpc],-0.179,-0.289,-0.07,0.0014
C(algorithm)[T.dijkstra+mpc_dompc],-0.164,-0.273,-0.054,0.0035
C(algorithm)[T.dijkstra+orca],-0.277,-0.386,-0.167,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.223,0.113,0.333,0.0001
C(algorithm)[T.dijkstra+rrt],-0.803,-0.913,-0.694,0.0
C(algorithm)[T.dijkstra+sarl],1.057,0.947,1.167,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.137,0.027,0.247,0.0143
C(algorithm)[T.dijkstra+teb],-0.616,-0.726,-0.507,0.0
C(algorithm)[T.dijkstra+teb_upstream],-0.401,-0.511,-0.291,0.0
C(algorithm)[T.rrt+astar],-0.744,-0.856,-0.633,0.0
C(algorithm)[T.rrt+cadrl],-0.303,-0.414,-0.191,0.0
C(algorithm)[T.rrt+cadrl_upstream],0.31,0.2,0.421,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],0.978,0.867,1.089,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.385,-0.496,-0.273,0.0
C(algorithm)[T.rrt+dijkstra],-0.614,-0.725,-0.503,0.0
C(algorithm)[T.rrt+dwa],-0.286,-0.397,-0.176,0.0
C(algorithm)[T.rrt+lstm_rl],-0.187,-0.299,-0.076,0.001
C(algorithm)[T.rrt+lstm_rl_upstream],-0.641,-0.752,-0.53,0.0
C(algorithm)[T.rrt+mpc],-0.185,-0.296,-0.074,0.0011
C(algorithm)[T.rrt+mpc_dompc],-0.077,-0.188,0.034,0.1719
C(algorithm)[T.rrt+orca],-0.269,-0.38,-0.157,0.0
C(algorithm)[T.rrt+orca_heuristic],0.0,-0.111,0.111,0.9963
C(algorithm)[T.rrt+rrt],-1.053,-1.165,-0.941,0.0
C(algorithm)[T.rrt+sarl],0.541,0.43,0.652,0.0
C(algorithm)[T.rrt+sarl_upstream],-0.2,-0.311,-0.088,0.0005
C(algorithm)[T.rrt+teb],-1.316,-1.428,-1.204,0.0
C(algorithm)[T.rrt+teb_upstream],-0.579,-0.691,-0.468,0.0
C(reactive_peds)[T.sfm],0.557,0.536,0.578,0.0
standardize(task_path_length_m),0.391,0.193,0.588,0.0001
standardize(task_n_turns),-0.085,-0.281,0.112,0.3975
standardize(task_min_sidewalk_width_m),-0.01,-0.123,0.102,0.8559
standardize(task_n_signalised_junctions),-0.044,-0.22,0.131,0.6212
standardize(demand_total_ph),-0.014,-0.098,0.07,0.747
map Var,0.096,,,
seed Var,1.002,,,
task Var,0.119,0.065,0.173,0.0
