term,coef,ci_lo,ci_hi,p
Intercept,5.616,4.84,6.393,0.0
C(algorithm)[T.astar+astar],-0.866,-1.007,-0.724,0.0
C(algorithm)[T.astar+cadrl],0.016,-0.125,0.158,0.8214
C(algorithm)[T.astar+cadrl_upstream],1.258,1.117,1.4,0.0
C(algorithm)[T.astar+crowdnav_attngraph],2.875,2.733,3.016,0.0
C(algorithm)[T.astar+crowdnav_dsrnn],-0.221,-0.363,-0.08,0.0022
C(algorithm)[T.astar+dijkstra],-0.893,-1.034,-0.751,0.0
C(algorithm)[T.astar+lstm_rl],0.597,0.456,0.739,0.0
C(algorithm)[T.astar+lstm_rl_upstream],-0.185,-0.326,-0.043,0.0106
C(algorithm)[T.astar+mpc],-0.672,-0.813,-0.53,0.0
C(algorithm)[T.astar+mpc_dompc],-0.966,-1.108,-0.825,0.0
C(algorithm)[T.astar+orca],-1.034,-1.175,-0.892,0.0
C(algorithm)[T.astar+orca_heuristic],0.401,0.259,0.542,0.0
C(algorithm)[T.astar+rrt],-1.773,-1.914,-1.631,0.0
C(algorithm)[T.astar+sarl],1.74,1.598,1.881,0.0
C(algorithm)[T.astar+sarl_upstream],0.74,0.599,0.882,0.0
C(algorithm)[T.astar+teb],-1.639,-1.78,-1.497,0.0
C(algorithm)[T.astar+teb_upstream],-1.394,-1.535,-1.252,0.0
C(algorithm)[T.dijkstra+astar],-0.863,-1.005,-0.722,0.0
C(algorithm)[T.dijkstra+cadrl],0.014,-0.128,0.156,0.8458
C(algorithm)[T.dijkstra+cadrl_upstream],1.263,1.121,1.404,0.0
C(algorithm)[T.dijkstra+crowdnav_attngraph],2.874,2.732,3.015,0.0
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.215,-0.356,-0.073,0.0029
C(algorithm)[T.dijkstra+dijkstra],-0.852,-0.993,-0.71,0.0
C(algorithm)[T.dijkstra+dwa],-0.015,-0.157,0.126,0.8352
C(algorithm)[T.dijkstra+lstm_rl],0.585,0.444,0.727,0.0
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.187,-0.328,-0.045,0.0097
C(algorithm)[T.dijkstra+mpc],-0.665,-0.807,-0.524,0.0
C(algorithm)[T.dijkstra+mpc_dompc],-0.962,-1.104,-0.821,0.0
C(algorithm)[T.dijkstra+orca],-1.041,-1.182,-0.899,0.0
C(algorithm)[T.dijkstra+orca_heuristic],0.412,0.27,0.554,0.0
C(algorithm)[T.dijkstra+rrt],-1.772,-1.914,-1.631,0.0
C(algorithm)[T.dijkstra+sarl],1.753,1.612,1.895,0.0
C(algorithm)[T.dijkstra+sarl_upstream],0.728,0.586,0.869,0.0
C(algorithm)[T.dijkstra+teb],-1.616,-1.757,-1.474,0.0
C(algorithm)[T.dijkstra+teb_upstream],-1.393,-1.534,-1.251,0.0
C(algorithm)[T.rrt+astar],-1.321,-1.464,-1.177,0.0
C(algorithm)[T.rrt+cadrl],0.015,-0.128,0.159,0.8339
C(algorithm)[T.rrt+cadrl_upstream],0.889,0.746,1.031,0.0
C(algorithm)[T.rrt+crowdnav_attngraph],1.945,1.802,2.087,0.0
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.09,-0.234,0.054,0.2205
C(algorithm)[T.rrt+dijkstra],-0.899,-1.042,-0.755,0.0
C(algorithm)[T.rrt+dwa],0.05,-0.093,0.192,0.4969
C(algorithm)[T.rrt+lstm_rl],0.498,0.355,0.642,0.0
C(algorithm)[T.rrt+lstm_rl_upstream],-0.421,-0.564,-0.277,0.0
C(algorithm)[T.rrt+mpc],-0.467,-0.61,-0.323,0.0
C(algorithm)[T.rrt+mpc_dompc],-0.406,-0.549,-0.263,0.0
C(algorithm)[T.rrt+orca],-0.512,-0.656,-0.368,0.0
C(algorithm)[T.rrt+orca_heuristic],0.448,0.305,0.591,0.0
C(algorithm)[T.rrt+rrt],-1.608,-1.752,-1.463,0.0
C(algorithm)[T.rrt+sarl],1.394,1.251,1.537,0.0
C(algorithm)[T.rrt+sarl_upstream],0.594,0.45,0.738,0.0
C(algorithm)[T.rrt+teb],-2.123,-2.268,-1.979,0.0
C(algorithm)[T.rrt+teb_upstream],-1.094,-1.237,-0.95,0.0
C(reactive_peds)[T.sfm],0.66,0.633,0.688,0.0
standardize(task_path_length_m),0.146,0.089,0.202,0.0
standardize(task_n_turns),-0.114,-0.142,-0.086,0.0
standardize(task_min_sidewalk_width_m),-0.001,-0.019,0.016,0.8889
standardize(task_n_signalised_junctions),-0.088,-0.124,-0.052,0.0
standardize(demand_total_ph),-0.133,-0.24,-0.026,0.0153
map Var,0.237,,,
seed Var,0.066,,,
task Var,0.052,-0.156,0.26,0.624
