success,algorithm,seed,cell_map,task,reactive_peds,task_path_length_m,task_n_turns,task_min_sidewalk_width_m,task_n_signalised_junctions,demand_total_ph,map_task
1,astar+astar,1,map1_straight,t01,sfm,100.3,2,2.0,0,872.1972000000001,map1_straight:t01
0,astar+astar,10,map1_straight,t01,sfm,100.3,2,2.0,0,1026.396,map1_straight:t01
1,astar+astar,2,map1_straight,t01,sfm,100.3,2,2.0,0,999.8136,map1_straight:t01
1,astar+astar,3,map1_straight,t01,sfm,100.3,2,2.0,0,656.6400000000001,map1_straight:t01
1,astar+astar,4,map1_straight,t01,sfm,100.3,2,2.0,0,756.4788,map1_straight:t01
1,astar+astar,5,map1_straight,t01,sfm,100.3,2,2.0,0,910.494,map1_straight:t01
1,astar+astar,6,map1_straight,t01,sfm,100.3,2,2.0,0,792.252,map1_straight:t01
0,astar+astar,7,map1_straight,t01,sfm,100.3,2,2.0,0,743.5332000000001,map1_straight:t01
1,astar+astar,8,map1_straight,t01,sfm,100.3,2,2.0,0,708.0840000000001,map1_straight:t01
0,astar+astar,9,map1_straight,t01,sfm,100.3,2,2.0,0,726.6995999999999,map1_straight:t01
1,astar+cadrl,1,map1_straight,t01,sfm,100.3,2,2.0,0,872.1972000000001,map1_straight:t01
1,astar+cadrl,10,map1_straight,t01,sfm,100.3,2,2.0,0,1026.396,map1_straight:t01
1,astar+cadrl,2,map1_straight,t01,sfm,100.3,2,2.0,0,999.8136,map1_straight:t01
1,astar+cadrl,3,map1_straight,t01,sfm,100.3,2,2.0,0,656.6400000000001,map1_straight:t01
1,astar+cadrl,4,map1_straight,t01,sfm,100.3,2,2.0,0,756.4788,map1_straight:t01
1,astar+cadrl,5,map1_straight,t01,sfm,100.3,2,2.0,0,910.494,map1_straight:t01
1,astar+cadrl,6,map1_straight,t01,sfm,100.3,2,2.0,0,792.252,map1_straight:t01
1,astar+cadrl,7,map1_straight,t01,sfm,100.3,2,2.0,0,743.5332000000001,map1_straight:t01
1,astar+cadrl,8,map1_straight,t01,sfm,100.3,2,2.0,0,708.0840000000001,map1_straight:t01
1,astar+cadrl,9,map1_straight,t01,sfm,100.3,2,2.0,0,726.6995999999999,map1_straight:t01
1,astar+cadrl_upstream,1,map1_straight,t01,sfm,100.3,2,2.0,0,872.1972000000001,map1_straight:t01
1,astar+cadrl_upstream,10,map1_straight,t01,sfm,100.3,2,2.0,0,1026.396,map1_straight:t01
1,astar+cadrl_upstream,2,map1_straight,t01,sfm,100.3,2,2.0,0,999.8136,map1_straight:t01
1,astar+cadrl_upstream,3,map1_straight,t01,sfm,100.3,2,2.0,0,656.6400000000001,map1_straight:t01
1,astar+cadrl_upstream,4,map1_straight,t01,sfm,100.3,2,2.0,0,756.4788,map1_straight:t01
1,astar+cadrl_upstream,5,map1_straight,t01,sfm,100.3,2,2.0,0,910.494,map1_straight:t01
1,astar+cadrl_upstream,6,map1_straight,t01,sfm,100.3,2,2.0,0,792.252,map1_straight:t01
1,astar+cadrl_upstream,7,map1_straight,t01,sfm,100.3,2,2.0,0,743.5332000000001,map1_straight:t01
1,astar+cadrl_upstream,8,map1_straight,t01,sfm,100.3,2,2.0,0,708.0840000000001,map1_straight:t01
0,astar+cadrl_upstream,9,map1_straight,t01,sfm,100.3,2,2.0,0,726.6995999999999,map1_straight:t01
1,astar+crowdnav_attngraph,1,map1_straight,t01,sfm,100.3,2,2.0,0,872.1972000000001,map1_straight:t01
0,astar+crowdnav_attngraph,10,map1_straight,t01,sfm,100.3,2,2.0,0,1026.396,map1_straight:t01
0,astar+crowdnav_attngraph,2,map1_straight,t01,sfm,100.3,2,2.0,0,999.8136,map1_straight:t01
1,astar+crowdnav_attngraph,3,map1_straight,t01,sfm,100.3,2,2.0,0,656.6400000000001,map1_straight:t01
1,astar+crowdnav_attngraph,4,map1_straight,t01,sfm,100.3,2,2.0,0,756.4788,map1_straight:t01
1,astar+crowdnav_attngraph,5,map1_straight,t01,sfm,100.3,2,2.0,0,910.494,map1_straight:t01
1,astar+crowdnav_attngraph,6,map1_straight,t01,sfm,100.3,2,2.0,0,792.252,map1_straight:t01
1,astar+crowdnav_attngraph,7,map1_straight,t01,sfm,100.3,2,2.0,0,743.5332000000001,map1_straight:t01
0,astar+crowdnav_attngraph,8,map1_straight,t01,sfm,100.3,2,2.0,0,708.0840000000001,map1_straight:t01
0,astar+crowdnav_attngraph,9,map1_straight,t01,sfm,100.3,2,2.0,0,726.6995999999999,map1_straight:t01
1,astar+crowdnav_dsrnn,1,map1_straight,t01,sfm,100.3,2,2.0,0,872.1972000000001,map1_straight:t01
1,astar+crowdnav_dsrnn,10,map1_straight,t01,sfm,100.3,2,2.0,0,1026.396,map1_straight:t01
1,astar+crowdnav_dsrnn,2,map1_straight,t01,sfm,100.3,2,2.0,0,999.8136,map1_straight:t01
1,astar+crowdnav_dsrnn,3,map1_straight,t01,sfm,100.3,2,2.0,0,656.6400000000001,map1_straight:t01
0,astar+crowdnav_dsrnn,4,map1_straight,t01,sfm,100.3,2,2.0,0,756.4788,map1_straight:t01
1,astar+crowdnav_dsrnn,5,map1_straight,t01,sfm,100.3,2,2.0,0,910.494,map1_straight:t01
0,astar+crowdnav_dsrnn,6,map1_straight,t01,sfm,100.3,2,2.0,0,792.252,map1_straight:t01
1,astar+crowdnav_dsrnn,7,map1_straight,t01,sfm,100.3,2,2.0,0,743.5332000000001,map1_straight:t01
1,astar+crowdnav_dsrnn,8,map1_straight,t01,sfm,100.3,2,2.0,0,708.0840000000001,map1_straight:t01
1,astar+crowdnav_dsrnn,9,map1_straight,t01,sfm,100.3,2,2.0,0,726.6995999999999,map1_straight:t01
1,astar+dijkstra,1,map1_straight,t01,sfm,100.3,2,2.0,0,872.1972000000001,map1_straight:t01
1,astar+dijkstra,10,map1_straight,t01,sfm,100.3,2,2.0,0,1026.396,map1_straight:t01
1,astar+dijkstra,2,map1_straight,t01,sfm,100.3,2,2.0,0,999.8136,map1_straight:t01
1,astar+dijkstra,3,map1_straight,t01,sfm,100.3,2,2.0,0,656.6400000000001,map1_straight:t01
