algorithm,mean_success,rank_median,rank_ci_lo,rank_ci_hi,P_top1
astar+sarl_upstream,0.759,1.0,1.0,2.0,0.924
dijkstra+sarl_upstream,0.743,2.0,2.0,5.0,0.0
astar+orca_heuristic,0.735,3.0,1.0,3.0,0.074
dijkstra+orca_heuristic,0.717,4.0,3.0,5.0,0.0
rrt+orca_heuristic,0.706,5.0,3.0,5.0,0.003
astar+cadrl,0.661,7.0,6.0,11.0,0.0
astar+sarl,0.651,9.0,6.0,14.0,0.0
astar+lstm_rl,0.651,9.0,6.0,15.0,0.0
dijkstra+cadrl,0.651,9.0,6.0,15.0,0.0
dijkstra+sarl,0.648,10.0,7.0,15.0,0.0
rrt+sarl_upstream,0.645,11.0,7.0,13.01,0.0
astar+dwa,0.645,11.0,6.0,19.0,0.0
dijkstra+lstm_rl,0.637,12.0,7.0,18.0,0.0
dijkstra+dwa,0.632,14.0,7.0,20.01,0.0
astar+mpc,0.625,15.0,12.0,17.0,0.0
dijkstra+mpc,0.613,16.0,14.0,20.0,0.0
rrt+mpc_dompc,0.604,18.0,12.0,25.0,0.0
rrt+mpc,0.605,18.0,13.0,24.0,0.0
astar+lstm_rl_upstream,0.597,19.0,16.0,24.0,0.0
rrt+cadrl,0.595,20.0,13.0,28.0,0.0
rrt+dwa,0.586,22.0,17.0,27.0,0.0
dijkstra+lstm_rl_upstream,0.589,22.0,17.0,28.0,0.0
astar+crowdnav_dsrnn,0.586,23.0,17.0,27.0,0.0
astar+mpc_dompc,0.583,23.0,19.0,28.0,0.0
dijkstra+mpc_dompc,0.581,24.5,21.0,28.0,0.0
rrt+sarl,0.578,26.0,20.0,28.0,0.0
dijkstra+crowdnav_dsrnn,0.575,26.25,20.0,29.0,0.0
rrt+lstm_rl,0.57,27.0,18.0,30.0,0.0
rrt+crowdnav_dsrnn,0.555,29.0,24.0,29.0,0.0
astar+teb_upstream,0.529,30.0,29.0,31.0,0.0
dijkstra+teb_upstream,0.517,31.0,30.0,33.0,0.0
rrt+crowdnav_attngraph,0.507,32.0,30.0,35.0,0.0
rrt+orca,0.506,33.0,30.0,34.0,0.0
astar+orca,0.492,34.0,31.0,36.0,0.0
dijkstra+orca,0.476,36.0,34.0,38.0,0.0
astar+astar,0.474,36.0,34.0,37.01,0.0
rrt+lstm_rl_upstream,0.47,36.0,34.0,40.0,0.0
dijkstra+astar,0.461,38.0,36.0,40.0,0.0
astar+dijkstra,0.44,39.0,38.0,42.0,0.0
dijkstra+dijkstra,0.439,40.0,37.0,42.0,0.0
dijkstra+crowdnav_attngraph,0.403,42.0,40.0,46.0,0.0
astar+crowdnav_attngraph,0.399,43.0,40.0,45.0,0.0
astar+cadrl_upstream,0.397,43.0,39.0,45.0,0.0
dijkstra+cadrl_upstream,0.395,43.0,41.0,46.0,0.0
rrt+dijkstra,0.392,43.0,41.0,45.0,0.0
rrt+astar,0.372,46.0,44.0,46.0,0.0
rrt+teb_upstream,0.35,47.5,47.0,50.0,0.0
astar+teb,0.346,48.0,47.0,50.0,0.0
dijkstra+teb,0.347,48.0,47.0,51.0,0.0
astar+rrt,0.333,50.0,47.0,50.0,0.0
dijkstra+rrt,0.321,51.0,49.0,51.0,0.0
rrt+cadrl_upstream,0.251,52.0,52.0,53.0,0.0
rrt+teb,0.249,53.0,52.0,53.0,0.0
rrt+rrt,0.191,54.0,54.0,54.0,0.0
