term,log_odds,ci_lo,ci_hi,odds_ratio,or_ci_lo,or_ci_hi
Intercept,1.01,0.994,1.026,2.745,2.702,2.789
C(algorithm)[T.astar+astar],-0.841,-0.953,-0.728,0.431,0.386,0.483
C(algorithm)[T.astar+cadrl],0.116,-0.002,0.234,1.123,0.998,1.263
C(algorithm)[T.astar+cadrl_upstream],-1.234,-1.348,-1.119,0.291,0.26,0.327
C(algorithm)[T.astar+crowdnav_attngraph],-1.22,-1.334,-1.105,0.295,0.263,0.331
C(algorithm)[T.astar+crowdnav_dsrnn],-0.278,-0.391,-0.164,0.758,0.676,0.849
C(algorithm)[T.astar+dijkstra],-1.012,-1.125,-0.898,0.364,0.325,0.407
C(algorithm)[T.astar+lstm_rl],0.065,-0.052,0.182,1.067,0.95,1.2
C(algorithm)[T.astar+lstm_rl_upstream],-0.223,-0.337,-0.109,0.8,0.714,0.897
C(algorithm)[T.astar+mpc],-0.077,-0.193,0.039,0.926,0.825,1.039
C(algorithm)[T.astar+mpc_dompc],-0.291,-0.405,-0.177,0.747,0.667,0.837
C(algorithm)[T.astar+orca],-0.75,-0.863,-0.638,0.472,0.422,0.528
C(algorithm)[T.astar+orca_heuristic],0.544,0.419,0.669,1.723,1.52,1.952
C(algorithm)[T.astar+rrt],-1.576,-1.694,-1.457,0.207,0.184,0.233
C(algorithm)[T.astar+sarl],0.064,-0.053,0.181,1.066,0.948,1.198
C(algorithm)[T.astar+sarl_upstream],0.7,0.572,0.829,2.015,1.772,2.291
C(algorithm)[T.astar+teb],-1.503,-1.62,-1.385,0.223,0.198,0.25
C(algorithm)[T.astar+teb_upstream],-0.564,-0.677,-0.451,0.569,0.508,0.637
C(algorithm)[T.dijkstra+astar],-0.904,-1.017,-0.791,0.405,0.362,0.453
C(algorithm)[T.dijkstra+cadrl],0.065,-0.052,0.182,1.067,0.95,1.2
C(algorithm)[T.dijkstra+cadrl_upstream],-1.24,-1.355,-1.126,0.289,0.258,0.324
C(algorithm)[T.dijkstra+crowdnav_attngraph],-1.202,-1.317,-1.088,0.3,0.268,0.337
C(algorithm)[T.dijkstra+crowdnav_dsrnn],-0.335,-0.449,-0.222,0.715,0.638,0.801
C(algorithm)[T.dijkstra+dijkstra],-1.018,-1.132,-0.905,0.361,0.322,0.405
C(algorithm)[T.dijkstra+dwa],-0.038,-0.154,0.078,0.962,0.857,1.081
C(algorithm)[T.dijkstra+lstm_rl],-0.013,-0.13,0.103,0.987,0.878,1.108
C(algorithm)[T.dijkstra+lstm_rl_upstream],-0.264,-0.378,-0.15,0.768,0.685,0.861
C(algorithm)[T.dijkstra+mpc],-0.136,-0.251,-0.021,0.873,0.778,0.979
C(algorithm)[T.dijkstra+mpc_dompc],-0.301,-0.415,-0.188,0.74,0.66,0.829
C(algorithm)[T.dijkstra+orca],-0.831,-0.943,-0.718,0.436,0.389,0.488
C(algorithm)[T.dijkstra+orca_heuristic],0.439,0.316,0.562,1.551,1.372,1.754
C(algorithm)[T.dijkstra+rrt],-1.639,-1.759,-1.52,0.194,0.172,0.219
C(algorithm)[T.dijkstra+sarl],0.049,-0.068,0.166,1.051,0.935,1.181
C(algorithm)[T.dijkstra+sarl_upstream],0.598,0.472,0.724,1.818,1.603,2.063
C(algorithm)[T.dijkstra+teb],-1.499,-1.616,-1.382,0.223,0.199,0.251
C(algorithm)[T.dijkstra+teb_upstream],-0.627,-0.74,-0.515,0.534,0.477,0.598
C(algorithm)[T.rrt+astar],-1.363,-1.479,-1.247,0.256,0.228,0.287
C(algorithm)[T.rrt+cadrl],-0.228,-0.343,-0.114,0.796,0.71,0.892
C(algorithm)[T.rrt+cadrl_upstream],-2.057,-2.184,-1.93,0.128,0.113,0.145
C(algorithm)[T.rrt+crowdnav_attngraph],-0.676,-0.789,-0.563,0.509,0.454,0.569
C(algorithm)[T.rrt+crowdnav_dsrnn],-0.437,-0.55,-0.324,0.646,0.577,0.724
C(algorithm)[T.rrt+dijkstra],-1.258,-1.373,-1.143,0.284,0.253,0.319
C(algorithm)[T.rrt+dwa],-0.276,-0.39,-0.162,0.759,0.677,0.85
C(algorithm)[T.rrt+lstm_rl],-0.361,-0.474,-0.247,0.697,0.622,0.781
