layer,map,n_timeouts,wait_mean_s,wait_max_s,wait_frac_max,n_wait_frac_ge_25pct,n_wait_frac_ge_50pct
sfm,map1_straight,69,0.0,0.0,0.0,0,0
sfm,map2_crossing,53,16.0,88.5,0.029,0,0
sfm,map3_grid,153,18.9,95.0,0.032,0,0
sfm,map4_london,131,29.9,125.5,0.042,0,0
sfm,map5_ucl,200,15.3,599.0,0.2,0,0
sfm,ALL,606,17.7,599.0,0.2,0,0
pysf,map1_straight,85,0.0,0.0,0.0,0,0
pysf,map2_crossing,100,5.4,50.5,0.017,0,0
pysf,map3_grid,97,15.0,78.0,0.026,0,0
pysf,map4_london,161,20.4,134.0,0.045,0,0
pysf,map5_ucl,210,11.3,99.5,0.033,0,0
pysf,ALL,653,11.7,134.0,0.045,0,0
jupedsim,map1_straight,28,0.0,0.0,0.0,0,0
jupedsim,map2_crossing,63,8.3,58.5,0.019,0,0
jupedsim,map3_grid,66,14.1,76.5,0.025,0,0
jupedsim,map4_london,94,20.8,108.5,0.036,0,0
jupedsim,map5_ucl,261,11.5,92.5,0.031,0,0
jupedsim,ALL,512,12.5,108.5,0.036,0,0
