layer,family,n_pairs,rate_self,rate_upstream,diff,ci_lo,ci_hi
sfm,SARL,1499,0.6,0.724,0.124,0.083,0.164
sfm,CADRL,1498,0.736,0.389,-0.347,-0.39,-0.305
sfm,LSTM-RL,1498,0.678,0.635,-0.043,-0.081,-0.005
sfm,TEB,1500,0.491,0.694,0.203,0.166,0.241
sfm,MPC,1499,0.785,0.781,-0.005,-0.036,0.026
sfm,ORCA,1497,0.692,0.647,-0.045,-0.079,-0.011
pysf,SARL,1500,0.633,0.715,0.081,0.043,0.119
pysf,CADRL,1500,0.472,0.324,-0.148,-0.188,-0.111
pysf,LSTM-RL,1500,0.511,0.425,-0.086,-0.128,-0.046
pysf,TEB,1500,0.032,0.103,0.071,0.053,0.09
pysf,MPC,1500,0.299,0.235,-0.064,-0.1,-0.027
pysf,ORCA,1500,0.697,0.217,-0.481,-0.517,-0.443
jupedsim,SARL,1497,0.644,0.708,0.064,0.026,0.101
jupedsim,CADRL,1500,0.699,0.331,-0.369,-0.407,-0.33
jupedsim,LSTM-RL,1499,0.669,0.595,-0.074,-0.113,-0.035
jupedsim,TEB,1500,0.418,0.599,0.181,0.145,0.216
jupedsim,MPC,1498,0.759,0.754,-0.005,-0.035,0.023
jupedsim,ORCA,1500,0.769,0.609,-0.159,-0.195,-0.127
