success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,316,157.5,185.55,295.85,0.6272,0.6388,110.429,0.386,1,13,0.0411,0.0439,0,0.0,1.175,0.016,0.013,0.019,astar,1
False,collision,113,56.0,66.3,295.85,0.2241,0.2271,229.594,0.392,1,11,0.0973,0.0973,0,0.0,1.176,0.018,0.027,0.054,astar,2
False,collision,293,146.0,171.6,295.85,0.58,0.5922,124.486,0.343,1,21,0.0717,0.0717,0,0.0,1.172,0.03,0.006,0.008,astar,3
False,collision,438,218.5,255.75,295.85,0.8645,0.8863,40.478,0.205,1,47,0.1073,0.1122,0,0.0,1.168,0.037,0.015,0.028,astar,4
False,collision,310,154.5,179.25,295.85,0.6059,0.6267,116.655,0.383,1,17,0.0548,0.0548,0,0.0,1.157,0.006,0.017,0.055,astar,5
False,collision,386,192.5,225.75,295.85,0.7631,0.7808,70.475,0.324,1,18,0.0466,0.0466,0,0.0,1.17,0.037,0.028,0.044,astar,6
False,collision,31,15.0,14.7,295.85,0.0497,0.0608,281.208,0.378,1,4,0.129,0.129,0,0.0,0.958,0.129,0.14,0.414,astar,7
False,collision,199,99.0,115.35,295.85,0.3899,0.4016,180.531,0.367,1,12,0.0603,0.0674,0,0.0,1.161,0.009,0.021,0.03,astar,8
False,collision,416,207.5,245.4,295.85,0.8295,0.8416,50.713,0.355,1,50,0.1202,0.1232,0,0.0,1.181,0.024,0.013,0.017,astar,9
False,collision,305,152.0,181.35,295.85,0.613,0.6165,114.662,0.362,1,20,0.0656,0.0656,0,0.0,1.19,0.018,0.014,0.02,astar,10
False,collision,377,188.0,217.95,295.85,0.7367,0.7625,78.116,0.305,1,26,0.069,0.0772,0,0.0,1.157,0.025,0.014,0.029,astar,11
False,collision,458,228.5,269.85,295.85,0.9121,0.9268,26.532,0.272,1,30,0.0655,0.0671,0,0.0,1.179,0.038,0.02,0.034,astar,12
False,collision,27,13.0,14.55,295.85,0.0492,0.0527,281.329,0.375,1,4,0.1481,0.1481,0,0.0,1.089,0.084,0.162,0.432,astar,13
False,collision,358,178.5,212.55,295.85,0.7184,0.724,83.486,0.339,1,13,0.0363,0.0363,0,0.0,1.188,0.017,0.012,0.017,astar,14
False,collision,57,28.0,23.25,295.85,0.0786,0.1136,272.619,0.394,1,2,0.0351,0.0351,0,0.0,0.821,0.015,0.118,0.305,astar,15
False,collision,287,143.0,164.85,295.85,0.5572,0.58,131.224,0.288,1,20,0.0697,0.0697,0,0.0,1.15,0.028,0.019,0.042,astar,16
False,collision,348,173.5,205.65,295.85,0.6951,0.7037,90.427,0.37,1,24,0.069,0.069,0,0.0,1.183,0.025,0.012,0.017,astar,17
False,collision,22,10.5,12.0,295.85,0.0406,0.0426,284.001,0.389,1,5,0.2273,0.2273,0,0.0,1.105,0.238,0.143,0.3,astar,18
False,collision,393,196.0,231.6,295.85,0.7828,0.795,64.373,0.399,1,26,0.0662,0.0662,0,0.0,1.179,0.014,0.005,0.006,astar,19
False,collision,357,178.0,207.6,295.85,0.7017,0.722,88.339,0.385,1,7,0.0196,0.0199,0,0.0,1.164,0.01,0.022,0.061,astar,20
False,collision,396,197.5,230.85,295.85,0.7803,0.8011,65.46,0.279,1,27,0.0682,0.0684,0,0.0,1.167,0.04,0.011,0.018,astar,21
False,collision,206,102.5,121.35,295.85,0.4102,0.4158,174.571,0.205,1,8,0.0388,0.0388,0,0.0,1.18,0.012,0.02,0.029,astar,22
False,collision,97,48.0,55.5,295.85,0.1876,0.1947,240.405,0.318,1,9,0.0928,0.0928,0,0.0,1.147,0.03,0.044,0.063,astar,23
False,collision,232,115.5,133.2,295.85,0.4502,0.4685,162.722,0.369,1,11,0.0474,0.0485,0,0.0,1.15,0.009,0.013,0.031,astar,24
False,collision,362,180.5,214.5,295.85,0.725,0.7321,81.522,0.389,1,17,0.047,0.0474,0,0.0,1.186,0.034,0.012,0.017,astar,25
False,collision,299,149.0,177.3,295.85,0.5993,0.6044,118.776,0.324,1,13,0.0435,0.0441,0,0.0,1.187,0.041,0.018,0.036,astar,26
False,collision,348,173.5,206.7,295.85,0.6987,0.7037,89.357,0.334,1,16,0.046,0.0469,0,0.0,1.189,0.018,0.016,0.031,astar,27
False,collision,27,13.0,13.65,295.85,0.0461,0.0527,282.255,0.3,1,3,0.1111,0.1111,0,0.0,1.022,0.114,0.162,0.48,astar,28
False,collision,122,60.5,58.5,295.85,0.1977,0.2454,237.533,0.387,1,4,0.0328,0.0328,0,0.0,0.961,0.078,0.094,0.18,astar,29
False,collision,264,131.5,153.45,295.85,0.5187,0.5334,142.49,0.265,1,17,0.0644,0.0688,0,0.0,1.164,0.014,0.016,0.023,astar,30
False,collision,244,121.5,143.7,295.85,0.4857,0.4928,152.187,0.374,1,10,0.041,0.041,0,0.0,1.179,0.009,0.017,0.025,astar,31
False,collision,387,193.0,229.05,295.85,0.7742,0.7828,67.081,0.349,1,21,0.0543,0.0565,0,0.0,1.184,0.024,0.011,0.016,astar,32
False,collision,392,195.5,230.25,295.85,0.7783,0.793,65.894,0.132,1,30,0.0765,0.0769,0,0.0,1.176,0.031,0.021,0.037,astar,33
False,collision,460,229.5,267.6,295.85,0.9045,0.9309,28.671,0.343,1,48,0.1043,0.106,0,0.0,1.164,0.035,0.014,0.026,astar,34
