time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.15,4.0,0.0,0.3,0.0,295.85,2.85,walk_east_mid.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
1.0,2.4489,4.0262,0.0875,0.6,0.17499,295.5511,3.0527,walk_east_up.0,path_found,297.0,0.6,0.17499,0.6,0.17499,Sidewalk
1.5,2.8971,4.0655,0.0875,0.9,0.0,295.1029,3.0225,walk_east_up.0,path_found,297.0,0.9,0.0,0.9,0.0,Sidewalk
2.0,3.1971,4.0655,-0.00022,0.6,-0.17543,294.8029,3.1239,walk_east_up.0,no_path,,0.6,-0.17543,0.6,-0.17543,Sidewalk
2.5,3.3471,4.0654,-0.00022,0.3,0.0,294.6529,3.324,walk_east_up.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
3.0,3.647,4.058,-0.02466,0.6,-0.04888,294.353,3.3805,walk_east_up.0,path_found,296.0,0.6,-0.04888,0.6,-0.04888,Sidewalk
3.5,4.0969,4.0469,-0.02466,0.9,0.0,293.9031,3.3197,walk_east_up.0,path_found,296.0,0.9,0.0,0.9,0.0,Sidewalk
4.0,4.6968,4.0372,-0.01617,1.2,0.01699,293.3032,3.0992,walk_east_up.0,path_found,296.0,1.2,0.01699,1.2,0.01699,Sidewalk
4.5,5.2967,4.0275,-0.01617,1.2,0.0,292.7033,2.9259,walk_east_up.0,path_found,296.0,1.2,0.0,1.2,0.0,Sidewalk
5.0,5.8967,4.0214,-0.01019,1.2,0.01196,292.1033,2.704,walk_east_up.0,path_found,294.0,1.2,0.01196,1.2,0.01196,Sidewalk
5.5,6.4967,4.0153,-0.01019,1.2,0.0,291.5033,2.4892,walk_east_up.0,path_found,294.0,1.2,0.0,1.2,0.0,Sidewalk
6.0,7.0967,4.0116,-0.00612,1.2,0.00814,290.9033,2.3328,walk_east_up.0,path_found,293.0,1.2,0.00814,1.2,0.00814,Sidewalk
6.5,7.6967,4.0092,-0.00401,1.2,0.00421,290.3033,2.142,walk_east_up.0,path_found,293.0,1.2,0.00421,1.2,0.00421,Sidewalk
7.0,8.2967,4.0068,-0.00401,1.2,0.0,289.7033,1.9265,walk_east_up.0,path_found,291.0,1.2,0.0,1.2,0.0,Sidewalk
7.5,8.8967,4.0053,-0.00253,1.2,0.00297,289.1033,1.7572,walk_east_up.0,path_found,291.0,1.2,0.00297,1.2,0.00297,Sidewalk
8.0,9.4967,4.0038,-0.00253,1.2,0.0,288.5033,1.5769,walk_east_up.0,path_found,290.0,1.2,0.0,1.2,0.0,Sidewalk
8.5,10.0967,4.0029,-0.00152,1.2,0.00202,287.9033,1.3954,walk_east_up.0,path_found,290.0,1.2,0.00202,1.2,0.00202,Sidewalk
9.0,10.6967,4.0023,-0.00099,1.2,0.00105,287.3033,1.2256,walk_east_up.0,path_found,289.0,1.2,0.00105,1.2,0.00105,Sidewalk
9.5,11.2967,4.0017,-0.00099,1.2,0.0,286.7033,1.0532,walk_east_up.0,path_found,289.0,1.2,0.0,1.2,0.0,Sidewalk
10.0,11.8967,4.0013,-0.00063,1.2,0.00074,286.1033,0.8802,walk_east_up.0,path_found,288.0,1.2,0.00074,1.2,0.00074,Sidewalk
10.5,12.4967,4.0009,-0.00063,1.2,0.0,285.5033,0.7509,walk_east_up.0,path_found,288.0,1.2,0.0,1.2,0.0,Sidewalk
11.0,13.0967,4.0007,-0.00038,1.2,0.0005,284.9033,0.6882,walk_east_up.0,path_found,287.0,1.2,0.0005,1.2,0.0005,Sidewalk
11.5,13.6967,4.0006,-0.00025,1.2,0.00026,284.3033,0.6994,walk_east_up.0,path_found,287.0,1.2,0.00026,1.2,0.00026,Sidewalk
12.0,14.2967,4.0004,-0.00025,1.2,0.0,283.7033,0.7644,walk_east_up.0,path_found,285.0,1.2,0.0,1.2,0.0,Sidewalk
12.5,14.8967,4.0003,-0.00016,1.2,0.00018,283.1033,0.8967,walk_east_up.0,path_found,285.0,1.2,0.00018,1.2,0.00018,Sidewalk
13.0,15.4967,4.0002,-0.00016,1.2,0.0,282.5033,0.8294,walk_east_dn.0,path_found,284.0,1.2,0.0,1.2,0.0,Sidewalk
13.5,16.0967,4.0002,-9e-05,1.2,0.00012,281.9033,0.7374,walk_east_dn.0,path_found,284.0,1.2,0.00012,1.2,0.00012,Sidewalk
14.0,16.6967,4.0001,-6e-05,1.2,6e-05,281.3033,0.6939,walk_east_dn.0,path_found,283.0,1.2,6e-05,1.2,6e-05,Sidewalk
14.5,17.2967,4.0001,-6e-05,1.2,0.0,280.7033,0.662,walk_east_dn.0,path_found,283.0,1.2,0.0,1.2,0.0,Sidewalk
15.0,17.8967,4.0001,-4e-05,1.2,5e-05,280.1033,0.6591,walk_east_dn.0,path_found,282.0,1.2,5e-05,1.2,5e-05,Sidewalk
15.5,18.4967,4.0001,-4e-05,1.2,0.0,279.5033,0.6929,walk_east_dn.0,path_found,282.0,1.2,0.0,1.2,0.0,Sidewalk
16.0,19.0967,4.0,-2e-05,1.2,3e-05,278.9033,0.7529,walk_east_dn.0,path_found,281.0,1.2,3e-05,1.2,3e-05,Sidewalk
16.5,19.6967,4.0,-2e-05,1.2,2e-05,278.3033,0.8418,walk_east_dn.0,path_found,281.0,1.2,2e-05,1.2,2e-05,Sidewalk
17.0,20.2967,4.0,-2e-05,1.2,0.0,277.7033,0.9525,walk_east_dn.0,path_found,279.0,1.2,0.0,1.2,0.0,Sidewalk
17.5,20.8967,4.0,-1e-05,1.2,1e-05,277.1033,1.0944,walk_east_dn.0,path_found,279.0,1.2,1e-05,1.2,1e-05,Sidewalk
18.0,21.4804,3.8613,-0.23339,1.2,-0.46677,276.5196,1.1477,walk_east_dn.0,path_found,278.0,1.2,-0.46677,1.2,-0.46677,Sidewalk
18.5,22.0743,3.7761,-0.14241,1.2,0.18198,275.9258,1.237,walk_east_dn.0,path_found,278.0,1.2,0.18198,1.2,0.18198,Sidewalk
19.0,22.6743,3.7707,-0.00892,1.2,0.26697,275.3258,1.4255,walk_east_dn.0,path_found,277.0,1.2,0.26697,1.2,0.26697,Sidewalk
19.5,23.2743,3.7654,-0.00892,1.2,0.0,274.7258,1.5552,walk_east_dn.0,path_found,277.0,1.2,0.0,1.2,0.0,Sidewalk
20.0,23.8743,3.762,-0.00565,1.2,0.00654,274.1258,1.6623,walk_east_dn.0,path_found,276.0,1.2,0.00654,1.2,0.00654,Sidewalk
20.5,24.4742,3.7586,-0.00565,1.2,0.0,273.5259,1.7821,walk_east_dn.0,path_found,276.0,1.2,0.0,1.2,0.0,Sidewalk
21.0,25.0742,3.7566,-0.00341,1.2,0.00447,272.9259,1.9487,walk_east_dn.0,path_found,275.0,1.2,0.00447,1.2,0.00447,Sidewalk
21.5,25.6742,3.7552,-0.00225,1.2,0.00233,272.3259,2.1341,walk_east_dn.0,path_found,275.0,1.2,0.00233,1.2,0.00233,Sidewalk
