success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,293,146.0,143.3,295.875,0.4843,0.4935,152.689,0.357,1,18,0.0614,0.0614,0,0.0,0.979,0.013,0.011,0.017,dijkstra,1
False,collision,85,42.0,41.25,295.875,0.1394,0.142,254.699,0.413,1,12,0.1412,0.1412,0,0.0,0.974,0.038,0.03,0.06,dijkstra,2
False,collision,51,25.0,22.225,295.875,0.0751,0.0845,273.669,0.414,1,7,0.1373,0.1373,0,0.0,0.876,0.018,0.03,0.045,dijkstra,3
False,collision,288,143.5,138.625,295.875,0.4685,0.485,157.317,0.333,1,11,0.0382,0.0382,0,0.0,0.964,0.017,0.015,0.022,dijkstra,4
False,collision,269,134.0,129.5,295.875,0.4377,0.4529,166.395,0.355,1,51,0.1896,0.1896,0,0.0,0.964,0.003,0.009,0.023,dijkstra,5
False,collision,74,36.5,34.5,295.875,0.1166,0.1234,261.462,0.398,1,3,0.0405,0.0405,0,0.0,0.936,0.05,0.045,0.069,dijkstra,6
False,collision,429,214.0,211.475,295.875,0.7147,0.7233,84.59,0.414,1,26,0.0606,0.0621,0,0.0,0.986,0.02,0.008,0.024,dijkstra,7
False,collision,233,116.0,113.3,295.875,0.3829,0.3921,182.599,0.381,1,30,0.1288,0.1288,0,0.0,0.974,0.004,0.014,0.022,dijkstra,8
True,goal_reached,597,298.0,296.275,295.875,1.0014,1.0072,0.127,0.422,0,40,0.067,0.0692,0,0.0,0.993,0.023,0.003,0.004,dijkstra,9
False,collision,79,39.0,38.125,295.875,0.1289,0.1318,257.844,0.375,1,11,0.1392,0.1392,0,0.0,0.968,0.037,0.045,0.065,dijkstra,10
False,collision,143,71.0,65.15,295.875,0.2202,0.24,230.753,0.405,1,14,0.0979,0.0979,0,0.0,0.913,0.012,0.023,0.035,dijkstra,11
False,collision,169,84.0,82.35,295.875,0.2783,0.2839,213.591,0.36,1,17,0.1006,0.1006,0,0.0,0.976,0.032,0.02,0.03,dijkstra,12
False,collision,450,224.5,223.625,295.875,0.7558,0.7588,72.462,0.357,1,44,0.0978,0.0978,0,0.0,0.994,0.017,0.008,0.02,dijkstra,13
False,collision,253,126.0,124.7,295.875,0.4215,0.4259,171.203,0.404,1,30,0.1186,0.1186,0,0.0,0.987,0.005,0.013,0.02,dijkstra,14
False,collision,384,191.5,183.525,295.875,0.6203,0.6472,112.446,0.252,1,34,0.0885,0.0885,0,0.0,0.957,0.006,0.014,0.037,dijkstra,15
False,collision,146,72.5,67.3,295.875,0.2275,0.245,228.595,0.408,1,10,0.0685,0.0685,0,0.0,0.924,0.006,0.031,0.071,dijkstra,16
False,collision,108,53.5,51.5,295.875,0.1741,0.1808,244.475,0.273,1,3,0.0278,0.0278,0,0.0,0.956,0.042,0.031,0.047,dijkstra,17
False,collision,329,164.0,163.5,295.875,0.5526,0.5543,132.637,0.278,1,31,0.0942,0.0942,0,0.0,0.995,0.023,0.008,0.015,dijkstra,18
False,collision,102,50.5,47.725,295.875,0.1613,0.1707,248.169,0.413,1,4,0.0392,0.0392,0,0.0,0.938,0.009,0.015,0.022,dijkstra,19
False,collision,422,210.5,206.025,295.875,0.6963,0.7114,89.955,0.317,1,43,0.1019,0.1034,0,0.0,0.977,0.012,0.013,0.034,dijkstra,20
False,collision,249,124.0,119.275,295.875,0.4031,0.4191,176.736,0.418,1,13,0.0522,0.0522,0,0.0,0.959,0.016,0.014,0.025,dijkstra,21
False,collision,246,122.5,121.2,295.875,0.4096,0.414,174.748,0.326,1,20,0.0813,0.0813,0,0.0,0.986,0.012,0.013,0.02,dijkstra,22
False,collision,54,26.5,24.85,295.875,0.084,0.0896,271.074,0.337,1,10,0.1852,0.1852,0,0.0,0.925,0.08,0.062,0.096,dijkstra,23
False,collision,276,137.5,133.35,295.875,0.4507,0.4647,162.592,0.315,1,24,0.087,0.0896,0,0.0,0.967,0.007,0.009,0.023,dijkstra,24
False,collision,114,56.5,54.85,295.875,0.1854,0.191,241.153,0.229,1,13,0.114,0.114,0,0.0,0.964,0.075,0.029,0.045,dijkstra,25
False,collision,358,178.5,177.25,295.875,0.5991,0.6033,118.744,0.298,1,11,0.0307,0.0315,0,0.0,0.991,0.014,0.013,0.025,dijkstra,26
False,collision,224,111.5,110.25,295.875,0.3726,0.3768,185.708,0.332,1,11,0.0491,0.0491,0,0.0,0.985,0.017,0.02,0.041,dijkstra,27
False,collision,381,190.0,188.525,295.875,0.6372,0.6422,107.487,0.412,1,16,0.042,0.0582,0,0.0,0.99,0.018,0.009,0.027,dijkstra,28
False,collision,344,171.5,162.65,295.875,0.5497,0.5796,133.401,0.316,1,14,0.0407,0.0407,0,0.0,0.946,0.025,0.015,0.03,dijkstra,29
False,collision,309,154.0,150.6,295.875,0.509,0.5205,145.363,0.408,1,56,0.1812,0.1812,0,0.0,0.976,0.013,0.011,0.016,dijkstra,30
False,collision,291,145.0,143.35,295.875,0.4845,0.4901,152.563,0.356,1,20,0.0687,0.0699,0,0.0,0.986,0.007,0.011,0.017,dijkstra,31
False,collision,418,208.5,206.5,295.875,0.6979,0.7047,89.678,0.383,1,41,0.0981,0.0981,0,0.0,0.989,0.019,0.008,0.012,dijkstra,32
False,collision,83,41.0,39.0,295.875,0.1318,0.1386,256.929,0.325,1,3,0.0361,0.0361,0,0.0,0.943,0.028,0.04,0.062,dijkstra,33
False,collision,415,207.0,204.575,295.875,0.6914,0.6996,91.396,0.381,1,104,0.2506,0.2512,0,0.0,0.987,0.01,0.004,0.005,dijkstra,34
False,collision,250,124.5,119.275,295.875,0.4031,0.4208,176.607,0.237,1,20,0.08,0.08,0,0.0,0.955,0.001,0.006,0.009,dijkstra,35
False,collision,457,228.0,223.425,295.875,0.7551,0.7706,72.698,0.243,1,43,0.0941,0.0941,0,0.0,0.978,0.023,0.012,0.022,dijkstra,36
False,collision,420,209.5,208.75,295.875,0.7055,0.7081,87.265,0.363,1,32,0.0762,0.0777,0,0.0,0.995,0.013,0.006,0.012,dijkstra,37
False,collision,247,123.0,119.875,295.875,0.4052,0.4157,176.141,0.322,1,11,0.0445,0.0458,0,0.0,0.972,0.028,0.006,0.009,dijkstra,38
False,collision,136,67.5,64.1,295.875,0.2166,0.2281,231.803,0.408,1,8,0.0588,0.0588,0,0.0,0.944,0.012,0.024,0.037,dijkstra,39
