time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.125,4.0,0.0,0.25,0.0,295.875,2.875,walk_east_mid.0,no_path,,0.25,0.0,0.25,0.0,Sidewalk
1.0,2.3713,4.0428,0.17219,0.5,0.34438,295.6287,3.0446,walk_east_mid.0,path_found,297.0,0.5,0.34438,0.5,0.34438,Sidewalk
1.5,2.7408,4.1071,0.17219,0.75,0.0,295.2593,3.073,walk_east_dn.0,path_found,297.0,0.75,0.0,0.75,0.0,Sidewalk
2.0,2.9908,4.107,-0.00036,0.5,-0.34511,295.0093,3.2295,walk_east_dn.0,no_path,,0.5,-0.34511,0.5,-0.34511,Sidewalk
2.5,3.1408,4.1069,-0.00036,0.3,0.0,294.8593,3.5021,walk_east_dn.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
3.0,3.2908,4.1069,-0.00036,0.3,0.0,294.7093,3.7263,walk_east_dn.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
3.5,3.4408,4.1068,-0.00036,0.3,0.0,294.5593,3.9434,walk_east_dn.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
4.0,3.5908,4.1068,-0.00036,0.3,0.0,294.4093,4.1476,walk_east_dn.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
4.5,3.7408,4.1067,-0.00036,0.3,0.0,294.2593,4.3947,walk_east_dn.0,no_path,,0.3,0.0,0.3,0.0,Sidewalk
5.0,4.0117,4.1539,0.17235,0.55,0.34542,293.9884,4.5487,walk_east_dn.0,path_found,295.0,0.55,0.34542,0.55,0.34542,Sidewalk
5.5,4.4058,4.2225,0.17235,0.8,0.0,293.5943,4.5248,walk_east_dn.0,path_found,295.0,0.8,0.0,0.8,0.0,Sidewalk
6.0,4.9057,4.2278,0.01061,1.0,-0.32348,293.0944,4.3949,walk_east_dn.0,path_found,296.0,1.0,-0.32348,1.0,-0.32348,Sidewalk
6.5,5.4057,4.2331,0.01061,1.0,0.0,292.5944,4.2545,walk_east_dn.0,path_found,296.0,1.0,0.0,1.0,0.0,Sidewalk
7.0,5.9057,4.2363,0.00652,1.0,-0.00818,292.0944,4.1466,walk_east_dn.0,path_found,295.0,1.0,-0.00818,1.0,-0.00818,Sidewalk
7.5,6.4057,4.2396,0.00652,1.0,0.0,291.5944,4.0383,walk_east_dn.0,path_found,295.0,1.0,0.0,1.0,0.0,Sidewalk
8.0,6.9057,4.2416,0.00401,1.0,-0.00502,291.0944,3.9627,walk_east_dn.0,path_found,294.0,1.0,-0.00502,1.0,-0.00502,Sidewalk
8.5,7.4057,4.2436,0.00401,1.0,0.0,290.5944,3.8892,walk_east_dn.0,path_found,294.0,1.0,0.0,1.0,0.0,Sidewalk
9.0,7.9057,4.2448,0.00246,1.0,-0.00309,290.0944,3.8106,walk_east_dn.0,path_found,292.0,1.0,-0.00309,1.0,-0.00309,Sidewalk
9.5,8.4057,4.2461,0.00246,1.0,0.0,289.5944,3.7156,walk_east_dn.0,path_found,292.0,1.0,0.0,1.0,0.0,Sidewalk
10.0,8.9057,4.2468,0.00151,1.0,-0.0019,289.0944,3.6306,walk_east_dn.0,path_found,291.0,1.0,-0.0019,1.0,-0.0019,Sidewalk
10.5,9.4057,4.2476,0.00151,1.0,0.0,288.5944,3.5241,walk_east_dn.0,path_found,291.0,1.0,0.0,1.0,0.0,Sidewalk
11.0,9.9057,4.2481,0.00093,1.0,-0.00117,288.0944,3.4301,walk_east_dn.0,path_found,290.0,1.0,-0.00117,1.0,-0.00117,Sidewalk
11.5,10.4057,4.2485,0.00093,1.0,0.0,287.5944,3.3506,walk_east_dn.0,path_found,290.0,1.0,0.0,1.0,0.0,Sidewalk
12.0,10.9057,4.2488,0.00057,1.0,-0.00072,287.0944,3.2217,walk_east_dn.0,path_found,289.0,1.0,-0.00072,1.0,-0.00072,Sidewalk
