time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1599,3.9944,-0.03491,0.32,-0.06981,295.8401,2.8402,walk_east_mid.0,472.8318,0.32,-0.06981,0.32,-0.06981,Sidewalk
1.0,2.4483,3.9641,-0.10472,0.58,-0.13963,295.5517,3.0137,walk_east_mid.0,471.3868,0.58,-0.13963,0.58,-0.13963,Sidewalk
1.5,2.8246,3.9112,-0.13963,0.76,-0.06981,295.1754,3.1694,walk_east_mid.0,470.1247,0.76,-0.06981,0.76,-0.06981,Sidewalk
2.0,3.2108,3.8569,-0.13963,0.78,-0.0,294.7892,3.2901,walk_east_up.0,469.4593,0.78,-0.0,0.78,-0.0,Sidewalk
2.5,3.6047,3.7875,-0.17453,0.8,-0.06981,294.3953,3.3924,walk_east_mid.0,468.465,0.8,-0.06981,0.8,-0.06981,Sidewalk
3.0,4.0873,3.7024,-0.17453,0.98,-0.0,293.9129,3.4085,walk_east_mid.0,467.3688,0.98,-0.0,0.98,-0.0,Sidewalk
3.5,4.5032,3.6439,-0.13963,0.84,0.06981,293.497,3.45,walk_east_mid.0,467.2481,0.84,0.06981,0.84,0.06981,Sidewalk
4.0,5.0479,3.5674,-0.13963,1.1,-0.0,292.9525,3.3969,walk_east_mid.0,465.4717,1.1,-0.0,1.1,-0.0,Sidewalk
4.5,5.4457,3.5256,-0.10472,0.8,0.06981,292.5547,3.4628,walk_east_mid.0,465.7096,0.8,0.06981,0.8,0.06981,Sidewalk
5.0,6.0125,3.466,-0.10472,1.14,-0.0,291.9879,3.4001,walk_east_mid.0,463.6027,1.14,-0.0,1.14,-0.0,Sidewalk
5.5,6.4315,3.4367,-0.06981,0.84,0.06981,291.569,3.4637,walk_east_mid.0,464.1745,0.84,0.06981,0.84,0.06981,Sidewalk
6.0,7.0201,3.3955,-0.06981,1.18,-0.0,290.9805,3.4017,walk_east_mid.0,461.844,1.18,-0.0,1.18,-0.0,Sidewalk
6.5,7.4598,3.4109,0.03491,0.88,0.20944,290.5408,3.4037,walk_east_mid.0,462.6183,0.88,0.20944,0.88,0.20944,Sidewalk
7.0,7.8696,3.4252,0.03491,0.82,-0.0,290.131,3.4583,walk_east_mid.0,461.8148,0.82,-0.0,0.82,-0.0,Sidewalk
7.5,8.4096,3.4252,-0.0,1.08,-0.06981,289.591,3.4248,walk_east_mid.0,459.8424,1.08,-0.06981,1.08,-0.06981,Sidewalk
8.0,8.8396,3.4252,-0.0,0.86,-0.0,289.161,3.4354,walk_east_mid.0,460.2286,0.86,-0.0,0.86,-0.0,Sidewalk
8.5,9.2393,3.4113,-0.03491,0.8,-0.06981,288.7613,3.5795,walk_east_mid.0,459.2915,0.8,-0.06981,0.8,-0.06981,Sidewalk
9.0,9.729,3.3942,-0.03491,0.98,-0.0,288.2716,3.5359,walk_east_mid.0,458.469,0.98,-0.0,0.98,-0.0,Sidewalk
9.5,10.2278,3.429,0.06981,1.0,0.20944,287.7728,3.5122,walk_east_mid.0,457.7909,1.0,0.20944,1.0,0.20944,Sidewalk
