success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,515,257.0,204.02,295.8,0.6897,0.6951,92.334,0.354,1,15,0.0291,0.0309,0,0.0,0.793,0.043,0.009,0.027,1,dwa
False,collision,98,48.5,37.387,295.8,0.1264,0.1312,261.909,0.139,1,9,0.0918,0.0918,0,0.0,0.767,0.227,0.065,0.183,2,dwa
False,collision,154,76.5,60.65,295.8,0.205,0.2069,235.2,0.141,1,4,0.026,0.026,0,0.0,0.79,0.036,0.027,0.085,3,dwa
False,collision,536,267.5,211.78,295.8,0.716,0.7235,84.744,0.218,1,9,0.0168,0.0176,0,0.0,0.791,0.043,0.02,0.069,4,dwa
False,collision,175,87.0,69.21,295.8,0.234,0.2353,227.354,0.115,1,18,0.1029,0.1029,0,0.0,0.793,0.064,0.017,0.048,5,dwa
False,collision,532,265.5,210.27,295.8,0.7109,0.7181,86.508,0.144,1,20,0.0376,0.038,0,0.0,0.791,0.049,0.013,0.04,6,dwa
False,collision,716,357.5,276.939,295.8,0.9362,0.9669,23.314,0.137,1,44,0.0615,0.0618,0,0.0,0.774,0.09,0.052,0.188,7,dwa
False,collision,541,270.0,212.898,295.8,0.7197,0.7302,83.781,0.262,1,22,0.0407,0.0407,0,0.0,0.788,0.054,0.02,0.057,8,dwa
False,max_time,1801,900.0,168.16,295.8,0.5685,2.4341,128.182,0.567,0,8,0.0044,0.0044,0,0.0,0.187,0.037,0.004,0.011,9,dwa
False,collision,539,269.0,210.33,295.8,0.7111,0.7275,86.898,0.03,1,31,0.0575,0.0576,0,0.0,0.781,0.061,0.026,0.084,10,dwa
False,collision,572,285.5,225.419,295.8,0.7621,0.7721,72.315,0.137,1,30,0.0524,0.0543,0,0.0,0.789,0.061,0.024,0.072,11,dwa
False,collision,530,264.5,208.75,295.8,0.7057,0.7153,87.718,0.212,1,13,0.0245,0.0259,0,0.0,0.788,0.048,0.014,0.048,12,dwa
False,collision,532,265.5,207.13,295.8,0.7002,0.7181,89.112,0.345,1,30,0.0564,0.0564,0,0.0,0.779,0.042,0.016,0.056,13,dwa
False,collision,665,332.0,259.336,295.8,0.8767,0.8979,44.575,0.37,1,36,0.0541,0.0548,0,0.0,0.781,0.09,0.04,0.133,14,dwa
False,collision,672,335.5,249.614,295.8,0.8439,0.9074,52.278,0.328,1,40,0.0595,0.0595,0,0.0,0.744,0.092,0.102,0.365,15,dwa
False,collision,532,265.5,208.79,295.8,0.7058,0.7181,88.298,0.202,1,37,0.0695,0.0705,0,0.0,0.786,0.054,0.026,0.091,16,dwa
False,collision,70,34.5,26.56,295.8,0.0898,0.0933,269.931,0.321,1,6,0.0857,0.0857,0,0.0,0.765,0.119,0.071,0.144,17,dwa
False,collision,532,265.5,208.139,295.8,0.7036,0.7181,89.203,0.394,1,35,0.0658,0.0658,0,0.0,0.783,0.059,0.026,0.086,18,dwa
False,collision,527,263.0,207.23,295.8,0.7006,0.7113,89.823,0.138,1,26,0.0493,0.0493,0,0.0,0.787,0.056,0.016,0.05,19,dwa
False,collision,134,66.5,52.95,295.8,0.179,0.1799,242.896,0.143,1,5,0.0373,0.0373,0,0.0,0.793,0.035,0.012,0.022,20,dwa
False,collision,580,289.5,228.83,295.8,0.7736,0.783,68.307,0.187,1,24,0.0414,0.0415,0,0.0,0.79,0.052,0.02,0.064,21,dwa
False,collision,528,263.5,205.418,295.8,0.6944,0.7126,91.472,0.224,1,28,0.053,0.053,0,0.0,0.779,0.058,0.043,0.146,22,dwa
