time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1999,3.993,-0.03491,0.4,-0.06981,295.8001,2.8002,walk_east_mid.0,589.9746,0.4,-0.06981,0.4,-0.06981,Sidewalk
1.0,2.5697,4.0059,0.03491,0.74,0.13963,295.4303,2.9306,walk_east_dn.0,587.7888,0.74,0.13963,0.74,0.13963,Sidewalk
1.5,2.9687,4.0338,0.06981,0.8,0.06981,295.0313,3.0021,walk_east_dn.0,586.4889,0.8,0.06981,0.8,0.06981,Sidewalk
2.0,3.3677,4.0617,0.06981,0.8,-0.0,294.6323,3.0434,walk_east_dn.0,585.4023,0.8,-0.0,0.8,-0.0,Sidewalk
2.5,3.7655,4.1035,0.10472,0.8,0.06981,294.2345,3.1442,walk_east_dn.0,584.4067,0.8,0.06981,0.8,0.06981,Sidewalk
3.0,4.1633,4.1454,0.10472,0.8,-0.0,293.8367,3.1919,walk_east_dn.0,583.5965,0.8,-0.0,0.8,-0.0,Sidewalk
3.5,4.5594,4.201,0.13963,0.8,0.06981,293.4406,3.2202,walk_east_dn.0,582.7468,0.8,0.06981,0.8,0.06981,Sidewalk
4.0,4.9555,4.2567,0.13963,0.8,-0.0,293.0446,3.3037,walk_east_dn.0,581.8982,0.8,-0.0,0.8,-0.0,Sidewalk
4.5,5.3533,4.2985,0.10472,0.8,-0.06981,292.6468,3.345,walk_east_dn.0,581.2499,0.8,-0.06981,0.8,-0.06981,Sidewalk
5.0,5.7512,4.3403,0.10472,0.8,-0.0,292.249,3.4372,walk_east_dn.0,580.2587,0.8,-0.0,0.8,-0.0,Sidewalk
5.5,6.1502,4.3682,0.06981,0.8,-0.06981,291.8501,3.4706,walk_east_dn.0,579.6065,0.8,-0.06981,0.8,-0.06981,Sidewalk
6.0,6.5492,4.3961,0.06981,0.8,-0.0,291.4511,3.5344,walk_east_dn.0,578.6369,0.8,-0.0,0.8,-0.0,Sidewalk
6.5,6.947,4.4379,0.10472,0.8,0.06981,291.0533,3.5924,walk_east_dn.0,577.8521,0.8,0.06981,0.8,0.06981,Sidewalk
7.0,7.3448,4.4798,0.10472,0.8,-0.0,290.6556,3.6504,walk_east_dn.0,576.9914,0.8,-0.0,0.8,-0.0,Sidewalk
7.5,7.7438,4.5077,0.06981,0.8,-0.06981,290.2566,3.7219,walk_east_dn.0,576.2721,0.8,-0.06981,0.8,-0.06981,Sidewalk
8.0,8.1429,4.5356,0.06981,0.8,-0.0,289.8576,3.7657,walk_east_dn.0,575.3685,0.8,-0.0,0.8,-0.0,Sidewalk
8.5,8.5426,4.5495,0.03491,0.8,-0.06981,289.4579,3.8123,walk_east_dn.0,574.6688,0.8,-0.06981,0.8,-0.06981,Sidewalk
9.0,8.9424,4.5635,0.03491,0.8,-0.0,289.0582,3.8986,walk_east_dn.0,573.7463,0.8,-0.0,0.8,-0.0,Sidewalk
9.5,9.3424,4.5635,-0.0,0.8,-0.06981,288.6582,3.9686,walk_east_dn.0,573.0482,0.8,-0.06981,0.8,-0.06981,Sidewalk
10.0,9.7424,4.5635,-0.0,0.8,-0.0,288.2582,3.9796,walk_east_dn.0,572.1404,0.8,-0.0,0.8,-0.0,Sidewalk
10.5,10.1421,4.5774,0.03491,0.8,0.06981,287.8584,4.0275,walk_east_dn.0,571.3532,0.8,0.06981,0.8,0.06981,Sidewalk
11.0,10.5419,4.5914,0.03491,0.8,-0.0,287.4587,4.0839,walk_east_dn.0,570.5083,0.8,-0.0,0.8,-0.0,Sidewalk
11.5,10.9419,4.5914,-0.0,0.8,-0.06981,287.0587,4.1258,walk_east_dn.0,569.8017,0.8,-0.06981,0.8,-0.06981,Sidewalk
12.0,11.3419,4.5914,-0.0,0.8,-0.0,286.6587,4.185,walk_east_dn.0,568.8973,0.8,-0.0,0.8,-0.0,Sidewalk
12.5,11.7417,4.5774,-0.03491,0.8,-0.06981,286.2589,4.2772,walk_east_dn.0,568.1948,0.8,-0.06981,0.8,-0.06981,Sidewalk
13.0,12.1414,4.5635,-0.03491,0.8,-0.0,285.8591,4.2853,walk_east_dn.0,567.2923,0.8,-0.0,0.8,-0.0,Sidewalk
13.5,12.5414,4.5635,-0.0,0.8,0.06981,285.4591,4.3746,walk_east_dn.0,566.4954,0.8,0.06981,0.8,0.06981,Sidewalk
14.0,12.9414,4.5635,-0.0,0.8,-0.0,285.0591,4.4228,walk_east_dn.0,565.6581,0.8,-0.0,0.8,-0.0,Sidewalk
14.5,13.3412,4.5774,0.03491,0.8,0.06981,284.6594,4.4954,walk_east_dn.0,564.8988,0.8,0.06981,0.8,0.06981,Sidewalk
15.0,13.7409,4.5914,0.03491,0.8,-0.0,284.2597,4.5522,walk_east_dn.0,564.037,0.8,-0.0,0.8,-0.0,Sidewalk
15.5,14.1409,4.5914,-0.0,0.8,-0.06981,283.8597,4.5843,walk_east_dn.0,563.3074,0.8,-0.06981,0.8,-0.06981,Sidewalk
16.0,14.5409,4.5914,-0.0,0.8,-0.0,283.4597,4.649,walk_east_dn.0,562.4264,0.8,-0.0,0.8,-0.0,Sidewalk
16.5,14.9407,4.5774,-0.03491,0.8,-0.06981,283.0599,4.6781,walk_east_dn.0,561.7186,0.8,-0.06981,0.8,-0.06981,Sidewalk
17.0,15.3404,4.5635,-0.03491,0.8,-0.0,282.6601,4.7236,walk_east_dn.0,560.8245,0.8,-0.0,0.8,-0.0,Sidewalk
17.5,15.7404,4.5635,-0.0,0.8,0.06981,282.2601,4.755,walk_east_dn.0,560.0552,0.8,0.06981,0.8,0.06981,Sidewalk
18.0,16.1404,4.5635,-0.0,0.8,-0.0,281.8601,4.8477,walk_east_dn.0,559.203,0.8,-0.0,0.8,-0.0,Sidewalk
18.5,16.5402,4.5774,0.03491,0.8,0.06981,281.4604,4.8562,walk_east_dn.0,558.4662,0.8,0.06981,0.8,0.06981,Sidewalk
19.0,16.9399,4.5914,0.03491,0.8,-0.0,281.0607,4.8771,walk_east_dn.0,557.6009,0.8,-0.0,0.8,-0.0,Sidewalk
19.5,17.3399,4.5914,-0.0,0.8,-0.06981,280.6607,4.9054,walk_east_dn.0,556.8633,0.8,-0.06981,0.8,-0.06981,Sidewalk
20.0,17.7399,4.5914,-0.0,0.8,-0.0,280.2607,4.9824,walk_east_dn.0,555.9898,0.8,-0.0,0.8,-0.0,Sidewalk
20.5,18.1397,4.5774,-0.03491,0.8,-0.06981,279.8609,5.0164,walk_east_dn.0,555.2746,0.8,-0.06981,0.8,-0.06981,Sidewalk
21.0,18.5395,4.5635,-0.03491,0.8,-0.0,279.4611,5.0768,walk_east_dn.0,554.3859,0.8,-0.0,0.8,-0.0,Sidewalk
21.5,18.9395,4.5635,-0.0,0.8,0.06981,279.0611,4.9842,walk_east_mid.1,553.6223,0.8,0.06981,0.8,0.06981,Sidewalk
22.0,19.3395,4.5635,-0.0,0.8,-0.0,278.6611,4.6391,walk_east_mid.1,552.7713,0.8,-0.0,0.8,-0.0,Sidewalk
22.5,19.7392,4.5774,0.03491,0.8,0.06981,278.2614,4.3963,walk_east_mid.1,552.0362,0.8,0.06981,0.8,0.06981,Sidewalk
23.0,20.139,4.5914,0.03491,0.8,-0.0,277.8617,4.0884,walk_east_mid.1,551.1653,0.8,-0.0,0.8,-0.0,Sidewalk
23.5,20.539,4.5914,-0.0,0.8,-0.06981,277.4617,3.8695,walk_east_mid.1,550.4156,0.8,-0.06981,0.8,-0.06981,Sidewalk
24.0,20.939,4.5914,-0.0,0.8,-0.0,277.0617,3.6064,walk_east_mid.1,549.552,0.8,-0.0,0.8,-0.0,Sidewalk
24.5,21.3387,4.5774,-0.03491,0.8,-0.06981,276.6619,3.2792,walk_east_mid.1,548.8319,0.8,-0.06981,0.8,-0.06981,Sidewalk
25.0,21.7385,4.5635,-0.03491,0.8,-0.0,276.2621,3.039,walk_east_mid.1,547.9623,0.8,-0.0,0.8,-0.0,Sidewalk
25.5,22.1385,4.5635,-0.0,0.8,0.06981,275.8621,2.7565,walk_east_mid.1,547.2511,0.8,0.06981,0.8,0.06981,Sidewalk
26.0,22.5385,4.5635,-0.0,0.8,-0.0,275.4621,2.532,walk_east_mid.1,546.4151,0.8,-0.0,0.8,-0.0,Sidewalk
26.5,22.9382,4.5495,-0.03491,0.8,-0.06981,275.0623,2.2907,walk_east_mid.1,545.7263,0.8,-0.06981,0.8,-0.06981,Sidewalk
27.0,23.338,4.5356,-0.03491,0.8,-0.0,274.6625,1.9803,walk_east_mid.1,544.9147,0.8,-0.0,0.8,-0.0,Sidewalk
27.5,23.738,4.5356,-0.0,0.8,0.06981,274.2625,1.7665,walk_east_mid.1,544.2353,0.8,0.06981,0.8,0.06981,Sidewalk
28.0,24.138,4.5356,-0.0,0.8,-0.0,273.8625,1.5301,walk_east_mid.1,543.4646,0.8,-0.0,0.8,-0.0,Sidewalk
28.5,24.5378,4.5216,-0.03491,0.8,-0.06981,273.4627,1.1852,walk_east_mid.1,542.9734,0.8,-0.06981,0.8,-0.06981,Sidewalk
29.0,24.9375,4.5076,-0.03491,0.8,-0.0,273.063,1.4412,walk_east_mid.1,541.9113,0.8,-0.0,0.8,-0.0,Sidewalk
29.5,25.3375,4.5076,-0.0,0.8,0.06981,272.663,1.2237,walk_east_mid.1,541.3244,0.8,0.06981,0.8,0.06981,Sidewalk
30.0,25.7375,4.5076,-0.0,0.8,-0.0,272.263,1.4265,walk_east_mid.1,540.3182,0.8,-0.0,0.8,-0.0,Sidewalk
30.5,26.1373,4.5216,0.03491,0.8,0.06981,271.8632,1.1223,walk_east_mid.1,539.8533,0.8,0.06981,0.8,0.06981,Sidewalk
31.0,26.537,4.5356,0.03491,0.8,-0.0,271.4635,1.4948,walk_east_mid.1,538.6884,0.8,-0.0,0.8,-0.0,Sidewalk
31.5,26.937,4.5356,-0.0,0.8,-0.06981,271.0635,1.2286,walk_east_mid.1,538.1128,0.8,-0.06981,0.8,-0.06981,Sidewalk
32.0,27.337,4.5356,-0.0,0.8,-0.0,270.6635,1.5439,walk_east_mid.1,537.0601,0.8,-0.0,0.8,-0.0,Sidewalk
