success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,453,226.0,205.21,295.8,0.6937,0.7258,91.774,0.293,1,20,0.0442,0.0468,0,0.0,0.907,0.093,0.052,0.181,1,dwa
False,collision,69,34.0,30.93,295.8,0.1046,0.1092,265.238,0.06,1,9,0.1304,0.1304,0,0.0,0.902,0.07,0.104,0.339,2,dwa
False,max_time,1801,900.0,171.43,295.8,0.5795,2.8905,124.732,0.546,0,6,0.0033,0.0033,0,0.0,0.191,0.036,0.005,0.016,3,dwa
False,collision,483,241.0,211.996,295.8,0.7167,0.774,87.774,0.304,1,18,0.0373,0.041,0,0.0,0.879,0.085,0.12,0.426,4,dwa
False,max_time,1801,900.0,130.369,295.8,0.4407,2.8905,166.595,0.457,0,11,0.0061,0.0061,0,0.0,0.145,0.039,0.005,0.016,5,dwa
False,max_time,1801,900.0,173.47,295.8,0.5864,2.8905,123.465,0.625,0,13,0.0072,0.0072,0,0.0,0.193,0.051,0.008,0.026,6,dwa
True,goal_reached,654,326.5,297.608,295.8,1.0061,1.0486,0.219,0.529,0,27,0.0413,0.0418,0,0.0,0.911,0.061,0.04,0.127,7,dwa
False,collision,492,245.5,222.244,295.8,0.7513,0.7885,75.785,0.135,1,25,0.0508,0.0522,0,0.0,0.904,0.088,0.051,0.14,8,dwa
False,max_time,1801,900.0,168.12,295.8,0.5684,2.8905,128.236,0.551,0,6,0.0033,0.0033,0,0.0,0.187,0.036,0.003,0.009,9,dwa
False,collision,204,101.5,91.607,295.8,0.3097,0.326,207.457,0.042,1,23,0.1127,0.1127,0,0.0,0.9,0.125,0.103,0.331,10,dwa
False,collision,472,235.5,218.47,295.8,0.7386,0.7563,78.521,0.184,1,15,0.0318,0.0318,0,0.0,0.927,0.059,0.019,0.047,11,dwa
False,collision,458,228.5,207.466,295.8,0.7014,0.7339,89.334,0.124,1,19,0.0415,0.0419,0,0.0,0.907,0.069,0.072,0.25,12,dwa
False,collision,476,237.5,217.77,295.8,0.7362,0.7628,79.959,0.357,1,16,0.0336,0.0349,0,0.0,0.916,0.059,0.039,0.132,13,dwa
False,collision,452,225.5,209.89,295.8,0.7096,0.7242,86.488,0.112,1,9,0.0199,0.0214,0,0.0,0.93,0.045,0.016,0.048,14,dwa
False,max_time,1801,900.0,183.93,295.8,0.6218,2.8905,112.111,0.596,0,9,0.005,0.005,0,0.0,0.204,0.036,0.018,0.064,15,dwa
False,collision,538,268.5,247.35,295.8,0.8362,0.8623,50.288,0.185,1,27,0.0502,0.0502,0,0.0,0.92,0.068,0.036,0.114,16,dwa
