time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1999,3.993,-0.03491,0.4,-0.06981,295.8001,2.8002,walk_east_mid.0,590.5649,0.4,-0.06981,0.4,-0.06981,Sidewalk
1.0,2.5996,4.007,0.03491,0.8,0.13963,295.4004,2.9371,walk_east_mid.0,588.2569,0.8,0.13963,0.8,0.13963,Sidewalk
1.5,3.0485,4.0384,0.06981,0.9,0.06981,294.9515,3.0704,walk_east_mid.0,587.0677,0.9,0.06981,0.9,0.06981,Sidewalk
2.0,3.514,4.1038,0.13963,0.94,0.13963,294.4861,3.113,walk_east_mid.0,585.6162,0.94,0.13963,0.94,0.13963,Sidewalk
2.5,3.9768,4.1854,0.17453,0.94,0.06981,294.0232,3.2252,walk_east_dn.0,584.5684,0.94,0.06981,0.94,0.06981,Sidewalk
3.0,4.4397,4.267,0.17453,0.94,-0.0,293.5604,3.3306,walk_east_dn.0,583.5724,0.94,-0.0,0.94,-0.0,Sidewalk
3.5,4.9051,4.3324,0.13963,0.94,-0.06981,293.0951,3.4151,walk_east_dn.0,582.6084,0.94,-0.06981,0.94,-0.06981,Sidewalk
4.0,5.3705,4.3978,0.13963,0.94,-0.0,292.6297,3.5089,walk_east_dn.0,581.46,0.94,-0.0,0.94,-0.0,Sidewalk
4.5,5.838,4.447,0.10472,0.94,-0.06981,292.1624,3.5181,walk_east_dn.0,580.4914,0.94,-0.06981,0.94,-0.06981,Sidewalk
5.0,6.3054,4.4961,0.10472,0.94,-0.0,291.695,3.5542,walk_east_dn.0,579.4584,0.94,-0.0,0.94,-0.0,Sidewalk
5.5,6.7742,4.5289,0.06981,0.94,-0.06981,291.2262,3.6005,walk_east_dn.0,578.5667,0.94,-0.06981,0.94,-0.06981,Sidewalk
6.0,7.2431,4.5617,0.06981,0.94,-0.0,290.7574,3.6874,walk_east_dn.0,577.5368,0.94,-0.0,0.94,-0.0,Sidewalk
6.5,7.7128,4.5781,0.03491,0.94,-0.06981,290.2878,3.7147,walk_east_dn.0,576.6646,0.94,-0.06981,0.94,-0.06981,Sidewalk
7.0,8.1825,4.5945,0.03491,0.94,-0.0,289.8181,3.7032,walk_east_dn.0,575.623,0.94,-0.0,0.94,-0.0,Sidewalk
7.5,8.6525,4.5945,-0.0,0.94,-0.06981,289.3481,3.7609,walk_east_dn.0,574.7997,0.94,-0.06981,0.94,-0.06981,Sidewalk
8.0,9.1225,4.5945,-0.0,0.94,-0.0,288.8781,3.7675,walk_east_dn.0,573.7411,0.94,-0.0,0.94,-0.0,Sidewalk
8.5,9.5922,4.6109,0.03491,0.94,0.06981,288.4084,3.7927,walk_east_dn.0,572.7802,0.94,0.06981,0.94,0.06981,Sidewalk
9.0,10.062,4.6273,0.03491,0.94,-0.0,287.9387,3.8793,walk_east_dn.0,571.8096,0.94,-0.0,0.94,-0.0,Sidewalk
9.5,10.532,4.6273,-0.0,0.94,-0.06981,287.4687,3.8863,walk_east_dn.0,570.9804,0.94,-0.06981,0.94,-0.06981,Sidewalk
10.0,11.002,4.6273,-0.0,0.94,-0.0,286.9987,3.9633,walk_east_dn.0,569.9179,0.94,-0.0,0.94,-0.0,Sidewalk
10.5,11.4717,4.6437,0.03491,0.94,0.06981,286.5291,4.054,walk_east_dn.0,568.9708,0.94,0.06981,0.94,0.06981,Sidewalk
11.0,11.9414,4.6601,0.03491,0.94,-0.0,286.0594,4.0821,walk_east_dn.0,567.9987,0.94,-0.0,0.94,-0.0,Sidewalk
11.5,12.4114,4.6601,-0.0,0.94,-0.06981,285.5894,4.0949,walk_east_dn.0,567.1421,0.94,-0.06981,0.94,-0.06981,Sidewalk
12.0,12.8814,4.6601,-0.0,0.94,-0.0,285.1194,4.1239,walk_east_dn.0,566.1156,0.94,-0.0,0.94,-0.0,Sidewalk
12.5,13.3511,4.6437,-0.03491,0.94,-0.06981,284.6496,4.1302,walk_east_dn.0,565.2792,0.94,-0.06981,0.94,-0.06981,Sidewalk
13.0,13.8208,4.6273,-0.03491,0.94,-0.0,284.1799,4.2026,walk_east_dn.0,564.2269,0.94,-0.0,0.94,-0.0,Sidewalk
13.5,14.2908,4.6273,-0.0,0.94,0.06981,283.7099,4.2762,walk_east_dn.0,563.2776,0.94,0.06981,0.94,0.06981,Sidewalk
14.0,14.7608,4.6273,-0.0,0.94,-0.0,283.2399,4.2777,walk_east_dn.0,562.3176,0.94,-0.0,0.94,-0.0,Sidewalk
14.5,15.2305,4.6437,0.03491,0.94,0.06981,282.7702,4.2822,walk_east_dn.0,561.4133,0.94,0.06981,0.94,0.06981,Sidewalk
15.0,15.7002,4.6601,0.03491,0.94,-0.0,282.3005,4.3124,walk_east_dn.0,560.4299,0.94,-0.0,0.94,-0.0,Sidewalk
15.5,16.1702,4.6601,-0.0,0.94,-0.06981,281.8305,4.3894,walk_east_dn.0,559.5378,0.94,-0.06981,0.94,-0.06981,Sidewalk
16.0,16.6402,4.6601,-0.0,0.94,-0.0,281.3605,4.4629,walk_east_dn.0,558.5214,0.94,-0.0,0.94,-0.0,Sidewalk
16.5,17.1099,4.6437,-0.03491,0.94,-0.06981,280.8908,4.5146,walk_east_dn.0,557.6491,0.94,-0.06981,0.94,-0.06981,Sidewalk
17.0,17.5797,4.6273,-0.03491,0.94,-0.0,280.421,4.5854,walk_east_dn.0,556.6215,0.94,-0.0,0.94,-0.0,Sidewalk
17.5,18.0497,4.6273,-0.0,0.94,0.06981,279.951,4.623,walk_east_dn.0,555.7029,0.94,0.06981,0.94,0.06981,Sidewalk
18.0,18.5197,4.6273,-0.0,0.94,-0.0,279.481,4.6221,walk_east_dn.0,554.7294,0.94,-0.0,0.94,-0.0,Sidewalk
18.5,18.9894,4.6437,0.03491,0.94,0.06981,279.0114,4.6077,walk_east_dn.0,553.8465,0.94,0.06981,0.94,0.06981,Sidewalk
19.0,19.4591,4.6601,0.03491,0.94,-0.0,278.5417,4.6191,walk_east_dn.0,552.8555,0.94,-0.0,0.94,-0.0,Sidewalk
19.5,19.9291,4.6601,-0.0,0.94,-0.06981,278.0717,4.5989,walk_east_dn.0,551.9715,0.94,-0.06981,0.94,-0.06981,Sidewalk
20.0,20.3991,4.6601,-0.0,0.94,-0.0,277.6017,4.5997,walk_east_dn.0,550.9779,0.94,-0.0,0.94,-0.0,Sidewalk
20.5,20.8688,4.6437,-0.03491,0.94,-0.06981,277.1319,4.6214,walk_east_dn.0,550.107,0.94,-0.06981,0.94,-0.06981,Sidewalk
21.0,21.3385,4.6273,-0.03491,0.94,-0.0,276.6622,4.6951,walk_east_dn.0,549.0833,0.94,-0.0,0.94,-0.0,Sidewalk
21.5,21.8085,4.6273,-0.0,0.94,0.06981,276.1922,4.7115,walk_east_dn.0,548.1725,0.94,0.06981,0.94,0.06981,Sidewalk
22.0,22.2785,4.6273,-0.0,0.94,-0.0,275.7222,4.7576,walk_east_dn.0,547.1887,0.94,-0.0,0.94,-0.0,Sidewalk
22.5,22.7482,4.6437,0.03491,0.94,0.06981,275.2525,4.8343,walk_east_dn.0,546.2995,0.94,0.06981,0.94,0.06981,Sidewalk
23.0,23.2179,4.6601,0.03491,0.94,-0.0,274.7829,4.8614,walk_east_dn.0,545.3008,0.94,-0.0,0.94,-0.0,Sidewalk
23.5,23.6879,4.6601,-0.0,0.94,-0.06981,274.3129,4.9052,walk_east_dn.0,544.3968,0.94,-0.06981,0.94,-0.06981,Sidewalk
24.0,24.1579,4.6601,-0.0,0.94,-0.0,273.8429,4.972,walk_east_dn.0,543.4017,0.94,-0.0,0.94,-0.0,Sidewalk
24.5,24.6277,4.6437,-0.03491,0.94,-0.06981,273.3731,4.9893,walk_east_dn.0,542.521,0.94,-0.06981,0.94,-0.06981,Sidewalk
25.0,25.0974,4.6273,-0.03491,0.94,-0.0,272.9034,5.0651,walk_east_dn.0,541.5078,0.94,-0.0,0.94,-0.0,Sidewalk
25.5,25.5674,4.6273,-0.0,0.94,0.06981,272.4334,5.0228,walk_east_up.1,540.6064,0.94,0.06981,0.94,0.06981,Sidewalk
26.0,26.0374,4.6273,-0.0,0.94,-0.0,271.9634,4.8561,walk_east_up.1,539.6186,0.94,-0.0,0.94,-0.0,Sidewalk
26.5,26.5071,4.6109,-0.03491,0.94,-0.06981,271.4936,4.7411,walk_east_up.1,538.7405,0.94,-0.06981,0.94,-0.06981,Sidewalk
27.0,26.9768,4.5945,-0.03491,0.94,-0.0,271.0239,4.5278,walk_east_up.1,537.7314,0.94,-0.0,0.94,-0.0,Sidewalk
27.5,27.4468,4.5945,-0.0,0.94,0.06981,270.5539,4.346,walk_east_up.1,536.8355,0.94,0.06981,0.94,0.06981,Sidewalk
28.0,27.9168,4.5945,-0.0,0.94,-0.0,270.0839,4.1413,walk_east_up.1,535.8443,0.94,-0.0,0.94,-0.0,Sidewalk
28.5,28.3865,4.5781,-0.03491,0.94,-0.06981,269.6141,3.9275,walk_east_up.1,534.9565,0.94,-0.06981,0.94,-0.06981,Sidewalk
29.0,28.8562,4.5617,-0.03491,0.94,-0.0,269.1444,3.7853,walk_east_up.1,533.9545,0.94,-0.0,0.94,-0.0,Sidewalk
29.5,29.3262,4.5617,-0.0,0.94,0.06981,268.6744,3.6733,walk_east_up.1,533.0544,0.94,0.06981,0.94,0.06981,Sidewalk
30.0,29.7962,4.5617,-0.0,0.94,-0.0,268.2044,3.5234,walk_east_up.1,532.0649,0.94,-0.0,0.94,-0.0,Sidewalk
30.5,30.2659,4.5453,-0.03491,0.94,-0.06981,267.7346,3.3603,walk_east_up.1,531.1852,0.94,-0.06981,0.94,-0.06981,Sidewalk
31.0,30.7357,4.5289,-0.03491,0.94,-0.0,267.2649,3.1731,walk_east_up.1,530.1815,0.94,-0.0,0.94,-0.0,Sidewalk
31.5,31.2057,4.5289,-0.0,0.94,0.06981,266.7949,3.0651,walk_east_up.1,529.3076,0.94,0.06981,0.94,0.06981,Sidewalk
32.0,31.6757,4.5289,-0.0,0.94,-0.0,266.3249,2.8662,walk_east_up.1,528.334,0.94,-0.0,0.94,-0.0,Sidewalk
