success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,492,245.5,219.106,295.8,0.7407,0.7885,82.406,0.184,1,19,0.0386,0.0393,0,0.0,0.892,0.108,0.093,0.314,1,dwa
False,collision,62,30.5,26.47,295.8,0.0895,0.098,269.677,0.15,1,7,0.1129,0.1129,0,0.0,0.86,0.09,0.192,0.651,2,dwa
False,max_time,1801,900.0,171.39,295.8,0.5794,2.8905,124.74,0.523,0,8,0.0044,0.0044,0,0.0,0.191,0.037,0.008,0.025,3,dwa
False,collision,474,236.5,208.37,295.8,0.7044,0.7596,88.027,0.308,1,6,0.0127,0.0138,0,0.0,0.88,0.049,0.134,0.476,4,dwa
False,max_time,1801,900.0,129.83,295.8,0.4389,2.8905,166.595,0.471,0,14,0.0078,0.0078,0,0.0,0.144,0.036,0.004,0.013,5,dwa
False,collision,504,251.5,228.36,295.8,0.772,0.8077,68.674,0.171,1,24,0.0476,0.0483,0,0.0,0.907,0.084,0.073,0.257,6,dwa
False,collision,519,259.0,233.37,295.8,0.7889,0.8318,63.666,0.31,1,20,0.0385,0.0387,0,0.0,0.9,0.059,0.078,0.274,7,dwa
False,collision,453,226.0,206.06,295.8,0.6966,0.7258,91.238,0.105,1,15,0.0331,0.034,0,0.0,0.911,0.061,0.048,0.145,8,dwa
False,max_time,1801,900.0,168.1,295.8,0.5683,2.8905,128.248,0.565,0,6,0.0033,0.0033,0,0.0,0.187,0.037,0.006,0.017,9,dwa
False,collision,483,241.0,214.206,295.8,0.7242,0.774,86.961,0.247,1,39,0.0807,0.0807,0,0.0,0.888,0.102,0.104,0.36,10,dwa
False,collision,455,227.0,209.33,295.8,0.7077,0.729,87.552,0.308,1,12,0.0264,0.0264,0,0.0,0.921,0.054,0.019,0.061,11,dwa
False,collision,477,238.0,209.28,295.8,0.7075,0.7644,88.38,0.235,1,11,0.0231,0.0235,0,0.0,0.878,0.086,0.114,0.374,12,dwa
False,max_time,1801,900.0,135.84,295.8,0.4592,2.8905,160.286,0.707,0,4,0.0022,0.0022,0,0.0,0.151,0.035,0.004,0.012,13,dwa
False,collision,600,299.5,265.904,295.8,0.8989,0.9619,41.708,0.294,1,27,0.045,0.0476,0,0.0,0.887,0.122,0.088,0.253,14,dwa
False,max_time,1801,900.0,184.4,295.8,0.6234,2.8905,112.3,0.545,0,18,0.01,0.01,0,0.0,0.205,0.038,0.018,0.066,15,dwa
False,collision,551,275.0,246.107,295.8,0.832,0.8832,55.169,0.28,1,35,0.0635,0.0636,0,0.0,0.894,0.093,0.072,0.219,16,dwa
False,collision,573,286.0,248.54,295.8,0.8402,0.9185,65.049,0.06,1,53,0.0925,0.0925,0,0.0,0.868,0.162,0.108,0.306,17,dwa
False,collision,474,236.5,212.86,295.8,0.7196,0.7596,88.457,0.166,1,17,0.0359,0.0359,0,0.0,0.899,0.111,0.067,0.219,18,dwa
False,collision,471,235.0,214.41,295.8,0.7248,0.7547,85.44,0.115,1,17,0.0361,0.0362,0,0.0,0.911,0.076,0.038,0.111,19,dwa
False,collision,451,225.0,206.8,295.8,0.6991,0.7226,89.746,0.172,1,13,0.0288,0.0291,0,0.0,0.918,0.047,0.022,0.056,20,dwa
False,collision,507,253.0,231.729,295.8,0.7834,0.8125,65.222,0.286,1,21,0.0414,0.0414,0,0.0,0.915,0.056,0.034,0.109,21,dwa
False,collision,488,243.5,207.73,295.8,0.7023,0.782,89.24,0.184,1,31,0.0635,0.0635,0,0.0,0.852,0.057,0.111,0.375,22,dwa
False,collision,478,238.5,217.99,295.8,0.737,0.766,78.272,0.129,1,21,0.0439,0.0511,0,0.0,0.913,0.046,0.05,0.176,23,dwa
False,collision,484,241.5,219.978,295.8,0.7437,0.7756,77.147,0.072,1,23,0.0475,0.0475,0,0.0,0.91,0.058,0.041,0.124,24,dwa
False,collision,525,262.0,234.789,295.8,0.7937,0.8414,65.232,0.124,1,21,0.04,0.04,0,0.0,0.895,0.094,0.06,0.187,25,dwa
False,collision,466,232.5,211.918,295.8,0.7164,0.7467,88.075,0.348,1,12,0.0258,0.026,0,0.0,0.91,0.07,0.033,0.109,26,dwa
False,collision,487,243.0,214.487,295.8,0.7251,0.7804,86.497,0.134,1,21,0.0431,0.051,0,0.0,0.882,0.109,0.102,0.34,27,dwa
False,max_time,1801,900.0,188.3,295.8,0.6366,2.8905,107.881,0.637,0,2,0.0011,0.0011,0,0.0,0.209,0.037,0.03,0.107,28,dwa
False,collision,481,240.0,218.14,295.8,0.7375,0.7708,78.367,0.065,1,15,0.0312,0.0312,0,0.0,0.908,0.076,0.059,0.21,29,dwa
False,collision,512,255.5,227.183,295.8,0.768,0.8206,74.52,0.098,1,23,0.0449,0.047,0,0.0,0.888,0.094,0.074,0.243,30,dwa
False,collision,674,336.5,289.609,295.8,0.9791,1.0807,8.898,0.263,1,34,0.0504,0.0504,0,0.0,0.86,0.067,0.075,0.244,31,dwa
False,collision,493,246.0,222.86,295.8,0.7534,0.7901,74.104,0.274,1,34,0.069,0.069,0,0.0,0.905,0.057,0.057,0.18,32,dwa
False,collision,458,228.5,208.19,295.8,0.7038,0.7339,88.879,0.31,1,33,0.0721,0.0721,0,0.0,0.91,0.074,0.062,0.204,33,dwa
False,collision,150,74.5,69.46,295.8,0.2348,0.2393,226.386,0.138,1,3,0.02,0.02,0,0.0,0.929,0.036,0.016,0.038,34,dwa
False,collision,455,227.0,208.72,295.8,0.7056,0.729,88.03,0.304,1,19,0.0418,0.0418,0,0.0,0.918,0.052,0.034,0.102,35,dwa
False,collision,442,220.5,203.9,295.8,0.6893,0.7082,92.707,0.267,1,22,0.0498,0.0498,0,0.0,0.924,0.046,0.02,0.055,36,dwa
False,collision,452,225.5,205.97,295.8,0.6963,0.7242,90.473,0.196,1,10,0.0221,0.0221,0,0.0,0.912,0.05,0.029,0.088,37,dwa
False,collision,476,237.5,214.355,295.8,0.7247,0.7628,86.359,0.286,1,25,0.0525,0.0585,0,0.0,0.902,0.071,0.061,0.199,38,dwa
False,collision,539,269.0,241.318,295.8,0.8158,0.8639,57.903,0.222,1,28,0.0519,0.0552,0,0.0,0.896,0.08,0.054,0.167,39,dwa
False,collision,461,230.0,211.807,295.8,0.716,0.7387,88.346,0.203,1,22,0.0477,0.0507,0,0.0,0.92,0.08,0.043,0.147,40,dwa
False,collision,447,223.0,204.31,295.8,0.6907,0.7162,91.964,0.339,1,14,0.0313,0.0326,0,0.0,0.915,0.048,0.038,0.134,41,dwa
False,collision,474,236.5,214.15,295.8,0.724,0.7596,82.369,0.273,1,20,0.0422,0.0478,0,0.0,0.904,0.059,0.085,0.31,42,dwa
False,collision,524,261.5,241.72,295.8,0.8172,0.8398,54.964,0.364,1,17,0.0324,0.0352,0,0.0,0.923,0.05,0.026,0.076,43,dwa
False,collision,499,249.0,219.108,295.8,0.7407,0.7997,78.876,0.33,1,27,0.0541,0.0554,0,0.0,0.879,0.092,0.113,0.386,44,dwa
False,collision,472,235.5,218.3,295.8,0.738,0.7563,77.988,0.295,1,8,0.0169,0.0169,0,0.0,0.926,0.044,0.021,0.057,45,dwa
