time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1499,3.9948,-0.03491,0.3,-0.06981,295.8501,2.8502,walk_east_mid.0,325.7287,0.3,-0.06981,0.3,-0.06981,Sidewalk
1.0,2.3896,4.0073,0.05236,0.48,0.17453,295.6104,3.0489,walk_east_dn.0,325.0355,0.48,0.17453,0.48,0.17453,Sidewalk
1.5,2.6755,4.0374,0.10472,0.575,0.10472,295.3245,3.1542,walk_east_dn.0,324.4343,0.575,0.10472,0.575,0.10472,Sidewalk
2.0,3.008,4.0782,0.12217,0.67,0.03491,294.992,3.1969,walk_east_dn.0,323.8126,0.67,0.03491,0.67,0.03491,Sidewalk
2.5,3.3562,4.1333,0.15708,0.705,0.06981,294.6439,3.2299,walk_east_dn.0,323.1993,0.705,0.06981,0.705,0.06981,Sidewalk
3.0,3.7512,4.1959,0.15708,0.8,-0.0,294.2488,3.237,walk_east_dn.0,322.7777,0.8,-0.0,0.8,-0.0,Sidewalk
3.5,4.1329,4.2632,0.17453,0.775,0.03491,293.8673,3.2815,walk_east_dn.0,322.0172,0.775,0.03491,0.775,0.03491,Sidewalk
4.0,4.5625,4.3313,0.15708,0.87,-0.03491,293.4377,3.2434,walk_east_dn.0,321.619,0.87,-0.03491,0.87,-0.03491,Sidewalk
4.5,4.9798,4.3974,0.15708,0.845,-0.0,293.0205,3.22,walk_east_dn.0,320.7962,0.845,-0.0,0.845,-0.0,Sidewalk
5.0,5.4761,4.4583,0.12217,1.0,-0.06981,292.5243,3.1304,walk_east_dn.0,320.5669,1.0,-0.06981,1.0,-0.06981,Sidewalk
5.5,5.9609,4.5092,0.10472,0.975,-0.03491,292.0395,3.0564,walk_east_dn.0,319.7153,0.975,-0.03491,0.975,-0.03491,Sidewalk
6.0,6.4333,4.5589,0.10472,0.95,-0.0,291.5672,2.9765,walk_east_dn.0,318.964,0.95,-0.0,0.95,-0.0,Sidewalk
6.5,6.9545,4.5953,0.06981,1.045,-0.06981,291.0461,2.8704,walk_east_dn.0,318.6634,1.045,-0.06981,1.045,-0.06981,Sidewalk
