time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1499,3.9935,-0.04363,0.3,-0.08727,295.8501,2.8502,walk_east_mid.0,192.8474,0.3,-0.08727,0.3,-0.08727,Sidewalk
1.0,2.3889,4.0144,0.08727,0.48,0.2618,295.6111,3.0511,walk_east_dn.0,192.4294,0.48,0.2618,0.48,0.2618,Sidewalk
1.5,2.6492,4.0486,0.1309,0.525,0.08727,295.3508,3.1823,walk_east_dn.0,192.0611,0.525,0.08727,0.525,0.08727,Sidewalk
2.0,2.9594,4.1033,0.17453,0.63,0.08727,295.0406,3.25,walk_east_dn.0,191.6619,0.63,0.08727,0.63,0.08727,Sidewalk
2.5,3.3213,4.1672,0.17453,0.735,-0.0,294.6787,3.272,walk_east_dn.0,191.4145,0.735,-0.0,0.735,-0.0,Sidewalk
3.0,3.7054,4.2349,0.17453,0.78,-0.0,294.2947,3.2916,walk_east_dn.0,191.0546,0.78,-0.0,0.78,-0.0,Sidewalk
3.5,4.0821,4.3013,0.17453,0.765,-0.0,293.9181,3.341,walk_east_dn.0,190.684,0.765,-0.0,0.765,-0.0,Sidewalk
4.0,4.4809,4.3716,0.17453,0.81,-0.0,293.5193,3.3334,walk_east_dn.0,190.2813,0.81,-0.0,0.81,-0.0,Sidewalk
4.5,4.9019,4.4459,0.17453,0.855,-0.0,293.0984,3.3095,walk_east_dn.0,189.8669,0.855,-0.0,0.855,-0.0,Sidewalk
5.0,5.2565,4.5084,0.17453,0.72,-0.0,292.744,3.3536,walk_east_dn.0,189.8718,0.72,-0.0,0.72,-0.0,Sidewalk
5.5,5.7844,4.5779,0.1309,1.065,-0.08727,292.2162,3.2457,walk_east_dn.0,189.4389,1.065,-0.08727,1.065,-0.08727,Sidewalk
6.0,6.3074,4.6236,0.08727,1.05,-0.08727,291.6932,3.1179,walk_east_dn.0,189.1992,1.05,-0.08727,1.05,-0.08727,Sidewalk
6.5,6.7931,4.6661,0.08727,0.975,-0.0,291.2077,3.0466,walk_east_dn.0,188.4279,0.975,-0.0,0.975,-0.0,Sidewalk
7.0,7.2414,4.7053,0.08727,0.9,-0.0,290.7595,2.9883,walk_east_dn.0,188.2308,0.9,-0.0,0.9,-0.0,Sidewalk
7.5,7.8033,4.7299,0.04363,1.125,-0.08727,290.1976,2.8082,walk_east_dn.0,188.0145,1.125,-0.08727,1.125,-0.08727,Sidewalk
8.0,8.2978,4.7515,0.04363,0.99,-0.0,289.7031,2.7384,walk_east_dn.0,187.4041,0.99,-0.0,0.99,-0.0,Sidewalk
8.5,8.7849,4.7727,0.04363,0.975,-0.0,289.2161,2.6671,walk_east_dn.0,187.0808,0.975,-0.0,0.975,-0.0,Sidewalk
9.0,9.2944,4.795,0.04363,1.02,-0.0,288.7067,2.5413,walk_east_dn.0,186.7416,1.02,-0.0,1.02,-0.0,Sidewalk
9.5,9.7964,4.8169,0.04363,1.005,-0.0,288.2047,2.4706,walk_east_dn.0,186.3358,1.005,-0.0,1.005,-0.0,Sidewalk
10.0,10.3514,4.8169,-0.0,1.11,-0.08727,287.6497,2.3184,walk_east_dn.0,186.0577,1.11,-0.08727,1.11,-0.08727,Sidewalk
10.5,10.9583,4.7904,-0.04363,1.215,-0.08727,287.0427,2.154,walk_east_dn.0,185.5566,1.215,-0.08727,1.215,-0.08727,Sidewalk
11.0,11.4978,4.7668,-0.04363,1.08,-0.0,286.5032,2.0502,walk_east_dn.0,185.3728,1.08,-0.0,1.08,-0.0,Sidewalk
11.5,12.0298,4.7436,-0.04363,1.065,-0.0,285.9711,1.9492,walk_east_dn.0,184.9615,1.065,-0.0,1.065,-0.0,Sidewalk
12.0,12.5543,4.7207,-0.04363,1.05,-0.0,285.4466,1.8606,walk_east_dn.0,184.6596,1.05,-0.0,1.05,-0.0,Sidewalk
12.5,13.1013,4.6968,-0.04363,1.095,-0.0,284.8996,1.7506,walk_east_dn.0,184.2857,1.095,-0.0,1.095,-0.0,Sidewalk
13.0,13.6408,4.6733,-0.04363,1.08,-0.0,284.36,1.6454,walk_east_dn.0,183.9675,1.08,-0.0,1.08,-0.0,Sidewalk
13.5,14.231,4.6216,-0.08727,1.185,-0.08727,283.7696,1.4821,walk_east_dn.0,183.6219,1.185,-0.08727,1.185,-0.08727,Sidewalk
14.0,14.7839,4.5733,-0.08727,1.11,-0.0,283.2167,1.3549,walk_east_dn.0,183.3466,1.11,-0.0,1.11,-0.0,Sidewalk
14.5,15.3592,4.5229,-0.08727,1.155,-0.0,282.6413,1.2322,walk_east_dn.0,183.0761,1.155,-0.0,1.155,-0.0,Sidewalk
15.0,15.9271,4.4733,-0.08727,1.14,-0.0,282.0733,1.1391,walk_east_dn.0,182.6166,1.14,-0.0,1.14,-0.0,Sidewalk
