time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1205,3.9669,-0.26786,0.25,-0.53573,295.8795,2.8799,walk_east_mid.0,mpc_optimized,822674.7991,0.25,-0.53573,0.25,-0.53573,Sidewalk
1.0,2.3698,3.9476,-0.07715,0.5,0.38142,295.6302,2.9582,walk_east_mid.0,mpc_optimized,821923.4352,0.5,0.38142,0.5,0.38142,Sidewalk
1.5,2.7432,3.9132,-0.09187,0.75,-0.02943,295.2568,2.9873,walk_east_mid.0,mpc_optimized,820520.7528,0.75,-0.02943,0.75,-0.02943,Sidewalk
2.0,3.2406,3.8617,-0.10332,1.0,-0.0229,294.7595,2.8739,walk_east_mid.0,mpc_optimized,818421.6501,1.0,-0.0229,1.0,-0.0229,Sidewalk
2.5,3.7376,3.8075,-0.10858,1.0,-0.01052,294.2625,2.7447,walk_east_mid.0,mpc_optimized,815630.1712,1.0,-0.01052,1.0,-0.01052,Sidewalk
3.0,4.2354,3.761,-0.09321,1.0,0.03075,293.7647,2.5815,walk_east_mid.0,mpc_optimized,812845.0271,1.0,0.03075,1.0,0.03075,Sidewalk
3.5,4.7349,3.7838,0.04572,1.0,0.27785,293.2652,2.4266,walk_east_mid.0,mpc_optimized,810060.3175,1.0,0.27785,1.0,0.27785,Sidewalk
4.0,5.2341,3.812,0.0565,1.0,0.02156,292.7659,2.317,walk_east_mid.0,mpc_optimized,807271.1748,1.0,0.02156,1.0,0.02156,Sidewalk
4.5,5.7335,3.8358,0.04759,1.0,-0.01781,292.2665,2.2109,walk_east_mid.0,mpc_optimized,804488.3848,1.0,-0.01781,1.0,-0.01781,Sidewalk
5.0,6.2331,3.8579,0.04417,1.0,-0.00684,291.767,2.0613,walk_east_mid.0,mpc_optimized,801709.1403,1.0,-0.00684,1.0,-0.00684,Sidewalk
5.5,6.7327,3.8774,0.03892,1.0,-0.01052,291.2673,1.911,walk_east_mid.0,mpc_optimized,798934.271,1.0,-0.01052,1.0,-0.01052,Sidewalk
6.0,7.2324,3.8938,0.03289,1.0,-0.01204,290.7676,1.7497,walk_east_mid.0,mpc_optimized,796163.6113,1.0,-0.01204,1.0,-0.01204,Sidewalk
6.5,7.7322,3.9083,0.02899,1.0,-0.00782,290.2678,1.5828,walk_east_mid.0,mpc_optimized,793397.1861,1.0,-0.00782,1.0,-0.00782,Sidewalk
7.0,8.2321,3.9202,0.02384,1.0,-0.0103,289.7679,1.4382,walk_east_mid.0,mpc_optimized,790635.1997,1.0,-0.0103,1.0,-0.0103,Sidewalk
7.5,8.732,3.9304,0.02045,1.0,-0.00677,289.2681,1.2851,walk_east_mid.0,mpc_optimized,787877.8191,1.0,-0.00677,1.0,-0.00677,Sidewalk
8.0,9.2319,3.9396,0.01825,1.0,-0.0044,288.7681,1.181,walk_east_mid.0,mpc_optimized,785124.7123,1.0,-0.0044,1.0,-0.0044,Sidewalk
8.5,9.7308,3.9071,-0.06497,1.0,-0.16644,288.2692,1.0342,walk_east_mid.0,mpc_optimized,782378.0058,1.0,-0.16644,1.0,-0.16644,Sidewalk
9.0,10.2303,3.8834,-0.04752,1.0,0.03491,287.7698,0.9086,walk_east_mid.0,mpc_optimized,779639.7144,1.0,0.03491,1.0,0.03491,Sidewalk
9.5,10.7232,3.7996,-0.16822,1.0,-0.2414,287.2769,0.7993,walk_east_mid.0,mpc_optimized,776908.6106,1.0,-0.2414,1.0,-0.2414,Sidewalk
10.0,11.2186,3.7321,-0.1355,1.0,0.06543,286.7815,0.6748,walk_east_mid.0,mpc_optimized,774212.3785,1.0,0.06543,1.0,0.06543,Sidewalk
10.5,11.7157,3.6779,-0.10854,1.0,0.05393,286.2845,0.5986,walk_east_mid.0,mpc_optimized,771507.2661,1.0,0.05393,1.0,0.05393,Sidewalk
11.0,12.2146,3.6447,-0.06661,1.0,0.08386,285.7857,0.5371,walk_east_mid.0,mpc_optimized,768797.4242,1.0,0.08386,1.0,0.08386,Sidewalk
11.5,12.714,3.6213,-0.04679,1.0,0.03964,285.2862,0.464,walk_east_mid.0,mpc_optimized,766083.6228,1.0,0.03964,1.0,0.03964,Sidewalk
12.0,13.2138,3.6077,-0.02724,1.0,0.03909,284.7864,0.4225,walk_east_mid.0,mpc_optimized,763371.4231,1.0,0.03909,1.0,0.03909,Sidewalk
12.5,13.7044,3.5108,-0.19498,1.0,-0.33548,284.2961,0.5062,walk_east_mid.0,mpc_optimized,760659.5946,1.0,-0.33548,1.0,-0.33548,Sidewalk
13.0,14.1923,3.4015,-0.22029,1.0,-0.05061,283.8084,0.6403,walk_east_mid.0,mpc_optimized,758005.1679,1.0,-0.05061,1.0,-0.05061,Sidewalk
13.5,14.6916,3.428,0.0529,1.0,0.54637,283.309,0.9003,walk_east_mid.0,mpc_optimized,755368.6821,1.0,0.54637,1.0,0.54637,Sidewalk
14.0,15.1883,3.4853,0.11503,1.0,0.12425,282.8122,1.2666,walk_east_up.0,mpc_optimized,752676.2744,1.0,0.12425,1.0,0.12425,Sidewalk
14.5,15.6856,3.5367,0.10285,1.0,-0.02434,282.3148,1.194,walk_east_up.0,mpc_optimized,750002.882,1.0,-0.02434,1.0,-0.02434,Sidewalk
15.0,16.1828,3.5894,0.10561,1.0,0.00552,281.8175,1.1163,walk_east_up.0,mpc_optimized,747330.5655,1.0,0.00552,1.0,0.00552,Sidewalk
15.5,16.6806,3.6371,0.09567,1.0,-0.01989,281.3197,1.0558,walk_east_up.0,mpc_optimized,744663.8037,1.0,-0.01989,1.0,-0.01989,Sidewalk
16.0,17.1789,3.678,0.08186,1.0,-0.02762,280.8213,1.0091,walk_east_up.0,mpc_optimized,741999.118,1.0,-0.02762,1.0,-0.02762,Sidewalk
16.5,17.678,3.7075,0.05896,1.0,-0.04579,280.3221,0.9776,walk_east_up.0,mpc_optimized,739335.9974,1.0,-0.04579,1.0,-0.04579,Sidewalk
17.0,18.1772,3.7351,0.05531,1.0,-0.00731,279.8229,0.9532,walk_east_up.0,mpc_optimized,736673.3437,1.0,-0.00731,1.0,-0.00731,Sidewalk
17.5,18.6766,3.7604,0.0505,1.0,-0.00961,279.3235,0.942,walk_east_up.0,mpc_optimized,734014.9017,1.0,-0.00961,1.0,-0.00961,Sidewalk
18.0,19.1763,3.7791,0.03741,1.0,-0.02619,278.8238,0.943,walk_east_up.0,mpc_optimized,731360.6494,1.0,-0.02619,1.0,-0.02619,Sidewalk
18.5,19.6761,3.7918,0.02549,1.0,-0.02383,278.324,0.9514,walk_east_up.0,mpc_optimized,728709.6887,1.0,-0.02383,1.0,-0.02383,Sidewalk
19.0,20.1759,3.8055,0.02745,1.0,0.00391,277.8242,0.9904,walk_east_up.0,mpc_optimized,726062.4432,1.0,0.00391,1.0,0.00391,Sidewalk
19.5,20.6758,3.8164,0.0218,1.0,-0.0113,277.3243,1.0116,walk_east_up.0,mpc_optimized,723420.2949,1.0,-0.0113,1.0,-0.0113,Sidewalk
20.0,21.1756,3.8299,0.02698,1.0,0.01037,276.8244,1.0647,walk_east_up.0,mpc_optimized,720782.4694,1.0,0.01037,1.0,0.01037,Sidewalk
20.5,21.6754,3.8434,0.02688,1.0,-0.0002,276.3246,1.1343,walk_east_up.0,mpc_optimized,718149.8454,1.0,-0.0002,1.0,-0.0002,Sidewalk
21.0,22.1752,3.8579,0.02902,1.0,0.00428,275.8248,1.2046,walk_east_up.0,mpc_optimized,715522.0449,1.0,0.00428,1.0,0.00428,Sidewalk
21.5,22.675,3.8726,0.02939,1.0,0.00074,275.325,1.2714,walk_east_up.0,mpc_optimized,712899.2215,1.0,0.00074,1.0,0.00074,Sidewalk
22.0,23.1748,3.8867,0.02824,1.0,-0.0023,274.8252,1.345,walk_east_up.0,mpc_optimized,710281.2282,1.0,-0.0023,1.0,-0.0023,Sidewalk
22.5,23.6746,3.8998,0.0263,1.0,-0.00389,274.3254,1.3904,walk_east_up.0,mpc_optimized,707667.9979,1.0,-0.00389,1.0,-0.00389,Sidewalk
23.0,24.1745,3.9122,0.02464,1.0,-0.00331,273.8255,1.4961,walk_east_up.0,mpc_optimized,705059.3901,1.0,-0.00331,1.0,-0.00331,Sidewalk
23.5,24.6744,3.9229,0.02157,1.0,-0.00614,273.3257,1.5925,walk_east_up.0,mpc_optimized,702455.5206,1.0,-0.00614,1.0,-0.00614,Sidewalk
24.0,25.1743,3.9325,0.01909,1.0,-0.00498,272.8257,1.6646,walk_east_up.0,mpc_optimized,699856.3035,1.0,-0.00498,1.0,-0.00498,Sidewalk
24.5,25.6742,3.9411,0.01721,1.0,-0.00374,272.3258,1.7591,walk_east_up.0,mpc_optimized,697261.7491,1.0,-0.00374,1.0,-0.00374,Sidewalk
25.0,26.1741,3.9485,0.01473,1.0,-0.00496,271.8259,1.8801,walk_east_up.0,mpc_optimized,694671.9254,1.0,-0.00496,1.0,-0.00496,Sidewalk
25.5,26.6741,3.955,0.01319,1.0,-0.00309,271.3259,1.9829,walk_east_up.0,mpc_optimized,692086.8351,1.0,-0.00309,1.0,-0.00309,Sidewalk
26.0,27.1741,3.9606,0.01104,1.0,-0.0043,270.8259,2.1108,walk_east_up.0,mpc_optimized,689506.4961,1.0,-0.0043,1.0,-0.0043,Sidewalk
26.5,27.674,3.9658,0.01039,1.0,-0.0013,270.326,2.1981,walk_east_up.0,mpc_optimized,686930.9222,1.0,-0.0013,1.0,-0.0013,Sidewalk
27.0,28.174,3.9702,0.0088,1.0,-0.00317,269.826,2.2725,walk_east_up.0,mpc_optimized,684360.1465,1.0,-0.00317,1.0,-0.00317,Sidewalk
