success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
True,goal_reached,573,286.0,310.247,295.85,1.0487,1.16,0.008,0.41,0,169,0.2949,0.2949,0,0.0,1.083,0.201,0.118,0.435,orca,1
True,goal_reached,564,281.5,325.265,295.85,1.0994,1.1418,0.247,0.42,0,24,0.0426,0.0426,0,0.0,1.156,0.282,0.074,0.237,orca,2
False,max_time,841,420.0,171.55,295.85,0.5799,1.7036,124.759,0.528,0,59,0.0702,0.0705,0,0.0,0.408,0.008,0.031,0.107,orca,3
False,collision,67,33.0,35.3,295.85,0.1193,0.1339,260.69,0.39,1,35,0.5224,0.5224,0,0.0,1.058,0.075,0.155,0.511,orca,4
False,max_time,841,420.0,129.3,295.85,0.437,1.7036,166.948,0.767,0,2,0.0024,0.0024,0,0.0,0.308,0.01,0.007,0.012,orca,5
False,collision,47,23.0,23.45,295.85,0.0793,0.0933,272.4,0.393,1,25,0.5319,0.5319,0,0.0,1.004,0.0,0.152,0.489,orca,6
False,collision,83,41.0,43.2,295.85,0.146,0.1663,252.814,0.399,1,36,0.4337,0.4337,0,0.0,1.045,0.061,0.105,0.341,orca,7
False,collision,427,213.0,246.495,295.85,0.8332,0.864,58.101,0.236,1,14,0.0328,0.0349,0,0.0,1.155,0.155,0.047,0.157,orca,8
False,max_time,841,420.0,134.244,295.85,0.4538,1.7036,162.163,0.655,0,36,0.0428,0.0428,0,0.0,0.32,0.018,0.026,0.093,orca,9
False,collision,132,65.5,69.85,295.85,0.2361,0.2657,226.137,0.399,1,62,0.4697,0.4697,0,0.0,1.061,0.019,0.108,0.391,orca,10
False,collision,54,26.5,30.35,295.85,0.1026,0.1075,265.5,0.398,1,21,0.3889,0.3889,0,0.0,1.13,0.0,0.109,0.315,orca,11
False,collision,386,192.5,219.095,295.85,0.7406,0.7808,83.366,0.296,1,54,0.1399,0.1399,0,0.0,1.136,0.129,0.067,0.216,orca,12
False,collision,486,242.5,276.986,295.85,0.9362,0.9836,28.445,0.285,1,17,0.035,0.0367,0,0.0,1.142,0.164,0.063,0.194,orca,13
True,goal_reached,511,255.0,300.25,295.85,1.0149,1.0343,0.002,0.61,0,13,0.0254,0.0257,0,0.0,1.176,0.105,0.049,0.172,orca,14
False,max_time,841,420.0,183.8,295.85,0.6213,1.7036,112.305,0.519,0,43,0.0511,0.0545,0,0.0,0.437,0.01,0.015,0.046,orca,15
False,collision,50,24.5,27.95,295.85,0.0945,0.0994,267.9,0.393,1,15,0.3,0.3,0,0.0,1.124,0.0,0.127,0.392,orca,16
False,collision,156,77.5,82.024,295.85,0.2772,0.3143,214.181,0.343,1,76,0.4872,0.4872,0,0.0,1.056,0.064,0.111,0.369,orca,17
False,collision,61,30.0,28.45,295.85,0.0962,0.1217,267.4,0.382,1,43,0.7049,0.7049,0,0.0,0.938,0.0,0.157,0.536,orca,18
False,collision,67,33.0,37.95,295.85,0.1283,0.1339,257.9,0.396,1,28,0.4179,0.4179,0,0.0,1.137,0.0,0.124,0.412,orca,19
False,collision,373,186.0,218.919,295.85,0.74,0.7544,81.066,0.339,1,4,0.0107,0.0107,0,0.0,1.176,0.098,0.027,0.077,orca,20
False,collision,65,32.0,36.65,295.85,0.1239,0.1298,259.2,0.38,1,24,0.3692,0.3692,0,0.0,1.132,0.0,0.097,0.286,orca,21
False,max_time,841,420.0,120.5,295.85,0.4073,1.7036,175.85,0.571,0,126,0.1498,0.1498,0,0.0,0.287,0.017,0.024,0.088,orca,22
True,goal_reached,522,260.5,301.4,295.85,1.0188,1.0566,0.099,0.405,0,71,0.136,0.136,0,0.0,1.155,0.114,0.061,0.215,orca,23
True,goal_reached,551,275.0,322.097,295.85,1.0887,1.1154,0.184,0.653,0,6,0.0109,0.011,0,0.0,1.17,0.248,0.047,0.148,orca,24
False,collision,409,204.0,232.864,295.85,0.7871,0.8274,67.235,0.354,1,60,0.1467,0.1571,0,0.0,1.14,0.087,0.051,0.163,orca,25
False,collision,146,72.5,86.35,295.85,0.2919,0.2941,209.529,0.4,1,42,0.2877,0.2877,0,0.0,1.185,0.009,0.023,0.053,orca,26
False,collision,515,257.0,280.225,295.85,0.9472,1.0424,26.346,0.173,1,84,0.1631,0.1846,0,0.0,1.089,0.217,0.095,0.314,orca,27
False,collision,73,36.0,40.35,295.85,0.1364,0.146,255.618,0.39,1,39,0.5342,0.5342,0,0.0,1.11,0.017,0.125,0.423,orca,28
False,collision,66,32.5,32.35,295.85,0.1093,0.1318,263.5,0.378,1,45,0.6818,0.6818,0,0.0,0.985,0.0,0.182,0.644,orca,29
False,collision,486,242.5,269.25,295.85,0.9101,0.9836,37.043,0.289,1,43,0.0885,0.0933,0,0.0,1.109,0.187,0.082,0.204,orca,30
False,collision,107,53.0,45.35,295.85,0.1533,0.215,250.645,0.365,1,84,0.785,0.785,0,0.0,0.85,0.011,0.07,0.225,orca,31
False,collision,497,248.0,286.003,295.85,0.9667,1.0059,16.351,0.34,1,23,0.0463,0.0478,0,0.0,1.152,0.13,0.05,0.13,orca,32
False,collision,39,19.0,20.05,295.85,0.0678,0.0771,275.8,0.4,0,18,0.4615,0.4615,0,0.0,1.036,0.0,0.1,0.205,orca,33
False,collision,402,200.5,230.515,295.85,0.7792,0.8132,72.749,0.383,1,30,0.0746,0.0775,0,0.0,1.15,0.173,0.064,0.211,orca,34
False,max_time,841,420.0,106.95,295.85,0.3615,1.7036,188.9,1.099,0,0,0.0,0.0,0,0.0,0.255,0.0,0.005,0.011,orca,35
True,goal_reached,506,252.5,298.4,295.85,1.0086,1.0242,0.15,0.68,0,5,0.0099,0.0099,0,0.0,1.18,0.083,0.037,0.115,orca,36
True,goal_reached,563,281.0,315.463,295.85,1.0663,1.1398,0.052,0.518,0,119,0.2114,0.2176,0,0.0,1.121,0.285,0.127,0.45,orca,37
False,max_time,841,420.0,126.2,295.85,0.4266,1.7036,170.291,0.462,0,80,0.0951,0.0951,0,0.0,0.3,0.029,0.034,0.119,orca,38
False,collision,490,244.5,273.066,295.85,0.923,0.9917,27.922,0.256,1,159,0.3245,0.3245,0,0.0,1.116,0.091,0.075,0.262,orca,39
False,collision,76,37.5,37.35,295.85,0.1262,0.1521,258.525,0.391,1,54,0.7105,0.7105,0,0.0,0.987,0.008,0.157,0.557,orca,40
False,collision,416,207.5,242.174,295.85,0.8186,0.8416,58.402,0.324,1,12,0.0288,0.0346,0,0.0,1.167,0.128,0.047,0.142,orca,41
False,collision,419,209.0,240.74,295.85,0.8137,0.8477,61.002,0.4,1,20,0.0477,0.0477,0,0.0,1.153,0.105,0.058,0.164,orca,42
False,collision,57,28.0,32.35,295.85,0.1093,0.1136,263.5,0.367,1,17,0.2982,0.2982,0,0.0,1.14,0.0,0.118,0.356,orca,43
False,collision,131,65.0,74.45,295.85,0.2516,0.2636,221.547,0.398,1,56,0.4275,0.4275,0,0.0,1.139,0.048,0.125,0.456,orca,44
False,collision,76,37.5,38.75,295.85,0.131,0.1521,257.154,0.384,1,48,0.6316,0.6316,0,0.0,1.024,0.033,0.104,0.341,orca,45
True,goal_reached,518,258.5,301.4,295.85,1.0188,1.0485,0.2,0.655,0,41,0.0792,0.0795,0,0.0,1.164,0.115,0.075,0.272,orca,46
False,collision,113,56.0,56.65,295.85,0.1915,0.2271,239.2,0.393,1,89,0.7876,0.7876,0,0.0,1.005,0.0,0.155,0.53,orca,47
False,collision,498,248.5,282.047,295.85,0.9533,1.0079,21.432,0.315,1,59,0.1185,0.1185,0,0.0,1.135,0.166,0.08,0.259,orca,48
False,max_time,841,420.0,126.85,295.85,0.4288,1.7036,169.558,0.542,0,43,0.0511,0.0511,0,0.0,0.302,0.011,0.017,0.056,orca,49
True,goal_reached,557,278.0,308.614,295.85,1.0431,1.1276,0.042,0.432,0,98,0.1759,0.1759,0,0.0,1.109,0.209,0.091,0.293,orca,50
False,max_time,841,420.0,136.55,295.85,0.4616,1.7036,159.824,0.655,0,38,0.0452,0.0457,0,0.0,0.325,0.011,0.021,0.074,orca,51
False,collision,90,44.5,50.35,295.85,0.1702,0.1805,245.559,0.381,1,44,0.4889,0.4889,0,0.0,1.122,0.028,0.155,0.55,orca,52
False,collision,358,178.5,208.606,295.85,0.7051,0.724,92.199,0.353,1,26,0.0726,0.0754,0,0.0,1.166,0.083,0.057,0.203,orca,53
False,collision,82,40.5,45.85,295.85,0.155,0.1643,250.059,0.396,1,38,0.4634,0.4634,0,0.0,1.122,0.031,0.126,0.425,orca,54
True,goal_reached,524,261.5,304.288,295.85,1.0285,1.0607,0.106,0.632,0,8,0.0153,0.0153,0,0.0,1.162,0.164,0.06,0.197,orca,55
False,collision,97,48.0,55.15,295.85,0.1864,0.1947,240.7,0.385,1,42,0.433,0.433,0,0.0,1.14,0.0,0.085,0.282,orca,56
