time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.15,4.0,0.0,0.3,0.0,295.85,2.85,walk_east_mid.0,velocity_selected,0.7085,0.3,0.0,0.3,0.0,Sidewalk
1.0,2.45,4.0,0.0,0.6,0.0,295.55,3.065,walk_east_dn.0,velocity_selected,0.0398,0.6,0.0,0.6,0.0,Sidewalk
1.5,2.9,4.0,0.0,0.9,0.0,295.1,3.0249,walk_east_dn.0,velocity_selected,0.0386,0.9,0.0,0.9,0.0,Sidewalk
2.0,3.5,4.0,0.0,1.2,0.0,294.5,2.7963,walk_east_dn.0,velocity_selected,0.0408,1.2,0.0,1.2,0.0,Sidewalk
2.5,4.1,4.0,0.0,1.2,0.0,293.9,2.5904,walk_east_dn.0,velocity_selected,0.0407,1.2,0.0,1.2,0.0,Sidewalk
3.0,4.7,4.0,0.0,1.2,0.0,293.3,2.4012,walk_east_dn.0,velocity_selected,0.0428,1.2,0.0,1.2,0.0,Sidewalk
3.5,5.3,4.0,0.0,1.2,0.0,292.7,2.2026,walk_east_dn.0,velocity_selected,0.0467,1.2,0.0,1.2,0.0,Sidewalk
4.0,5.9,4.0,0.0,1.2,0.0,292.1,1.9827,walk_east_dn.0,velocity_selected,0.0574,1.2,0.0,1.2,0.0,Sidewalk
4.5,6.5,4.0,0.0,1.2,0.0,291.5,1.7831,walk_east_dn.0,velocity_selected,0.0627,1.2,0.0,1.2,0.0,Sidewalk
5.0,7.1,4.0,0.0,1.2,0.0,290.9,1.582,walk_east_dn.0,velocity_selected,0.0771,1.2,0.0,1.2,0.0,Sidewalk
5.5,7.7,4.0,0.0,1.2,0.0,290.3,1.3839,walk_east_dn.0,velocity_selected,0.1025,1.2,0.0,1.2,0.0,Sidewalk
6.0,8.3,4.0,0.0,1.2,0.0,289.7,1.2296,walk_east_dn.0,velocity_selected,0.093,1.2,0.0,1.2,0.0,Sidewalk
6.5,8.9,4.0,0.0,1.2,0.0,289.1,1.0823,walk_east_dn.0,velocity_selected,0.1562,1.2,0.0,1.2,0.0,Sidewalk
7.0,9.5,4.0,0.0,1.2,0.0,288.5,0.9454,walk_east_dn.0,velocity_selected,0.2623,1.2,0.0,1.2,0.0,Sidewalk
7.5,10.0,4.0,0.0,1.0,0.0,288.0,0.8549,walk_east_dn.0,velocity_selected,0.436,1.0,0.0,1.0,0.0,Sidewalk
8.0,10.5706,4.1854,0.31416,1.2,0.62832,287.4294,0.9077,walk_east_dn.0,velocity_selected,0.4527,1.2,0.62832,1.2,0.62832,Sidewalk
8.5,11.1706,4.185,-0.00065,1.2,-0.62961,286.8294,0.8503,walk_east_dn.0,velocity_selected,0.1086,1.2,-0.62961,1.2,-0.62961,Sidewalk
9.0,11.7706,4.1846,-0.00065,1.2,0.0,286.2294,0.842,walk_east_dn.0,velocity_selected,0.1082,1.2,0.0,1.2,0.0,Sidewalk
9.5,12.3706,4.1842,-0.00065,1.2,0.0,285.6294,0.8784,walk_east_dn.0,velocity_selected,0.1094,1.2,0.0,1.2,0.0,Sidewalk
10.0,12.9706,4.1839,-0.00065,1.2,0.0,285.0294,0.936,walk_east_dn.0,velocity_selected,0.1085,1.2,0.0,1.2,0.0,Sidewalk
10.5,13.5706,4.1835,-0.00065,1.2,0.0,284.4294,1.0308,walk_east_dn.0,velocity_selected,0.1079,1.2,0.0,1.2,0.0,Sidewalk
11.0,14.1706,4.1831,-0.00065,1.2,0.0,283.8294,1.1795,walk_east_dn.0,velocity_selected,0.1021,1.2,0.0,1.2,0.0,Sidewalk
11.5,14.7706,4.1827,-0.00065,1.2,0.0,283.2294,1.29,walk_east_dn.0,velocity_selected,0.0954,1.2,0.0,1.2,0.0,Sidewalk
12.0,15.3706,4.1823,-0.00065,1.2,0.0,282.6294,1.4529,walk_east_dn.0,velocity_selected,0.084,1.2,0.0,1.2,0.0,Sidewalk
12.5,15.9706,4.1819,-0.00065,1.2,0.0,282.0294,1.6469,walk_east_dn.0,velocity_selected,0.0736,1.2,0.0,1.2,0.0,Sidewalk
13.0,16.5706,4.1815,-0.00065,1.2,0.0,281.4294,1.8361,walk_east_dn.0,velocity_selected,0.0647,1.2,0.0,1.2,0.0,Sidewalk
13.5,17.1706,4.1812,-0.00065,1.2,0.0,280.8294,1.9809,walk_east_dn.0,velocity_selected,0.0603,1.2,0.0,1.2,0.0,Sidewalk
14.0,17.7706,4.1808,-0.00065,1.2,0.0,280.2294,2.1531,walk_east_dn.0,velocity_selected,0.0581,1.2,0.0,1.2,0.0,Sidewalk
14.5,18.3706,4.1804,-0.00065,1.2,0.0,279.6294,2.3449,walk_east_dn.0,velocity_selected,0.0529,1.2,0.0,1.2,0.0,Sidewalk
15.0,18.9706,4.18,-0.00065,1.2,0.0,279.0294,2.5677,walk_east_dn.0,velocity_selected,0.0495,1.2,0.0,1.2,0.0,Sidewalk
15.5,19.5706,4.1796,-0.00065,1.2,0.0,278.4294,2.7764,walk_east_dn.0,velocity_selected,0.0471,1.2,0.0,1.2,0.0,Sidewalk
16.0,20.1706,4.1792,-0.00065,1.2,0.0,277.8294,2.9987,walk_east_dn.0,velocity_selected,0.0454,1.2,0.0,1.2,0.0,Sidewalk
16.5,20.7706,4.1788,-0.00065,1.2,0.0,277.2294,3.0212,walk_east_up.0,velocity_selected,0.0441,1.2,0.0,1.2,0.0,Sidewalk
17.0,21.3706,4.1784,-0.00065,1.2,0.0,276.6294,3.0271,walk_east_up.0,velocity_selected,0.043,1.2,0.0,1.2,0.0,Sidewalk
17.5,21.9706,4.1781,-0.00065,1.2,0.0,276.0294,3.0059,walk_east_up.0,velocity_selected,0.0424,1.2,0.0,1.2,0.0,Sidewalk
18.0,22.5706,4.1777,-0.00065,1.2,0.0,275.4294,3.0035,walk_east_up.0,velocity_selected,0.0414,1.2,0.0,1.2,0.0,Sidewalk
18.5,23.1706,4.1773,-0.00065,1.2,0.0,274.8294,2.9853,walk_east_up.0,velocity_selected,0.0409,1.2,0.0,1.2,0.0,Sidewalk
19.0,23.7706,4.1769,-0.00065,1.2,0.0,274.2294,3.0018,walk_east_up.0,velocity_selected,0.0402,1.2,0.0,1.2,0.0,Sidewalk
19.5,24.3706,4.1765,-0.00065,1.2,0.0,273.6294,2.9958,walk_east_up.0,velocity_selected,0.0395,1.2,0.0,1.2,0.0,Sidewalk
20.0,24.9706,4.1761,-0.00065,1.2,0.0,273.0294,2.9546,walk_east_up.0,velocity_selected,0.0397,1.2,0.0,1.2,0.0,Sidewalk
20.5,25.5706,4.1757,-0.00065,1.2,0.0,272.4294,2.9871,walk_east_up.0,velocity_selected,0.0382,1.2,0.0,1.2,0.0,Sidewalk
21.0,26.1706,4.1753,-0.00065,1.2,0.0,271.8294,3.0271,walk_east_up.0,velocity_selected,0.038,1.2,0.0,1.2,0.0,Sidewalk
