success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,21,10.0,11.55,295.85,0.039,0.0406,284.3,0.38,1,3,0.1429,0.1429,0,0.0,1.114,0.004,0.09,0.063,rrt,1
False,collision,15,7.0,7.95,295.85,0.0269,0.0284,287.9,0.269,1,3,0.2,0.2,0,0.0,1.08,0.0,0.129,0.092,rrt,2
False,collision,126,62.5,74.55,295.85,0.252,0.2535,221.416,0.389,1,13,0.1032,0.1032,0,0.0,1.186,0.071,0.014,0.01,rrt,3
False,collision,17,8.0,9.15,295.85,0.0309,0.0324,286.7,0.388,1,3,0.1765,0.1765,0,0.0,1.094,0.0,0.113,0.08,rrt,4
False,collision,217,108.0,129.15,295.85,0.4365,0.4381,166.769,0.358,1,8,0.0369,0.0369,0,0.0,1.192,0.03,0.008,0.006,rrt,5
False,collision,21,10.0,11.55,295.85,0.039,0.0406,284.3,0.356,1,3,0.1429,0.1429,0,0.0,1.114,0.006,0.09,0.063,rrt,6
False,collision,15,7.0,7.95,295.85,0.0269,0.0284,287.9,0.206,1,3,0.2,0.2,0,0.0,1.08,0.0,0.129,0.092,rrt,7
False,collision,191,95.0,113.55,295.85,0.3838,0.3853,182.44,0.109,1,10,0.0524,0.0602,0,0.0,1.191,0.069,0.009,0.006,rrt,8
False,collision,186,92.5,110.55,295.85,0.3737,0.3752,185.435,0.19,1,28,0.1505,0.1505,0,0.0,1.19,0.053,0.01,0.007,rrt,9
False,collision,19,9.0,10.35,295.85,0.035,0.0365,285.501,0.387,1,4,0.2105,0.2105,0,0.0,1.105,0.013,0.1,0.071,rrt,10
False,collision,41,20.0,23.55,295.85,0.0796,0.0811,272.314,0.32,1,8,0.1951,0.1951,0,0.0,1.156,0.027,0.045,0.031,rrt,11
False,collision,17,8.0,9.15,295.85,0.0309,0.0324,286.7,0.216,1,3,0.1765,0.1765,0,0.0,1.094,0.001,0.113,0.08,rrt,12
False,collision,228,113.5,135.75,295.85,0.4588,0.4604,160.251,0.14,1,12,0.0526,0.0553,0,0.0,1.192,0.053,0.008,0.005,rrt,13
False,collision,209,104.0,124.35,295.85,0.4203,0.4218,171.597,0.357,1,9,0.0431,0.0431,0,0.0,1.191,0.032,0.009,0.006,rrt,14
False,collision,17,8.0,9.15,295.85,0.0309,0.0324,286.7,0.303,1,4,0.2353,0.2353,0,0.0,1.094,0.0,0.113,0.08,rrt,15
False,collision,40,19.5,22.95,295.85,0.0776,0.0791,272.915,0.314,1,6,0.15,0.15,0,0.0,1.155,0.038,0.046,0.032,rrt,16
False,collision,24,11.5,13.35,295.85,0.0451,0.0466,282.508,0.38,1,4,0.1667,0.1667,0,0.0,1.125,0.036,0.078,0.055,rrt,17
False,collision,18,8.5,9.75,295.85,0.033,0.0345,286.1,0.325,1,3,0.1667,0.1667,0,0.0,1.1,0.01,0.106,0.075,rrt,18
False,collision,47,23.0,27.15,295.85,0.0918,0.0933,268.71,0.331,1,8,0.1702,0.1702,0,0.0,1.162,0.034,0.039,0.027,rrt,19
False,collision,190,94.5,112.95,295.85,0.3818,0.3833,182.988,0.176,1,2,0.0105,0.0105,0,0.0,1.191,0.036,0.01,0.006,rrt,20
False,collision,49,24.0,28.35,295.85,0.0958,0.0973,267.519,0.331,1,7,0.1429,0.1429,0,0.0,1.163,0.043,0.037,0.026,rrt,21
False,collision,185,92.0,109.95,295.85,0.3716,0.3732,185.968,0.302,1,8,0.0432,0.0432,0,0.0,1.19,0.03,0.01,0.007,rrt,22
False,collision,16,7.5,8.55,295.85,0.0289,0.0304,287.304,0.241,1,3,0.1875,0.1875,0,0.0,1.087,0.041,0.12,0.086,rrt,23
False,collision,192,95.5,114.15,295.85,0.3858,0.3874,181.764,0.27,1,2,0.0104,0.0104,0,0.0,1.191,0.03,0.009,0.006,rrt,24
False,collision,20,9.5,10.95,295.85,0.037,0.0385,284.902,0.365,1,4,0.2,0.2,0,0.0,1.11,0.012,0.095,0.067,rrt,25
False,collision,206,102.5,122.55,295.85,0.4142,0.4158,173.408,0.285,1,53,0.2573,0.2573,0,0.0,1.191,0.044,0.009,0.006,rrt,26
False,collision,18,8.5,9.75,295.85,0.033,0.0345,286.103,0.398,1,3,0.1667,0.1667,0,0.0,1.1,0.033,0.106,0.075,rrt,27
False,collision,18,8.5,9.75,295.85,0.033,0.0345,286.1,0.239,1,4,0.2222,0.2222,0,0.0,1.1,0.0,0.106,0.075,rrt,28
False,collision,22,10.5,12.15,295.85,0.0411,0.0426,283.7,0.324,1,4,0.1818,0.1818,0,0.0,1.118,0.0,0.086,0.06,rrt,29
False,collision,182,90.5,108.15,295.85,0.3656,0.3671,187.871,0.251,1,8,0.044,0.044,0,0.0,1.19,0.067,0.01,0.007,rrt,30
False,collision,206,102.5,122.55,295.85,0.4142,0.4158,173.485,0.265,1,8,0.0388,0.0388,0,0.0,1.191,0.07,0.009,0.006,rrt,31
False,collision,190,94.5,112.95,295.85,0.3818,0.3833,183.006,0.394,1,8,0.0421,0.0457,0,0.0,1.191,0.049,0.01,0.006,rrt,32
False,collision,21,10.0,11.55,295.85,0.039,0.0406,284.302,0.318,1,4,0.1905,0.1905,0,0.0,1.114,0.017,0.09,0.063,rrt,33
False,collision,214,106.5,127.35,295.85,0.4305,0.432,168.592,0.134,1,43,0.2009,0.2139,0,0.0,1.192,0.035,0.008,0.006,rrt,34
False,collision,201,100.0,119.55,295.85,0.4041,0.4056,176.386,0.163,1,6,0.0299,0.0299,0,0.0,1.191,0.034,0.009,0.006,rrt,35
False,collision,207,103.0,123.15,295.85,0.4163,0.4178,172.743,0.194,1,2,0.0097,0.0097,0,0.0,1.191,0.014,0.009,0.006,rrt,36
False,collision,198,98.5,117.75,295.85,0.398,0.3995,178.233,0.376,1,25,0.1263,0.1269,0,0.0,1.191,0.052,0.009,0.006,rrt,37
