time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.15,4.0,0.0,0.3,0.0,295.85,2.85,walk_east_mid.0,no_path,0.0,0.3,0.0,0.3,0.0,Sidewalk
1.0,2.45,4.0,0.0,0.6,0.0,295.55,3.0405,walk_east_up.0,no_path,0.0,0.6,0.0,0.6,0.0,Sidewalk
1.5,2.9,4.0,0.0,0.9,0.0,295.1,3.0124,walk_east_up.0,no_path,0.0,0.9,0.0,0.9,0.0,Sidewalk
2.0,3.5,4.0,0.0,1.2,0.0,294.5,2.861,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
2.5,4.1,4.0,0.0,1.2,0.0,293.9,2.6737,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
3.0,4.7,4.0,0.0,1.2,0.0,293.3,2.557,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
3.5,5.3,4.0,0.0,1.2,0.0,292.7,2.4098,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
4.0,5.9,4.0,0.0,1.2,0.0,292.1,2.2745,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
4.5,6.5,4.0,0.0,1.2,0.0,291.5,2.1642,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
5.0,7.1,4.0,0.0,1.2,0.0,290.9,1.9691,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
5.5,7.7,4.0,0.0,1.2,0.0,290.3,1.7991,walk_east_up.0,no_path,0.0,1.2,0.0,1.2,0.0,Sidewalk
6.0,8.2983,4.0458,0.07633,1.2,0.15265,289.7018,1.624,walk_east_up.0,path_found,21.0,1.2,0.15265,1.2,0.15265,Sidewalk
6.5,8.8965,4.0915,0.07633,1.2,0.0,289.1035,1.4243,walk_east_up.0,path_found,21.0,1.2,0.0,1.2,0.0,Sidewalk
7.0,9.4959,4.0641,-0.04572,1.2,-0.24409,288.5041,1.3263,walk_east_up.0,no_path,0.0,1.2,-0.24409,1.2,-0.24409,Sidewalk
7.5,10.0956,4.0449,-0.03203,1.2,0.02738,287.9044,1.1866,walk_east_up.0,no_path,0.0,1.2,0.02738,1.2,0.02738,Sidewalk
8.0,10.6954,4.0314,-0.02243,1.2,0.0192,287.3046,1.0965,walk_east_up.0,no_path,0.0,1.2,0.0192,1.2,0.0192,Sidewalk
8.5,11.2953,4.022,-0.0157,1.2,0.01345,286.7047,0.9639,walk_east_up.0,no_path,0.0,1.2,0.01345,1.2,0.01345,Sidewalk
9.0,11.8953,4.0154,-0.01099,1.2,0.00942,286.1047,0.8629,walk_east_up.0,no_path,0.0,1.2,0.00942,1.2,0.00942,Sidewalk
9.5,12.4953,4.0108,-0.0077,1.2,0.0066,285.5047,0.799,walk_east_up.0,no_path,0.0,1.2,0.0066,1.2,0.0066,Sidewalk
10.0,13.0953,4.0075,-0.00539,1.2,0.00462,284.9047,0.7288,walk_east_up.0,no_path,0.0,1.2,0.00462,1.2,0.00462,Sidewalk
10.5,13.6953,4.0053,-0.00377,1.2,0.00323,284.3047,0.6891,walk_east_up.0,no_path,0.0,1.2,0.00323,1.2,0.00323,Sidewalk
11.0,14.2953,4.0037,-0.00264,1.2,0.00226,283.7047,0.6817,walk_east_up.0,no_path,0.0,1.2,0.00226,1.2,0.00226,Sidewalk
11.5,14.8948,4.0281,0.04066,1.2,0.0866,283.1052,0.6917,walk_east_up.0,path_found,21.0,1.2,0.0866,1.2,0.0866,Sidewalk
12.0,15.4943,4.0525,0.04066,1.2,0.0,282.5057,0.7339,walk_east_up.0,path_found,21.0,1.2,0.0,1.2,0.0,Sidewalk
12.5,16.0941,4.0367,-0.02623,1.2,-0.13378,281.9059,0.8175,walk_east_up.0,no_path,0.0,1.2,-0.13378,1.2,-0.13378,Sidewalk
