success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,67,33.0,32.625,295.884,0.1103,0.1115,263.613,0.38,1,8,0.1194,0.1194,0,0.0,0.978,0.129,0.023,0.015,teb,1
False,collision,27,13.0,12.625,295.884,0.0427,0.0439,283.371,0.373,1,4,0.1481,0.1481,0,0.0,0.944,0.149,0.058,0.04,teb,2
False,collision,230,114.5,114.125,295.884,0.3857,0.387,181.828,0.258,1,13,0.0565,0.0565,0,0.0,0.993,0.019,0.007,0.004,teb,3
False,collision,39,19.0,18.625,295.884,0.0629,0.0642,277.463,0.391,1,7,0.1795,0.1795,0,0.0,0.962,0.168,0.039,0.027,teb,4
False,collision,260,129.5,129.125,295.884,0.4364,0.4377,166.823,0.393,1,28,0.1077,0.1077,0,0.0,0.994,0.013,0.006,0.004,teb,5
False,collision,85,42.0,41.625,295.884,0.1407,0.1419,254.775,0.367,1,17,0.2,0.2,0,0.0,0.982,0.153,0.018,0.012,teb,6
False,collision,29,14.0,13.625,295.884,0.046,0.0473,282.431,0.4,1,7,0.2414,0.2414,0,0.0,0.948,0.167,0.054,0.037,teb,7
False,collision,229,114.0,113.625,295.884,0.384,0.3853,182.313,0.26,1,28,0.1223,0.1223,0,0.0,0.993,0.014,0.007,0.004,teb,8
False,collision,223,111.0,110.625,295.884,0.3739,0.3751,185.334,0.276,1,5,0.0224,0.0224,0,0.0,0.993,0.017,0.007,0.005,teb,9
False,collision,51,25.0,24.625,295.884,0.0832,0.0845,271.547,0.371,1,11,0.2157,0.2157,0,0.0,0.971,0.139,0.03,0.02,teb,10
False,collision,419,209.0,208.625,295.884,0.7051,0.7064,87.387,0.399,1,12,0.0286,0.033,0,0.0,0.996,0.021,0.004,0.002,teb,11
False,collision,35,17.0,16.625,295.884,0.0562,0.0575,279.516,0.349,1,7,0.2,0.2,0,0.0,0.957,0.192,0.044,0.03,teb,12
False,collision,273,136.0,135.625,295.884,0.4584,0.4596,160.315,0.341,1,25,0.0916,0.0916,0,0.0,0.995,0.011,0.006,0.004,teb,13
False,collision,251,125.0,124.625,295.884,0.4212,0.4225,171.326,0.265,1,30,0.1195,0.1195,0,0.0,0.994,0.013,0.006,0.004,teb,14
False,collision,25,12.0,11.625,295.884,0.0393,0.0406,284.314,0.397,1,5,0.2,0.2,0,0.0,0.94,0.119,0.062,0.043,teb,15
False,collision,217,108.0,107.625,295.884,0.3637,0.365,188.396,0.349,1,2,0.0092,0.0092,0,0.0,0.993,0.044,0.007,0.005,teb,16
False,collision,96,47.5,47.125,295.884,0.1593,0.1605,249.112,0.356,1,16,0.1667,0.1667,0,0.0,0.984,0.108,0.016,0.011,teb,17
False,collision,51,25.0,24.625,295.884,0.0832,0.0845,271.57,0.403,1,10,0.1961,0.1961,0,0.0,0.971,0.154,0.03,0.02,teb,18
False,collision,226,112.5,112.125,295.884,0.3789,0.3802,183.872,0.267,1,15,0.0664,0.0667,0,0.0,0.993,0.034,0.007,0.004,teb,19
False,collision,227,113.0,112.625,295.884,0.3806,0.3819,183.32,0.302,1,13,0.0573,0.0578,0,0.0,0.993,0.015,0.007,0.004,teb,20
False,collision,220,109.5,109.125,295.884,0.3688,0.3701,186.819,0.396,1,2,0.0091,0.0091,0,0.0,0.993,0.022,0.007,0.005,teb,21
False,collision,222,110.5,110.125,295.884,0.3722,0.3735,185.834,0.253,1,16,0.0721,0.0721,0,0.0,0.993,0.016,0.007,0.005,teb,22
False,collision,31,15.0,14.625,295.884,0.0494,0.0507,281.375,0.414,1,4,0.129,0.129,0,0.0,0.952,0.165,0.05,0.034,teb,23
False,collision,230,114.5,114.125,295.884,0.3857,0.387,181.831,0.26,1,7,0.0304,0.0308,0,0.0,0.993,0.017,0.007,0.004,teb,24
False,collision,54,26.5,26.125,295.884,0.0883,0.0896,270.106,0.415,1,12,0.2222,0.2222,0,0.0,0.972,0.165,0.028,0.019,teb,25
False,collision,247,123.0,122.625,295.884,0.4144,0.4157,173.32,0.286,1,18,0.0729,0.0729,0,0.0,0.994,0.014,0.006,0.004,teb,26
False,collision,44,21.5,21.125,295.884,0.0714,0.0727,274.984,0.356,1,6,0.1364,0.1364,0,0.0,0.966,0.131,0.035,0.024,teb,27
False,collision,39,19.0,18.625,295.884,0.0629,0.0642,277.494,0.365,1,6,0.1538,0.1538,0,0.0,0.962,0.191,0.039,0.027,teb,28
False,collision,84,41.5,41.125,295.884,0.139,0.1403,255.051,0.354,1,14,0.1667,0.1667,0,0.0,0.982,0.118,0.018,0.012,teb,29
False,collision,217,108.0,107.625,295.884,0.3637,0.365,188.305,0.415,1,47,0.2166,0.2166,0,0.0,0.993,0.015,0.007,0.005,teb,30
False,collision,247,123.0,122.625,295.884,0.4144,0.4157,173.318,0.25,1,15,0.0607,0.0622,0,0.0,0.994,0.014,0.006,0.004,teb,31
False,collision,227,113.0,112.625,295.884,0.3806,0.3819,183.327,0.328,1,32,0.141,0.141,0,0.0,0.993,0.015,0.007,0.004,teb,32
False,collision,82,40.5,40.125,295.884,0.1356,0.1369,256.162,0.417,1,10,0.122,0.122,0,0.0,0.982,0.137,0.019,0.013,teb,33
False,collision,256,127.5,127.125,295.884,0.4296,0.4309,168.834,0.412,1,31,0.1211,0.1211,0,0.0,0.994,0.015,0.006,0.004,teb,34
False,collision,241,120.0,119.625,295.884,0.4043,0.4056,176.314,0.311,1,21,0.0871,0.0871,0,0.0,0.994,0.016,0.006,0.004,teb,35
False,collision,248,123.5,123.125,295.884,0.4161,0.4174,172.821,0.284,1,19,0.0766,0.0772,0,0.0,0.994,0.013,0.006,0.004,teb,36
False,collision,238,118.5,118.125,295.884,0.3992,0.4005,177.814,0.264,1,14,0.0588,0.0609,0,0.0,0.994,0.014,0.006,0.004,teb,37
False,collision,25,12.0,11.625,295.884,0.0393,0.0406,284.414,0.393,1,4,0.16,0.16,0,0.0,0.94,0.171,0.062,0.043,teb,38
False,collision,216,107.5,107.125,295.884,0.3621,0.3633,189.162,0.286,1,13,0.0602,0.0602,0,0.0,0.993,0.102,0.007,0.005,teb,39
False,collision,92,45.5,45.125,295.884,0.1525,0.1538,251.205,0.357,1,12,0.1304,0.1304,0,0.0,0.984,0.126,0.016,0.011,teb,40
False,collision,373,186.0,185.625,295.884,0.6274,0.6286,110.332,0.281,1,39,0.1046,0.1046,0,0.0,0.996,0.009,0.004,0.003,teb,41
False,collision,54,26.5,26.125,295.884,0.0883,0.0896,269.849,0.337,1,7,0.1296,0.1296,0,0.0,0.972,0.116,0.028,0.019,teb,42
False,collision,280,139.5,139.125,295.884,0.4702,0.4715,156.876,0.275,1,14,0.05,0.05,0,0.0,0.995,0.029,0.005,0.004,teb,43
False,collision,48,23.5,23.125,295.884,0.0782,0.0794,273.002,0.362,1,9,0.1875,0.1875,0,0.0,0.969,0.125,0.032,0.022,teb,44
False,collision,349,174.0,173.625,295.884,0.5868,0.5881,123.259,0.286,1,17,0.0487,0.0525,0,0.0,0.996,0.075,0.004,0.003,teb,45
False,collision,240,119.5,119.125,295.884,0.4026,0.4039,176.818,0.263,1,2,0.0083,0.009,0,0.0,0.994,0.014,0.006,0.004,teb,46
False,collision,305,152.0,151.625,295.884,0.5124,0.5137,145.226,0.31,1,9,0.0295,0.0311,0,0.0,0.995,0.086,0.005,0.003,teb,47
False,collision,102,50.5,50.125,295.884,0.1694,0.1707,246.192,0.369,1,39,0.3824,0.3824,0,0.0,0.985,0.129,0.015,0.01,teb,48
False,collision,259,129.0,128.625,295.884,0.4347,0.436,167.31,0.246,1,16,0.0618,0.0618,0,0.0,0.994,0.013,0.006,0.004,teb,49
False,collision,69,34.0,33.625,295.884,0.1136,0.1149,262.625,0.351,1,11,0.1594,0.1594,0,0.0,0.978,0.136,0.022,0.015,teb,50
False,collision,297,148.0,147.625,295.884,0.4989,0.5002,148.32,0.266,1,7,0.0236,0.0239,0,0.0,0.995,0.012,0.005,0.003,teb,51
False,collision,215,107.0,106.625,295.884,0.3604,0.3616,189.351,0.414,1,6,0.0279,0.0279,0,0.0,0.993,0.026,0.007,0.005,teb,52
False,collision,247,123.0,122.625,295.884,0.4144,0.4157,173.321,0.275,1,17,0.0688,0.0688,0,0.0,0.994,0.012,0.006,0.004,teb,53
False,collision,305,152.0,151.625,295.884,0.5124,0.5137,144.355,0.274,1,18,0.059,0.059,0,0.0,0.995,0.024,0.005,0.003,teb,54
False,collision,242,120.5,120.125,295.884,0.406,0.4073,175.831,0.251,1,12,0.0496,0.0496,0,0.0,0.994,0.017,0.006,0.004,teb,55
False,collision,245,122.0,121.625,295.884,0.4111,0.4123,174.352,0.286,1,25,0.102,0.1111,0,0.0,0.994,0.025,0.006,0.004,teb,56
False,collision,216,107.5,107.125,295.884,0.3621,0.3633,188.836,0.271,1,31,0.1435,0.1435,0,0.0,0.993,0.023,0.007,0.005,teb,57
False,collision,132,65.5,65.125,295.884,0.2201,0.2214,230.802,0.411,1,16,0.1212,0.1212,0,0.0,0.989,0.02,0.011,0.008,teb,58
False,collision,24,11.5,11.125,295.884,0.0376,0.0389,284.914,0.356,1,3,0.125,0.125,0,0.0,0.938,0.17,0.065,0.045,teb,59
False,collision,305,152.0,151.625,295.884,0.5124,0.5137,144.313,0.387,1,36,0.118,0.118,0,0.0,0.995,0.011,0.005,0.003,teb,60
False,collision,160,79.5,79.125,295.884,0.2674,0.2687,217.762,0.352,1,27,0.1688,0.1688,0,0.0,0.991,0.149,0.009,0.006,teb,61
False,collision,55,27.0,26.625,295.884,0.09,0.0913,269.515,0.339,1,16,0.2909,0.2909,0,0.0,0.973,0.14,0.028,0.019,teb,62
False,collision,248,123.5,123.125,295.884,0.4161,0.4174,172.83,0.412,1,37,0.1492,0.1492,0,0.0,0.994,0.023,0.006,0.004,teb,63
False,collision,328,163.5,163.125,295.884,0.5513,0.5526,132.829,0.286,1,9,0.0274,0.0299,0,0.0,0.995,0.01,0.005,0.003,teb,64
False,collision,215,107.0,106.625,295.884,0.3604,0.3616,189.453,0.318,1,23,0.107,0.107,0,0.0,0.993,0.066,0.007,0.005,teb,65
False,collision,336,167.5,167.125,295.884,0.5648,0.5661,128.87,0.276,1,12,0.0357,0.0363,0,0.0,0.996,0.022,0.004,0.003,teb,66
False,collision,266,132.5,132.125,295.884,0.4465,0.4478,164.023,0.267,1,4,0.015,0.0159,0,0.0,0.994,0.07,0.006,0.004,teb,67
False,collision,278,138.5,138.125,295.884,0.4668,0.4681,157.814,0.245,1,18,0.0647,0.0647,0,0.0,0.995,0.013,0.005,0.004,teb,68
False,collision,249,124.0,123.625,295.884,0.4178,0.4191,172.339,0.285,1,17,0.0683,0.0683,0,0.0,0.994,0.017,0.006,0.004,teb,69
False,collision,37,18.0,17.625,295.884,0.0596,0.0608,278.453,0.405,1,6,0.1622,0.1622,0,0.0,0.959,0.147,0.042,0.029,teb,70
False,collision,249,124.0,123.625,295.884,0.4178,0.4191,172.328,0.285,1,16,0.0643,0.0643,0,0.0,0.994,0.016,0.006,0.004,teb,71
False,collision,242,120.5,120.125,295.884,0.406,0.4073,177.011,0.291,1,13,0.0537,0.0537,0,0.0,0.994,0.108,0.006,0.004,teb,72
False,collision,334,166.5,166.125,295.884,0.5615,0.5627,129.855,0.285,1,10,0.0299,0.0302,0,0.0,0.996,0.023,0.005,0.003,teb,73
False,collision,32,15.5,15.125,295.884,0.0511,0.0524,280.892,0.383,1,6,0.1875,0.1875,0,0.0,0.953,0.158,0.048,0.033,teb,74
False,collision,218,108.5,108.125,295.884,0.3654,0.3667,187.815,0.302,1,13,0.0596,0.0596,0,0.0,0.993,0.017,0.007,0.005,teb,75
False,collision,66,32.5,32.125,295.884,0.1086,0.1098,264.007,0.415,1,9,0.1364,0.1364,0,0.0,0.977,0.135,0.023,0.016,teb,76
False,collision,243,121.0,120.625,295.884,0.4077,0.4089,175.326,0.299,1,51,0.2099,0.2099,0,0.0,0.994,0.013,0.006,0.004,teb,77
False,collision,238,118.5,118.125,295.884,0.3992,0.4005,177.804,0.259,1,42,0.1765,0.1803,0,0.0,0.994,0.013,0.006,0.004,teb,78
False,collision,47,23.0,22.625,295.884,0.0765,0.0777,273.488,0.384,1,6,0.1277,0.1277,0,0.0,0.968,0.147,0.033,0.022,teb,79
False,collision,254,126.5,126.125,295.884,0.4263,0.4275,169.827,0.288,1,7,0.0276,0.0292,0,0.0,0.994,0.013,0.006,0.004,teb,80
False,collision,263,131.0,130.625,295.884,0.4415,0.4427,165.768,0.333,1,16,0.0608,0.0608,0,0.0,0.994,0.092,0.006,0.004,teb,81
False,collision,228,113.5,113.125,295.884,0.3823,0.3836,182.826,0.263,1,10,0.0439,0.0461,0,0.0,0.993,0.015,0.007,0.004,teb,82
False,collision,253,126.0,125.625,295.884,0.4246,0.4258,170.936,0.397,1,8,0.0316,0.0316,0,0.0,0.994,0.094,0.006,0.004,teb,83
False,collision,24,11.5,11.125,295.884,0.0376,0.0389,284.954,0.377,1,4,0.1667,0.1667,0,0.0,0.938,0.197,0.065,0.045,teb,84
False,collision,309,154.0,153.625,295.884,0.5192,0.5205,142.33,0.311,1,8,0.0259,0.0281,0,0.0,0.995,0.011,0.005,0.003,teb,85
