success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,62,30.5,30.125,295.875,0.1018,0.1031,265.875,0.395,1,9,0.1452,0.1452,0,0.0,0.976,0.097,0.025,0.017,teb,1
False,collision,26,12.5,12.125,295.875,0.041,0.0422,283.788,0.395,1,4,0.1538,0.1538,0,0.0,0.942,0.095,0.06,0.042,teb,2
False,collision,230,114.5,114.125,295.875,0.3857,0.387,181.779,0.211,1,14,0.0609,0.0609,0,0.0,0.993,0.009,0.007,0.004,teb,3
False,collision,37,18.0,17.625,295.875,0.0596,0.0608,278.281,0.321,1,10,0.2703,0.2703,0,0.0,0.959,0.08,0.042,0.029,teb,4
False,collision,260,129.5,129.125,295.875,0.4364,0.4377,166.76,0.246,1,26,0.1,0.1,0,0.0,0.994,0.005,0.006,0.004,teb,5
False,collision,73,36.0,35.625,295.875,0.1204,0.1217,260.381,0.378,1,14,0.1918,0.1918,0,0.0,0.979,0.081,0.021,0.014,teb,6
False,collision,28,13.5,13.125,295.875,0.0444,0.0456,282.814,0.328,1,7,0.25,0.25,0,0.0,0.946,0.109,0.056,0.038,teb,7
False,collision,228,113.5,113.125,295.875,0.3823,0.3836,182.771,0.295,1,28,0.1228,0.1228,0,0.0,0.993,0.007,0.007,0.004,teb,8
False,collision,223,111.0,110.625,295.875,0.3739,0.3752,185.273,0.227,1,5,0.0224,0.0224,0,0.0,0.993,0.008,0.007,0.005,teb,9
False,collision,47,23.0,22.625,295.875,0.0765,0.0777,273.401,0.37,1,8,0.1702,0.1702,0,0.0,0.968,0.092,0.033,0.022,teb,10
False,collision,419,209.0,208.625,295.875,0.7051,0.7064,87.331,0.293,1,11,0.0263,0.0302,0,0.0,0.996,0.015,0.004,0.002,teb,11
False,collision,33,16.0,15.625,295.875,0.0528,0.0541,280.323,0.339,1,6,0.1818,0.1818,0,0.0,0.955,0.107,0.047,0.032,teb,12
False,collision,273,136.0,135.625,295.875,0.4584,0.4597,160.275,0.244,1,25,0.0916,0.0916,0,0.0,0.995,0.008,0.006,0.004,teb,13
False,collision,251,125.0,124.625,295.875,0.4212,0.4225,171.273,0.208,1,29,0.1155,0.1155,0,0.0,0.994,0.006,0.006,0.004,teb,14
False,collision,36,17.5,17.125,295.875,0.0579,0.0591,278.782,0.4,1,15,0.4167,0.4167,0,0.0,0.958,0.067,0.043,0.029,teb,15
False,collision,217,108.0,107.625,295.875,0.3638,0.365,188.314,0.174,1,2,0.0092,0.0092,0,0.0,0.993,0.025,0.007,0.005,teb,16
False,collision,92,45.5,45.125,295.875,0.1525,0.1538,251.003,0.357,1,20,0.2174,0.2174,0,0.0,0.984,0.102,0.016,0.011,teb,17
False,collision,45,22.0,21.625,295.875,0.0731,0.0744,274.332,0.419,1,8,0.1778,0.1778,0,0.0,0.967,0.077,0.034,0.023,teb,18
False,collision,226,112.5,112.125,295.875,0.379,0.3802,183.818,0.202,1,15,0.0664,0.0664,0,0.0,0.993,0.019,0.007,0.004,teb,19
False,collision,227,113.0,112.625,295.875,0.3807,0.3819,183.28,0.238,1,14,0.0617,0.0622,0,0.0,0.993,0.009,0.007,0.004,teb,20
False,collision,220,109.5,109.125,295.875,0.3688,0.3701,186.776,0.411,1,2,0.0091,0.0091,0,0.0,0.993,0.013,0.007,0.005,teb,21
False,collision,222,110.5,110.125,295.875,0.3722,0.3735,185.777,0.201,1,17,0.0766,0.0766,0,0.0,0.993,0.008,0.007,0.005,teb,22
False,collision,30,14.5,14.125,295.875,0.0477,0.049,281.806,0.31,1,5,0.1667,0.1667,0,0.0,0.95,0.094,0.052,0.036,teb,23
False,collision,229,114.0,113.625,295.875,0.384,0.3853,182.252,0.393,1,6,0.0262,0.0265,0,0.0,0.993,0.003,0.007,0.004,teb,24
False,collision,48,23.5,23.125,295.875,0.0782,0.0794,272.864,0.417,1,9,0.1875,0.1875,0,0.0,0.969,0.08,0.032,0.022,teb,25
False,collision,247,123.0,122.625,295.875,0.4144,0.4157,173.276,0.236,1,20,0.081,0.081,0,0.0,0.994,0.01,0.006,0.004,teb,26
False,collision,40,19.5,19.125,295.875,0.0646,0.0659,276.779,0.41,1,6,0.15,0.15,0,0.0,0.963,0.066,0.038,0.026,teb,27
False,collision,37,18.0,17.625,295.875,0.0596,0.0608,278.296,0.319,1,6,0.1622,0.1622,0,0.0,0.959,0.079,0.042,0.029,teb,28
False,collision,77,38.0,37.625,295.875,0.1272,0.1284,258.42,0.324,1,14,0.1818,0.1818,0,0.0,0.981,0.099,0.02,0.013,teb,29
False,collision,217,108.0,107.625,295.875,0.3638,0.365,188.267,0.26,1,44,0.2028,0.2028,0,0.0,0.993,0.006,0.007,0.005,teb,30
False,collision,247,123.0,122.625,295.875,0.4144,0.4157,173.273,0.186,1,14,0.0567,0.0579,0,0.0,0.994,0.007,0.006,0.004,teb,31
False,collision,227,113.0,112.625,295.875,0.3807,0.3819,183.269,0.251,1,31,0.1366,0.1366,0,0.0,0.993,0.009,0.007,0.004,teb,32
False,collision,79,39.0,38.625,295.875,0.1305,0.1318,257.468,0.418,1,12,0.1519,0.1519,0,0.0,0.981,0.105,0.019,0.013,teb,33
False,collision,256,127.5,127.125,295.875,0.4297,0.4309,168.753,0.195,1,32,0.125,0.125,0,0.0,0.994,0.003,0.006,0.004,teb,34
False,collision,240,119.5,119.125,295.875,0.4026,0.4039,176.762,0.274,1,20,0.0833,0.0833,0,0.0,0.994,0.006,0.006,0.004,teb,35
False,collision,248,123.5,123.125,295.875,0.4161,0.4174,172.769,0.256,1,20,0.0806,0.0813,0,0.0,0.994,0.007,0.006,0.004,teb,36
False,collision,238,118.5,118.125,295.875,0.3992,0.4005,177.778,0.204,1,14,0.0588,0.0609,0,0.0,0.994,0.009,0.006,0.004,teb,37
False,collision,25,12.0,11.625,295.875,0.0393,0.0406,284.299,0.27,1,4,0.16,0.16,0,0.0,0.94,0.103,0.062,0.043,teb,38
False,collision,215,107.0,106.625,295.875,0.3604,0.3616,189.582,0.303,1,11,0.0512,0.0512,0,0.0,0.993,0.078,0.007,0.005,teb,39
False,collision,90,44.5,44.125,295.875,0.1491,0.1504,252.046,0.378,1,14,0.1556,0.1556,0,0.0,0.983,0.101,0.017,0.011,teb,40
False,collision,373,186.0,185.625,295.875,0.6274,0.6286,110.278,0.24,1,39,0.1046,0.1046,0,0.0,0.996,0.005,0.004,0.003,teb,41
False,collision,27,13.0,12.625,295.875,0.0427,0.0439,283.322,0.406,1,5,0.1852,0.1852,0,0.0,0.944,0.069,0.058,0.04,teb,42
False,collision,280,139.5,139.125,295.875,0.4702,0.4715,156.811,0.246,1,14,0.05,0.05,0,0.0,0.995,0.016,0.005,0.004,teb,43
False,collision,45,22.0,21.625,295.875,0.0731,0.0744,274.329,0.387,1,17,0.3778,0.3778,0,0.0,0.967,0.09,0.034,0.023,teb,44
False,collision,348,173.5,173.125,295.875,0.5851,0.5864,123.196,0.258,1,28,0.0805,0.0864,0,0.0,0.996,0.051,0.004,0.003,teb,45
False,collision,240,119.5,119.125,295.875,0.4026,0.4039,176.774,0.231,1,2,0.0083,0.009,0,0.0,0.994,0.007,0.006,0.004,teb,46
False,collision,304,151.5,151.125,295.875,0.5108,0.512,145.44,0.337,1,9,0.0296,0.0312,0,0.0,0.995,0.069,0.005,0.003,teb,47
False,collision,94,46.5,46.125,295.875,0.1559,0.1572,249.962,0.388,1,43,0.4574,0.4574,0,0.0,0.984,0.089,0.016,0.011,teb,48
False,collision,258,128.5,128.125,295.875,0.433,0.4343,167.757,0.388,1,15,0.0581,0.0581,0,0.0,0.994,0.004,0.006,0.004,teb,49
False,collision,64,31.5,31.125,295.875,0.1052,0.1065,264.848,0.372,1,10,0.1562,0.1562,0,0.0,0.977,0.081,0.024,0.016,teb,50
False,collision,297,148.0,147.625,295.875,0.4989,0.5002,148.273,0.253,1,8,0.0269,0.0273,0,0.0,0.995,0.005,0.005,0.003,teb,51
False,collision,215,107.0,106.625,295.875,0.3604,0.3616,189.278,0.209,1,8,0.0372,0.0372,0,0.0,0.993,0.016,0.007,0.005,teb,52
False,collision,247,123.0,122.625,295.875,0.4144,0.4157,173.272,0.272,1,15,0.0607,0.0607,0,0.0,0.994,0.008,0.006,0.004,teb,53
False,collision,305,152.0,151.625,295.875,0.5125,0.5137,144.314,0.235,1,8,0.0262,0.0262,0,0.0,0.995,0.015,0.005,0.003,teb,54
False,collision,242,120.5,120.125,295.875,0.406,0.4073,175.775,0.228,1,14,0.0579,0.0579,0,0.0,0.994,0.008,0.006,0.004,teb,55
False,collision,244,121.5,121.125,295.875,0.4094,0.4106,174.791,0.384,1,27,0.1107,0.1205,0,0.0,0.994,0.013,0.006,0.004,teb,56
False,collision,216,107.5,107.125,295.875,0.3621,0.3633,188.797,0.228,1,32,0.1481,0.1481,0,0.0,0.993,0.016,0.007,0.005,teb,57
False,collision,132,65.5,65.125,295.875,0.2201,0.2214,230.757,0.407,1,16,0.1212,0.1212,0,0.0,0.989,0.007,0.011,0.008,teb,58
False,collision,23,11.0,10.625,295.875,0.0359,0.0372,285.305,0.381,1,4,0.1739,0.1739,0,0.0,0.935,0.11,0.068,0.048,teb,59
False,collision,305,152.0,151.625,295.875,0.5125,0.5137,144.274,0.286,1,37,0.1213,0.1213,0,0.0,0.995,0.006,0.005,0.003,teb,60
False,collision,137,68.0,67.625,295.875,0.2286,0.2298,228.721,0.415,1,16,0.1168,0.1168,0,0.0,0.989,0.1,0.011,0.007,teb,61
False,collision,52,25.5,25.125,295.875,0.0849,0.0862,270.883,0.331,1,16,0.3077,0.3077,0,0.0,0.971,0.087,0.029,0.02,teb,62
False,collision,253,126.0,125.625,295.875,0.4246,0.4259,170.282,0.192,1,40,0.1581,0.1581,0,0.0,0.994,0.013,0.006,0.004,teb,63
False,collision,328,163.5,163.125,295.875,0.5513,0.5526,132.774,0.272,1,8,0.0244,0.0266,0,0.0,0.995,0.005,0.005,0.003,teb,64
False,collision,215,107.0,106.625,295.875,0.3604,0.3616,189.355,0.273,1,19,0.0884,0.0884,0,0.0,0.993,0.042,0.007,0.005,teb,65
False,collision,336,167.5,167.125,295.875,0.5648,0.5661,128.818,0.233,1,11,0.0327,0.0333,0,0.0,0.996,0.015,0.004,0.003,teb,66
False,collision,265,132.0,131.625,295.875,0.4449,0.4461,164.418,0.365,1,4,0.0151,0.0159,0,0.0,0.994,0.047,0.006,0.004,teb,67
False,collision,278,138.5,138.125,295.875,0.4668,0.4681,157.776,0.227,1,17,0.0612,0.0612,0,0.0,0.995,0.006,0.005,0.004,teb,68
False,collision,249,124.0,123.625,295.875,0.4178,0.4191,172.286,0.226,1,19,0.0763,0.0763,0,0.0,0.994,0.011,0.006,0.004,teb,69
False,collision,34,16.5,16.125,295.875,0.0545,0.0558,279.786,0.364,1,6,0.1765,0.1765,0,0.0,0.956,0.069,0.045,0.031,teb,70
False,collision,248,123.5,123.125,295.875,0.4161,0.4174,172.764,0.277,1,16,0.0645,0.0645,0,0.0,0.994,0.006,0.006,0.004,teb,71
False,collision,165,82.0,81.625,295.875,0.2759,0.2771,214.631,0.391,1,28,0.1697,0.1697,0,0.0,0.991,0.084,0.009,0.006,teb,72
False,collision,334,166.5,166.125,295.875,0.5615,0.5627,129.837,0.227,1,10,0.0299,0.0302,0,0.0,0.996,0.018,0.005,0.003,teb,73
False,collision,31,15.0,14.625,295.875,0.0494,0.0507,281.33,0.35,1,7,0.2258,0.2258,0,0.0,0.952,0.111,0.05,0.034,teb,74
False,collision,218,108.5,108.125,295.875,0.3654,0.3667,187.779,0.23,1,12,0.055,0.055,0,0.0,0.993,0.008,0.007,0.005,teb,75
False,collision,65,32.0,31.625,295.875,0.1069,0.1082,264.357,0.413,1,9,0.1385,0.1385,0,0.0,0.977,0.073,0.023,0.016,teb,76
False,collision,242,120.5,120.125,295.875,0.406,0.4073,175.771,0.29,1,52,0.2149,0.2149,0,0.0,0.994,0.006,0.006,0.004,teb,77
False,collision,238,118.5,118.125,295.875,0.3992,0.4005,177.779,0.215,1,43,0.1807,0.1845,0,0.0,0.994,0.007,0.006,0.004,teb,78
False,collision,43,21.0,20.625,295.875,0.0697,0.071,275.273,0.417,1,8,0.186,0.186,0,0.0,0.965,0.045,0.036,0.024,teb,79
False,collision,254,126.5,126.125,295.875,0.4263,0.4275,169.774,0.197,1,20,0.0787,0.0837,0,0.0,0.994,0.006,0.006,0.004,teb,80
False,collision,263,131.0,130.625,295.875,0.4415,0.4428,165.711,0.255,1,15,0.057,0.057,0,0.0,0.994,0.071,0.006,0.004,teb,81
False,collision,228,113.5,113.125,295.875,0.3823,0.3836,182.772,0.204,1,10,0.0439,0.0461,0,0.0,0.993,0.007,0.007,0.004,teb,82
False,collision,253,126.0,125.625,295.875,0.4246,0.4259,170.694,0.204,1,10,0.0395,0.0395,0,0.0,0.994,0.068,0.006,0.004,teb,83
False,collision,22,10.5,10.125,295.875,0.0342,0.0355,285.802,0.384,1,3,0.1364,0.1364,0,0.0,0.932,0.116,0.071,0.05,teb,84
False,collision,308,153.5,153.125,295.875,0.5175,0.5188,142.766,0.368,1,6,0.0195,0.0211,0,0.0,0.995,0.006,0.005,0.003,teb,85
False,collision,127,63.0,62.625,295.875,0.2117,0.2129,233.594,0.364,1,39,0.3071,0.3071,0,0.0,0.988,0.085,0.012,0.008,teb,86
False,collision,218,108.5,108.125,295.875,0.3654,0.3667,187.781,0.235,1,64,0.2936,0.2936,0,0.0,0.993,0.012,0.007,0.005,teb,87
False,collision,250,124.5,124.125,295.875,0.4195,0.4208,171.771,0.276,1,24,0.096,0.096,0,0.0,0.994,0.009,0.006,0.004,teb,88
False,collision,36,17.5,17.125,295.875,0.0579,0.0591,278.819,0.345,1,6,0.1667,0.1667,0,0.0,0.958,0.096,0.043,0.029,teb,89
False,collision,290,144.5,144.125,295.875,0.4871,0.4884,151.76,0.387,1,18,0.0621,0.0621,0,0.0,0.995,0.005,0.005,0.003,teb,90
False,collision,39,19.0,18.625,295.875,0.0629,0.0642,277.305,0.393,1,7,0.1795,0.1795,0,0.0,0.962,0.097,0.039,0.027,teb,91
False,collision,223,111.0,110.625,295.875,0.3739,0.3752,185.269,0.419,1,12,0.0538,0.0538,0,0.0,0.993,0.009,0.007,0.005,teb,92
False,collision,249,124.0,123.625,295.875,0.4178,0.4191,172.452,0.419,1,4,0.0161,0.0161,0,0.0,0.994,0.048,0.006,0.004,teb,93
False,collision,236,117.5,117.125,295.875,0.3959,0.3971,178.885,0.268,1,15,0.0636,0.0694,0,0.0,0.994,0.041,0.006,0.004,teb,94
False,collision,239,119.0,118.625,295.875,0.4009,0.4022,177.292,0.247,1,19,0.0795,0.0795,0,0.0,0.994,0.012,0.006,0.004,teb,95
False,collision,47,23.0,22.625,295.875,0.0765,0.0777,273.324,0.323,1,11,0.234,0.234,0,0.0,0.968,0.086,0.033,0.022,teb,96
False,collision,226,112.5,112.125,295.875,0.379,0.3802,183.769,0.222,1,22,0.0973,0.0973,0,0.0,0.993,0.008,0.007,0.004,teb,97
False,collision,26,12.5,12.125,295.875,0.041,0.0422,283.821,0.352,1,4,0.1538,0.1538,0,0.0,0.942,0.104,0.06,0.042,teb,98
False,collision,61,30.0,29.625,295.875,0.1001,0.1014,266.353,0.349,1,13,0.2131,0.2131,0,0.0,0.975,0.091,0.025,0.017,teb,99
False,collision,234,116.5,116.125,295.875,0.3925,0.3937,179.774,0.2,1,16,0.0684,0.0684,0,0.0,0.994,0.009,0.006,0.004,teb,100
