time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.125,3.9972,-0.02246,0.25,-0.04492,295.875,2.8751,walk_east_mid.0,teb_optimized,4104.5396,0.25,-0.04492,0.25,-0.04492,Sidewalk
1.0,2.3747,3.985,-0.04874,0.5,-0.05257,295.6253,3.1846,walk_east_mid.0,teb_optimized,4092.3836,0.5,-0.05257,0.5,-0.05257,Sidewalk
1.5,2.7495,3.9725,-0.03343,0.75,0.03063,295.2505,3.3797,walk_east_mid.0,teb_optimized,4111.7165,0.75,0.03063,0.75,0.03063,Sidewalk
2.0,3.2494,3.9682,-0.00849,1.0,0.04987,294.7506,3.4099,walk_east_mid.0,teb_optimized,4085.0214,1.0,0.04987,1.0,0.04987,Sidewalk
2.5,3.7494,3.97,0.00356,1.0,0.02412,294.2506,3.4507,walk_east_mid.0,teb_optimized,4073.8733,1.0,0.02412,1.0,0.02412,Sidewalk
3.0,4.2491,3.951,-0.03798,1.0,-0.08308,293.7509,3.4982,walk_east_mid.0,teb_optimized,4048.9081,1.0,-0.08308,1.0,-0.08308,Sidewalk
3.5,4.749,3.9597,0.01725,1.0,0.11045,293.251,3.5363,walk_east_mid.0,teb_optimized,4033.0092,1.0,0.11045,1.0,0.11045,Sidewalk
4.0,5.2446,4.0257,0.13243,1.0,0.23035,292.7554,3.6403,walk_east_mid.0,teb_optimized,4036.0728,1.0,0.23035,1.0,0.23035,Sidewalk
4.5,5.7439,4.0522,0.05313,1.0,-0.1586,292.2561,3.7278,walk_east_mid.0,teb_optimized,3999.9431,1.0,-0.1586,1.0,-0.1586,Sidewalk
5.0,6.2434,4.0741,0.04372,1.0,-0.01882,291.7566,3.7677,walk_east_mid.0,teb_optimized,3992.8412,1.0,-0.01882,1.0,-0.01882,Sidewalk
5.5,6.7432,4.0571,-0.03394,1.0,-0.15532,291.2568,3.8589,walk_east_mid.0,teb_optimized,3981.8268,1.0,-0.15532,1.0,-0.15532,Sidewalk
6.0,7.242,4.0237,-0.06677,1.0,-0.06566,290.758,3.874,walk_east_mid.0,teb_optimized,3969.278,1.0,-0.06566,1.0,-0.06566,Sidewalk
6.5,7.7409,3.99,-0.06759,1.0,-0.00163,290.2591,3.9015,walk_east_mid.0,teb_optimized,3953.6424,1.0,-0.00163,1.0,-0.00163,Sidewalk
7.0,8.237,3.9277,-0.12496,1.0,-0.11475,289.763,3.9161,walk_east_mid.0,teb_optimized,3935.5249,1.0,-0.11475,1.0,-0.11475,Sidewalk
7.5,8.7364,3.9033,-0.04872,1.0,0.15249,289.2636,4.0188,walk_east_mid.0,teb_optimized,3920.3026,1.0,0.15249,1.0,0.15249,Sidewalk
8.0,9.2355,3.9339,0.06119,1.0,0.21981,288.7645,4.1029,walk_east_mid.0,teb_optimized,3904.1042,1.0,0.21981,1.0,0.21981,Sidewalk
8.5,9.7317,3.9952,0.1229,1.0,0.12342,288.2683,4.1297,walk_east_mid.0,teb_optimized,3916.394,1.0,0.12342,1.0,0.12342,Sidewalk
9.0,10.2277,4.0582,0.12629,1.0,0.00678,287.7723,4.2024,walk_east_mid.0,teb_optimized,3876.1615,1.0,0.00678,1.0,0.00678,Sidewalk
9.5,10.7271,4.0821,0.04799,1.0,-0.15659,287.2729,4.2482,walk_east_mid.0,teb_optimized,3876.9536,1.0,-0.15659,1.0,-0.15659,Sidewalk
10.0,11.2267,4.0603,-0.04368,1.0,-0.18335,286.7733,4.3231,walk_east_mid.0,teb_optimized,3846.8105,1.0,-0.18335,1.0,-0.18335,Sidewalk
10.5,11.724,4.0084,-0.10405,1.0,-0.12073,286.276,4.3279,walk_east_mid.0,teb_optimized,3856.7873,1.0,-0.12073,1.0,-0.12073,Sidewalk
11.0,12.2217,3.9605,-0.09591,1.0,0.01626,285.7783,4.3669,walk_east_mid.0,teb_optimized,3830.6623,1.0,0.01626,1.0,0.01626,Sidewalk
11.5,12.7212,3.9388,-0.04331,1.0,0.10521,285.2788,4.4578,walk_east_mid.0,teb_optimized,3804.5406,1.0,0.10521,1.0,0.10521,Sidewalk
12.0,13.2212,3.9377,-0.00238,1.0,0.08185,284.7788,4.5364,walk_east_mid.0,teb_optimized,3790.369,1.0,0.08185,1.0,0.08185,Sidewalk
12.5,13.7211,3.9467,0.0181,1.0,0.04097,284.2789,4.5725,walk_east_mid.0,teb_optimized,3776.7185,1.0,0.04097,1.0,0.04097,Sidewalk
13.0,14.2211,3.9541,0.01487,1.0,-0.00646,283.7789,4.5785,walk_east_mid.0,teb_optimized,3787.0744,1.0,-0.00646,1.0,-0.00646,Sidewalk
13.5,14.721,3.9594,0.01053,1.0,-0.00868,283.279,4.6316,walk_east_mid.0,teb_optimized,3748.991,1.0,-0.00868,1.0,-0.00868,Sidewalk
14.0,15.221,3.9631,0.00734,1.0,-0.00638,282.779,4.7339,walk_east_mid.0,teb_optimized,3735.242,1.0,-0.00638,1.0,-0.00638,Sidewalk
14.5,15.721,3.9666,0.00695,1.0,-0.00078,282.279,4.8418,walk_east_mid.0,teb_optimized,3721.583,1.0,-0.00078,1.0,-0.00078,Sidewalk
15.0,16.221,3.9705,0.00791,1.0,0.00192,281.779,4.9021,walk_east_mid.0,teb_optimized,3707.9612,1.0,0.00192,1.0,0.00192,Sidewalk
15.5,16.721,3.9753,0.00959,1.0,0.00336,281.279,4.908,walk_east_mid.0,teb_optimized,3694.6404,1.0,0.00336,1.0,0.00336,Sidewalk
16.0,17.2209,3.9804,0.01024,1.0,0.0013,280.7791,5.001,walk_east_mid.0,teb_optimized,3680.7647,1.0,0.0013,1.0,0.0013,Sidewalk
16.5,17.7209,3.9851,0.00935,1.0,-0.00177,280.2791,5.1074,walk_east_mid.0,teb_optimized,3667.2084,1.0,-0.00177,1.0,-0.00177,Sidewalk
17.0,18.2209,3.9889,0.00766,1.0,-0.00339,279.7791,5.2047,walk_east_mid.0,teb_optimized,3653.6741,1.0,-0.00339,1.0,-0.00339,Sidewalk
17.5,18.7209,3.9918,0.00581,1.0,-0.00371,279.2791,5.208,walk_east_mid.0,teb_optimized,3640.2114,1.0,-0.00371,1.0,-0.00371,Sidewalk
18.0,19.2209,3.994,0.00424,1.0,-0.00312,278.7791,5.233,walk_east_mid.0,teb_optimized,3626.7164,1.0,-0.00312,1.0,-0.00312,Sidewalk
18.5,19.7209,3.9955,0.00316,1.0,-0.00216,278.2791,5.2838,walk_east_mid.0,teb_optimized,3613.2442,1.0,-0.00216,1.0,-0.00216,Sidewalk
19.0,20.2209,3.9967,0.0024,1.0,-0.00152,277.7791,5.3494,walk_east_mid.0,teb_optimized,3599.8142,1.0,-0.00152,1.0,-0.00152,Sidewalk
19.5,20.7209,3.9977,0.00182,1.0,-0.00116,277.2791,5.3789,walk_east_mid.0,teb_optimized,3586.4211,1.0,-0.00116,1.0,-0.00116,Sidewalk
20.0,21.2209,3.9983,0.00136,1.0,-0.00094,276.7791,5.4759,walk_east_mid.0,teb_optimized,3573.0316,1.0,-0.00094,1.0,-0.00094,Sidewalk
20.5,21.7209,3.9988,0.00098,1.0,-0.00075,276.2791,5.562,walk_east_mid.0,teb_optimized,3559.6738,1.0,-0.00075,1.0,-0.00075,Sidewalk
21.0,22.2209,3.9992,0.00069,1.0,-0.00057,275.7791,5.5857,walk_east_mid.0,teb_optimized,3546.363,1.0,-0.00057,1.0,-0.00057,Sidewalk
21.5,22.7209,3.9994,0.00049,1.0,-0.00042,275.2791,5.5922,walk_east_mid.0,teb_optimized,3533.0633,1.0,-0.00042,1.0,-0.00042,Sidewalk
22.0,23.2209,3.9996,0.00034,1.0,-0.00029,274.7791,5.6919,walk_east_mid.0,teb_optimized,3519.7744,1.0,-0.00029,1.0,-0.00029,Sidewalk
22.5,23.7209,3.9997,0.00024,1.0,-0.0002,274.2791,5.577,walk_east_dn.1,teb_optimized,3506.5351,1.0,-0.0002,1.0,-0.0002,Sidewalk
