time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,planner_status,planner_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1247,3.9919,-0.06523,0.25,-0.13046,295.8753,2.8754,walk_east_mid.0,teb_optimized,4100.8986,0.25,-0.13046,0.25,-0.13046,Sidewalk
1.0,2.373,3.9626,-0.11711,0.5,-0.10375,295.627,3.0514,walk_east_mid.0,teb_optimized,4106.5185,0.5,-0.10375,0.5,-0.10375,Sidewalk
1.5,2.7472,3.9384,-0.06468,0.75,0.10485,295.2528,3.1076,walk_east_mid.0,teb_optimized,4088.5839,0.75,0.10485,0.75,0.10485,Sidewalk
2.0,3.2472,3.9396,0.00235,1.0,0.13406,294.7528,2.9707,walk_east_mid.0,teb_optimized,4073.3716,1.0,0.13406,1.0,0.13406,Sidewalk
2.5,3.7472,3.9354,-0.00837,1.0,-0.02143,294.2528,2.9011,walk_east_mid.0,teb_optimized,4062.3238,1.0,-0.02143,1.0,-0.02143,Sidewalk
3.0,4.2472,3.9314,-0.00804,1.0,0.00067,293.7528,2.7714,walk_east_mid.0,teb_optimized,4046.4758,1.0,0.00067,1.0,0.00067,Sidewalk
3.5,4.7465,3.9043,-0.05418,1.0,-0.09229,293.2535,2.7014,walk_east_mid.0,teb_optimized,4040.2197,1.0,-0.09229,1.0,-0.09229,Sidewalk
4.0,5.2448,3.8636,-0.0814,1.0,-0.05444,292.7552,2.6078,walk_east_mid.0,teb_optimized,4034.6838,1.0,-0.05444,1.0,-0.05444,Sidewalk
4.5,5.7443,3.8404,-0.0465,1.0,0.06979,292.2558,2.5265,walk_east_mid.0,teb_optimized,4021.1775,1.0,0.06979,1.0,0.06979,Sidewalk
5.0,6.2441,3.8547,0.02869,1.0,0.15039,291.756,2.4022,walk_east_mid.0,teb_optimized,3996.8693,1.0,0.15039,1.0,0.15039,Sidewalk
5.5,6.7421,3.8985,0.08771,1.0,0.11805,291.2579,2.3041,walk_east_mid.0,teb_optimized,3985.1484,1.0,0.11805,1.0,0.11805,Sidewalk
6.0,7.2402,3.9423,0.08769,1.0,-4e-05,290.7598,2.2213,walk_east_mid.0,teb_optimized,3970.3868,1.0,-4e-05,1.0,-4e-05,Sidewalk
6.5,7.7395,3.9693,0.05395,1.0,-0.0675,290.2605,2.1384,walk_east_mid.0,teb_optimized,3953.1327,1.0,-0.0675,1.0,-0.0675,Sidewalk
7.0,8.2394,3.9802,0.02187,1.0,-0.06414,289.7606,2.0476,walk_east_mid.0,teb_optimized,3942.892,1.0,-0.06414,1.0,-0.06414,Sidewalk
7.5,8.7394,3.9802,-4e-05,1.0,-0.04383,289.2606,1.9697,walk_east_mid.0,teb_optimized,3931.737,1.0,-0.04383,1.0,-0.04383,Sidewalk
8.0,9.2394,3.9799,-0.00052,1.0,-0.00095,288.7606,1.8313,walk_east_mid.0,teb_optimized,3911.2489,1.0,-0.00095,1.0,-0.00095,Sidewalk
8.5,9.7394,3.984,0.00812,1.0,0.01727,288.2606,1.7563,walk_east_mid.0,teb_optimized,3917.8435,1.0,0.01727,1.0,0.01727,Sidewalk
9.0,10.2394,3.9841,0.00014,1.0,-0.01596,287.7606,1.6283,walk_east_mid.0,teb_optimized,3881.9061,1.0,-0.01596,1.0,-0.01596,Sidewalk
9.5,10.7393,3.9804,-0.00724,1.0,-0.01476,287.2607,1.5444,walk_east_mid.0,teb_optimized,3868.8366,1.0,-0.01476,1.0,-0.01476,Sidewalk
10.0,11.2393,3.9764,-0.00817,1.0,-0.00186,286.7607,1.4368,walk_east_mid.0,teb_optimized,3866.8977,1.0,-0.00186,1.0,-0.00186,Sidewalk
10.5,11.7393,3.973,-0.00677,1.0,0.0028,286.2607,1.3004,walk_east_mid.0,teb_optimized,3853.3024,1.0,0.0028,1.0,0.0028,Sidewalk
11.0,12.2393,3.9694,-0.00711,1.0,-0.00067,285.7607,1.1514,walk_east_mid.0,teb_optimized,3823.8395,1.0,-0.00067,1.0,-0.00067,Sidewalk
11.5,12.7393,3.9702,0.00152,1.0,0.01726,285.2607,1.062,walk_east_mid.0,teb_optimized,3816.2983,1.0,0.01726,1.0,0.01726,Sidewalk
12.0,13.2393,3.9748,0.0092,1.0,0.01535,284.7607,0.9597,walk_east_mid.0,teb_optimized,3799.5586,1.0,0.01535,1.0,0.01535,Sidewalk
12.5,13.7393,3.9751,0.00062,1.0,-0.01714,284.2607,0.8265,walk_east_mid.0,teb_optimized,3805.2427,1.0,-0.01714,1.0,-0.01714,Sidewalk
13.0,14.2393,3.9786,0.00703,1.0,0.01281,283.7607,0.694,walk_east_mid.0,teb_optimized,3790.3811,1.0,0.01281,1.0,0.01281,Sidewalk
13.5,14.7393,3.9795,0.00182,1.0,-0.01041,283.2607,0.6136,walk_east_mid.0,teb_optimized,3779.6989,1.0,-0.01041,1.0,-0.01041,Sidewalk
14.0,15.2393,3.9836,0.00817,1.0,0.01269,282.7607,0.4724,walk_east_mid.0,teb_optimized,3741.6785,1.0,0.01269,1.0,0.01269,Sidewalk
14.5,15.7392,3.9868,0.00635,1.0,-0.00364,282.2608,0.3402,walk_east_mid.0,teb_optimized,3733.2264,1.0,-0.00364,1.0,-0.00364,Sidewalk
